"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","01:10:44","RepKristiNoem","These girls ( Mars, Lexi, and Miranda) just asked me to be the alumni speaker at Homecoming!… https://t.co/vHH0h38QeB",
"2016-09-23 ","14:31:07","RepKristiNoem","This week's column tells of one SD woman who lost her brother to #suicide. If you need help, call @800273TALK now. https://t.co/6oRwhHqwS4","suicide"
"2016-07-17 ","14:55:41","RepKristiNoem","Saw this on my grocery list pad by my kitchen sink this morning.... I better get busy!… https://t.co/LU53RnEXxT",
"2016-07-08 ","18:03:07","RepKristiNoem","It's #NeutrinoDay at @SanfordLab where everyone can dig deep into some of the world's most groundbreaking research! Have fun!","NeutrinoDay"
"2016-07-08 ","17:47:36","RepKristiNoem","@replynnjenkins is the best!!! Thx for the pizza! #shesthebest https://t.co/wkI0y3iLtL","shesthebest"
"2016-07-08 ","17:40:04","RepKristiNoem",".@BlackHillsFOX has more about an upcoming hearing on my #HEALTTHAct &amp; new mental health leg passed in the House &gt;&gt;&gt; https://t.co/5ant2sZ5Rj","HEALTTHAct"
"2016-07-08 ","15:34:04","RepKristiNoem","One week until internship applications are due! Learn how to apply &gt;&gt;&gt; https://t.co/RmxbGZ0pOl",
"2016-07-08 ","13:42:05","RepKristiNoem","Asking for God's comfort and strength for the families and community impacted by the tragedy in #Dallas last night.  Our hearts are broken.","Dallas"
"2016-07-07 ","23:28:53","RepKristiNoem","Kids bought me some ""Trump Hair"" cotton candy today in honor of Donald's visit to the People's… https://t.co/L16sqXCzkC",
"2016-07-07 ","20:35:25","RepKristiNoem","Latest maps from USDA on the drought. Grateful for some rainfall this week, but not enough. https://t.co/aKgpgwuiSC",
"2016-07-07 ","20:08:06","RepKristiNoem","Congrats to Sioux Falls's Gillian Hilscher &amp; Mitchell's Naomi Powers for earning spots in @carnegiehall's youth orchestra program! #nyo2","nyo2"
"2016-06-13 ","23:38:21","RepKristiNoem","I had the opportunity to go to the Gettysburg National Military Park and Cemetery today, where… https://t.co/3wwOkIpuxo",
"2016-06-13 ","21:14:39","RepKristiNoem","Good luck to the Sioux Falls team on @NBCSpartan tonight!  No matter the obstacle, they’re headed to the top! #SPARTAN","SPARTAN"
"2016-06-12 ","20:06:58","RepKristiNoem","What occurred in Orlando is unimaginable. As our nation mourns, my family &amp; I will be keeping those impacted by this tragedy in our prayers.",
"2016-06-12 ","20:05:28","RepKristiNoem","When I came home Friday night....this is what my flowers looked like. Apparently the note… https://t.co/eYyoxGwTHe",
"2016-06-12 ","17:46:05","RepKristiNoem","Booker's day made! Mike Miller🏀 https://t.co/YpWO7zBjA3",
"2016-06-12 ","15:41:56","RepKristiNoem","On our bike ride last night we ran across this farmer driving his tractor thru Watertown. He… https://t.co/N3YrVs9tJF",
"2016-02-26 ","20:05:07","RepKristiNoem","Applications are due today for my summer internship program. Email us your resume and cover letter to apply &gt;&gt;&gt; https://t.co/DLcN0eMmAB",
"2016-02-26 ","19:45:25","RepKristiNoem","Excited to announce my upcoming #WomenOfInfluence Conference in SiouxFalls on 3/31. RSVP&gt;&gt;&gt; https://t.co/Qvs5ac09wh https://t.co/jdHJyEArz3","WomenOfInfluence"
"2016-02-26 ","16:49:04","RepKristiNoem","If you can’t get an answer from a federal agency or have been treated unfairly, my office can try to help &gt;&gt;&gt; https://t.co/nR6Wg8sfO8",
"2016-02-26 ","14:17:34","RepKristiNoem","Great to meet with the @SDBroadcasters this week! Always enjoy the visit. https://t.co/LOSYqjyjsr",
"2016-02-25 ","23:40:26","RepKristiNoem","Great to catch up with the SD State Medical Assn about how telehealth is being used across SD. https://t.co/UtPjhjJC2s",
"2016-02-25 ","20:44:38","RepKristiNoem","Got to show  Fall River Cty Commissioner Mike Ortner around Capitol Hill! Here we are on the underground subway. https://t.co/KPA4zrdJU8",
"2016-02-25 ","19:51:45","RepKristiNoem","#TBT to me chatting with Booker 6 years ago....seriously people, how cute is he? #momlife https://t.co/3fyNnEIOhB","TBT momlife"
"2016-02-25 ","18:53:57","RepKristiNoem","Had a lot to discuss with @SDFarmBureau. GMO labeling, #trade, #wotus &amp; more. https://t.co/8SbAgdXtfF","trade wotus"
"2016-02-25 ","17:21:23","RepKristiNoem","Glad I could talk with SD Veterans Affairs Secretary Zimmerman about ideas to improve life for veterans. https://t.co/omwpAuAIYh",
"2016-02-20 ","18:03:47","RepKristiNoem","Booker for 2! https://t.co/qKHUrOCJjm",
"2016-02-20 ","18:02:56","RepKristiNoem","Booker for 2! #gochargers https://t.co/a1Tu3SkWIw","gochargers"
"2015-12-03 ","21:33:34","RepKristiNoem","Proud to introduce a biodiesel tax credit extension with @BillPascrell today. Learn more --&gt; https://t.co/WHMk2Eqe7X #bipartisan #biodiesel","bipartisan biodiesel"
"2015-12-03 ","19:16:03","RepKristiNoem","Every South Dakotan depends on the safety/reliability of our infrastructure. Proud to support long-term transit bill:https://t.co/Lw9eQaILET",
"2015-12-02 ","22:31:03","RepKristiNoem","Met with Dr. Curd and Dr. Scott from Sioux Falls Specialty Hospital today. https://t.co/brteVuTdTF",
"2015-11-28 ","15:08:05","RepKristiNoem","Hope you still have a few items on your list after #BlackFriday! Check out what SD’s #SmallBiz has to offer today! https://t.co/VL16qiWHfh","BlackFriday SmallBiz"
"2015-11-27 ","17:48:03","RepKristiNoem","Have you started following me on Instagram yet? Don't miss the behind-the-scenes photos! Follow me today --&gt; https://t.co/opEdswqoYp",
"2015-11-01 ","20:16:07","RepKristiNoem","It's #NativeAmericanHeritageMonth. Learn more about how heritage &amp; hope can work together in this week's column: https://t.co/x6WiZgrPIB","NativeAmericanHeritageMonth"
"2015-11-01 ","20:13:07","RepKristiNoem","5 days left to apply for a spring internship with my office. Learn how to apply &gt;&gt; https://t.co/Ile7rQYVPR",
"2015-11-01 ","15:45:25","RepKristiNoem","I had the chance to visit my Grandma Friday AND Saturday. What a blessing! She is healing from her… https://t.co/HJV1tIlhd9",
"2015-11-01 ","01:08:23","RepKristiNoem","Happy 49th Birthday Guy! We celebrated by volunteering at the Bryant movie theatre tonight. We sure… https://t.co/vkzcKCASja",
"2015-10-31 ","22:41:13","RepKristiNoem","All together again!!! Guess which one isn't ""normal""? #itskenners https://t.co/802EC0y1V3","itskenners"
"2015-10-02 ","20:10:03","RepKristiNoem","Interested in getting a behind-the-scenes view of how Congress works? Apply for an internship in my office today: http://t.co/Ile7rQYVPR",
"2015-10-02 ","14:48:04","RepKristiNoem","I talk about my latest efforts to tackle #Obamacare &amp; explain how budget reconciliation works in this week's column: http://t.co/j2826tyrhy","Obamacare"
"2015-10-01 ","23:19:24","RepKristiNoem","#TBT super cute right? An adorable Booker over 10 years ago.... https://t.co/ihdKbpRabG","TBT"
"2015-10-01 ","21:29:03","RepKristiNoem","Beresford &amp; Knollwood elem schools won the Natl Healthy Schools Award. Linda, John, &amp; Kevin came to DC to accept! https://t.co/aTfvCjRRQA",
"2015-10-01 ","16:02:21","RepKristiNoem","Thanks to the SD Auto Dealers Assn for meeting with me yesterday! Safe travels home. http://t.co/6qa7cfBYyy",
"2015-10-01 ","13:29:46","RepKristiNoem","Great to see Dan yesterday! He runs @noteimpl in Corsica, Chamberlain and Parkston. You should stop by! http://t.co/ZFukNyoQSA",
"2015-10-01 ","11:02:38","RepKristiNoem","Happy Birthday to my ""little"" brother Robb! We used to celebrate his birthday harvesting soybeans… https://t.co/IBpt7SBjqG",
"2015-07-17 ","20:11:05","RepKristiNoem","I'm competing in the @HouseGOP #DigitalChallenge. Follow me on Instagram &amp; help make sure SD ends up the winner! http://t.co/opEdswqoYp","DigitalChallenge"
"2015-07-16 ","23:20:51","RepKristiNoem","#TBT I always was a little angel (or dressed like one) ...even if I did have chubby cheeks. http://t.co/UKyk99ycos","TBT"
"2015-07-16 ","21:17:03","RepKristiNoem","Praying for those in #Chattanooga this afternoon. A sad reminder that our service members under a constant threat.","Chattanooga"
