"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","18:07:29","RepDianeBlack","#BREAKING: I just sent a bicameral, bipartisan letter to @HHSgov  re: rule to prop up #PlannedParenthood. https://t.co/20eNPF7uVu #ProLife","BREAKING PlannedParenthood ProLife"
"2016-09-23 ","13:49:22","RepDianeBlack","Honored to accept the ""Friend of #AMAC"" award last night from @MatureAmericans. I will always be an advocate for our #TN06 #seniors. https://t.co/xhmcwWIc2a","AMAC TN06 seniors"
"2016-07-18 ","21:32:03","RepDianeBlack","Today is the first day of the #TN06 Congressional App Challenge—details here: https://t.co/dflQuTkKC7 #HouseofCode https://t.co/WSGJL9npD6","TN06 HouseofCode"
"2016-07-08 ","19:16:24","RepDianeBlack","So appreciative of all that you do for life &amp; conscience rights as well, @Kerri_Kupec. https://t.co/Jn5H59zwje",
"2016-07-08 ","16:58:25","RepDianeBlack","Met w/ #ProLife leaders today about upcoming vote on my Conscience Protection Act to uphold #religiousfreedom. https://t.co/UaQ57Q2JoT","ProLife religiousfreedom"
"2016-07-08 ","13:20:17","RepDianeBlack","Our hearts break for the lives lost in #Dallas. Asking God's comfort and peace for this hurting community. https://t.co/r4krZNPC5L","Dallas"
"2016-07-07 ","20:40:35","RepDianeBlack","Proud to speak in support of @RepGosar's amendment to DEFUND #sanctuarycities. VIDEO: https://t.co/Lzn4r9JFl6","sanctuarycities"
"2016-07-07 ","12:16:54","RepDianeBlack","Praying for Tennesseans impacted by flooding and storm damage in Sumner, Wilson counties &amp; throughout #TN06. Stay safe today.","TN06"
"2016-06-13 ","20:03:47","RepDianeBlack","Talked with @CARHNews today about the importance of preserving access to affordable #housing for rural Tennesseans. https://t.co/1F6dnLpjQJ","housing"
"2016-06-12 ","15:23:01","RepDianeBlack","Heartbreaking news out of Orlando. We are praying for the first responders, for families who have lost loved ones, and for the many victims.",
"2016-02-25 ","22:33:51","RepDianeBlack","Deeply honored to meet Pastor #SaeedAbedini today. We rejoice in his safe return to the U.S. https://t.co/0udd9b2Hix","SaeedAbedini"
"2016-02-25 ","15:50:28","RepDianeBlack","Why do I love calling #Tennessee home? Let me tell you: https://t.co/PhPm7XgIPO @WCTE","Tennessee"
"2016-02-25 ","14:59:05","RepDianeBlack","Joining @WilkowMajority at around 12:40PM ET/11:40c on @SiriusXMPatriot Ch 125 to discuss my fight against #Obamacare fraud. Tune in!","Obamacare"
"2016-02-21 ","19:39:31","RepDianeBlack","@Rob_Huddleston However, if you're referring to the $1.1T omnibus bill in December, I voted no. See here: https://t.co/tw9fazsX6d  (2/2)",
"2016-02-21 ","19:38:07","RepDianeBlack","@Rob_Huddleston Roll Call vote 193 in the House was VA appropriations bill that Rs nearly unanimously supported. (1/2)",
"2016-02-21 ","18:04:01","RepDianeBlack","@DerivativeBope Thanks Misty!",
"2016-02-21 ","13:58:45","RepDianeBlack","Our $19 trillion #debt burden is immoral. I wrote in @Tennessean about 3 things Congress MUST do to confront this: https://t.co/gOzb6lG4AE","debt"
"2015-12-03 ","20:03:13","RepDianeBlack","Thanks to Coach Watson Brown for your years of leadership and service at @TennesseeTech. Best wishes on your retirement! @TTUGoldenEagles",
"2015-12-03 ","16:43:31","RepDianeBlack","Proud to support #ESEA bill to replace #NCLB &amp; restore local control to our schools. I explained more here: https://t.co/gFuwQmZ6K9","ESEA NCLB"
"2015-12-02 ","19:55:46","RepDianeBlack","Thanks so much for the prayers!  https://t.co/nCWWztiLi5",
"2015-12-02 ","17:15:33","RepDianeBlack","Spoke with @CatholicChannel abt the #ProLife movement &amp; the shameful politicization of the Colorado Springs tragedy: https://t.co/x9Qaqrw814","ProLife"
"2015-12-02 ","12:29:41","RepDianeBlack","I'll be talking with @RalphBristol on @997WTN at around 6:35 AM CT. Listen live at https://t.co/6zl5jhbhjO. #ProLife","ProLife"
"2015-12-02 ","11:58:30","RepDianeBlack","Joining @WilliamJBennett's ""Morning in America"" around 6:05 AM CT. Listen here: https://t.co/GnK5RCFXHa",
"2015-11-01 ","23:33:36","RepDianeBlack","Dave &amp; I send our prayers to the family of @FredThompson- a true statesman &amp; beloved Tennessean. He will be missed. https://t.co/j6iGPuKxZ7",
"2015-10-31 ","13:09:30","RepDianeBlack","This week's #budget deal was a raw deal for American taxpayers. I voted no. Read my @Tennessean op-ed to learn why: https://t.co/x1iZ8dI44H","budget"
"2015-10-02 ","21:54:31","RepDianeBlack","On #MFGDay15 we honor our local manufacturers &amp; all they do to keep #TN06 strong! (Photo from Insteel in Gallatin) http://t.co/fF4bdowQzD","MFGDay15 TN06"
"2015-10-02 ","15:16:03","RepDianeBlack","No, Cecile Richards, abortion is not health care. #ProLife #DefundPP http://t.co/obSeB1Es7E","ProLife DefundPP"
"2015-10-01 ","13:46:51","RepDianeBlack","Powerful video from @RepMeehan. Look fwd to supporting #HR3457 to ensure #NotOneCent goes to Iran until it pays up: https://t.co/UZx4GkNXmA","HR3457 NotOneCent"
