Date,Time,screen_name,text,hashtags
7/18/16,19:31:03,RepMiaLove,"Large algal bloom on E.Utah lake. Please take precautions. My office working w/DEQ. More info: 
https://t.co/LUdnnKJh4K",
7/8/16,20:40:23,RepMiaLove,"Opioid Addiction:  Yes on S. 524, which combats addiction from every angle thru specific, targeted solutions. #utpol
https://t.co/oBiUMnGYs7",utpol
7/8/16,14:42:07,RepMiaLove,"Heartsick over violence-loss of 5 law enf. ofcrs. in Dallas. We must focus on what unites-not what divides us. 

https://t.co/411tSz445p",
7/7/16,13:37:18,RepMiaLove,Mental Health system is a disaster in the US- Yes on HR 2646-will help those most in need/neglected/those who suffer-the mentally ill #utpol,utpol
7/7/16,13:30:35,RepMiaLove,"HR 4361 would crack down on fed. employees who watch porn/labor organize at work-it also allows for better security of IT systems,  #utpol",utpol
6/12/16,17:42:39,RepMiaLove,Reports say #OrlandoShooting suspect pledged allegiance to ISIS. My thoughts and prayers to innocent victims and families in this tragedy.,OrlandoShooting
2/25/16,15:51:49,RepMiaLove,"Op ed illustrates my commitment to seniors, fighting cuts to #medicareadvantage  

https://t.co/DWVqNFU1L6",medicareadvantage
7/16/15,20:58:12,RepMiaLove,"On the floor of the House, I call for a Congressional Investigation of Planned Parenthood. That video is disturbing.
https://t.co/3A0bR4t3V2",
7/16/15,11:24:12,RepMiaLove,Getting ready to appear on Fox News in the Cannon rotunda. Topic:  the Iran deal. This spot is jut… https://t.co/WHKQxzicq3,
6/18/15,4:27:54,RepMiaLove,Our prayers are with you. https://t.co/VvqfOqGjDc,
6/12/15,19:51:36,RepMiaLove,"So heartbreaking. Prayers for their loved ones. ""Provo parents, 2 children die in Missouri plane crash"" http://t.co/Gp06PreN9b via @kslcom",
7/8/16,19:31:22,RepChrisStewart,"W/ my strong support, the House passed legislation today to fight the #opioid epidemic: https://t.co/7Vwi7kXXZZ #utpol",opioid utpol
7/8/16,15:05:11,RepChrisStewart,My Statement on the killing of 5 police officers in Dallas: #utpol https://t.co/JSTK7To8jC,utpol
7/8/16,14:10:28,RepChrisStewart,I want to reemphasize my respect &amp; appreciation for all the officers that put their lives on the line every day to keep us safe. #utpol,utpol
7/8/16,13:47:17,RepChrisStewart,The lockdown of the @uscapitol has been lifted.,
7/8/16,13:40:50,RepChrisStewart,The @uscapitol is currently on lockdown. My staff and I are all safe and accounted for in the adjacent Cannon House Office Building.,
7/7/16,21:15:25,RepChrisStewart,I've just launched the Congressional Caucus on Peru. Learn more: https://t.co/8KZlqra6Qo #utpol,utpol
6/12/16,18:30:30,RepChrisStewart,My statement on the attack in #Orlando: #utpol https://t.co/5NtioFZ70w,Orlando utpol
6/12/16,13:07:50,RepChrisStewart,Praying for those affected by the #Orlando nightclub shooting. Very tragic. #utpol,Orlando utpol
2/25/16,14:04:38,RepChrisStewart,"Important witnesses testifying- FBI Director, CIA Director, National Intelligence Director &amp; more. Watch live https://t.co/TnJpiixEUF #utpol",utpol
2/25/16,13:58:28,RepChrisStewart,A rare non-classified public hearing with the House Intelligence Committee is about to begin. Watch live: https://t.co/TnJpiixEUF #utpol,utpol
2/21/16,13:52:58,RepChrisStewart,"I'll be joining @FoxNews to give my take on the Apple, FBI encryption debate. 8:20MT/10:20ET, tune in! #utpol @MariaBartiromo @SundayFutures",utpol
12/2/15,20:50:15,RepChrisStewart,Praying for those in #SanBerandino.,SanBerandino
7/16/15,15:14:40,RepChrisStewart,In case you missed it - here's the @cspan clip of my interview this morning on the #Iran Deal: http://t.co/QNRN77pHH3 #utpol,Iran utpol
7/16/15,13:14:31,RepChrisStewart,Thanks Erin! https://t.co/hQsiuP3rv5,
7/16/15,11:42:12,RepChrisStewart,Preparing to head on @cspan in a few minutes discussing the Iran deal. #utpol @cspanwj http://t.co/TCvj3feZmy,utpol
6/18/15,20:35:07,RepChrisStewart,Congrats to @SnowCollege for being a finalist at the @NSF Innovation Challenge.  #utpol http://t.co/lIav0qDpdY,utpol
6/18/15,18:31:40,RepChrisStewart,Shocked &amp; saddened to hear about the brutal murder at the church in Charleston. My thoughts &amp; prayers go out to the victims’ families #utpol,utpol
6/18/15,16:28:06,RepChrisStewart,@UAgainstHunger @fractweets So glad she could be there!,
6/18/15,16:03:02,RepChrisStewart,Breakfast w Marco. He has such a great story. So good on the issues.  Connects immediately w people.  Very impressed. http://t.co/kp04fRMHCy,
6/17/15,15:21:30,RepChrisStewart,"Thx @DevinNunes, @SanfordBishop &amp; @RepSteveStivers for supporting our veterans by co-sponsoring the Veterans TRICARE Choice Act!",
6/17/15,15:04:56,RepChrisStewart,@tbtoone @deseretnews Any Time!,
