"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","15:37:28","HerreraBeutler","Check out local news coverage about my legislation to protect salmon from increasing sea lion predation.  https://t.co/Jbvhov8Eup",
"2016-07-08 ","19:57:31","HerreraBeutler","Opioid ODs are now #1 cause of accidental death. Today, we passed a bill in U.S. House bring hope for recovery. https://t.co/b3f9GhTJkq",
"2016-07-07 ","19:58:29","HerreraBeutler","Ystrdy I voted to advance the most significant reform to US mental health system in decades. 
https://t.co/8HVAu265Ub",
"2015-12-03 ","22:44:00","HerreraBeutler","Just passed a solution for affordable &amp; reliable American energy. Importantly, hydro is recognized as the clean, renewable energy it is!",
"2015-10-02 ","21:06:19","HerreraBeutler","Voted so Iran receives #NotOneCent in sanction relief until it pays the families victimized by its terrorist actions https://t.co/wU2lqRdSti","NotOneCent"
"2014-05-23 ","20:23:37","HerreraBeutler","As a proud member of the #12man it was awesome meeting @DangeRussWilson and the @Seahawks @ the White House yesterday http://t.co/3r2VHDFNvt","12man"
"2014-04-04 ","22:01:52","HerreraBeutler","April 15 is the last day to submit art 2 the High School Congressional Art Competition. Check out last year's winner! http://t.co/Ies8cpYW3h",
"2014-04-03 ","22:07:51","HerreraBeutler","Last Mar, we told the #VA 611,000 disability claims over 125 days old was unacceptable.  They’ve reduced by 44%. Still more to do #Veterans","VA Veterans"
"2014-04-03 ","17:28:40","HerreraBeutler","My bipartisan #fishing #jobs bill gets a hearing today. Excited #Ilwaco’s Jim Neva will be in DC to speak in favor! http://t.co/5S2XbDiqzu","fishing jobs Ilwaco"
"2013-06-07 ","22:18:39","HerreraBeutler","Job-seeker?  Come meet with 60+ hiring employers on Monday, June 10th at our Jobs Fair. More info here: http://t.co/NSVAhUAFLf #4jobs","4jobs"
"2011-09-06 ","18:02:11","HerreraBeutler","Cutting spending is a priority; see WA Post article on my 10% pay cut bill for Cong., Pres & VP http://t.co/yakZjeM #WCOT","WCOT"
"2016-09-24 ","04:59:27","davereichert","Sending my thoughts &amp; prayers to those fatally shot in #Burlington. Pls stay safe as the investigation continues. https://t.co/gk6ubsKSTe","Burlington"
"2016-07-17 ","20:15:55","davereichert","Heartbroken for the loved ones of the officers killed in the line of duty. Praying for the injured &amp; the Baton Rouge Police Department @BRPD",
"2016-07-08 ","22:23:10","davereichert","Went on @MSNBC to discuss the need for police &amp; communities to come together to make our neighborhoods safer https://t.co/6qY8vQemQH",
"2016-07-08 ","15:45:00","davereichert","Stunned &amp; heartbroken about the terrible tragedy in #Dallas Praying for the loved ones of the deceased &amp; for those recovering from wounds.","Dallas"
"2016-07-07 ","18:50:05","davereichert","Proud the House passed #HR2646 so we can help families suffering with #mentalillness get the care they need.","HR2646 mentalillness"
"2016-06-13 ","22:07:55","davereichert","Thank you @Ellensburg_WA for your support of #MountainstoSound and commitment to protect our national treasures for future generations.","MountainstoSound"
"2016-06-13 ","19:31:03","davereichert","Congrats to Manson High School’s 2016 graduating class. It was a pleasure to serve as your commencement speaker! https://t.co/98BrFHhLky",
"2016-02-25 ","21:16:53","davereichert","Proud to co-introduce the #MedicareAccesstoRadiologyCareAct - commonsense leg to increase access to radiology services @RadiologyACR","MedicareAccesstoRadiologyCareAct"
"2016-02-25 ","20:36:57","davereichert","Our daughters are not for sale. Congress must do its part to #EndDemand &amp; stop #trafficking @TLNmovie @rights4girls https://t.co/kU32IxvC8n","EndDemand trafficking"
"2016-02-25 ","19:48:32","davereichert","Cpl. Nate Carrigan was a 13-year law enforcement vet and beloved by his community. Praying for his family &amp; the #ParkCountySheriffsOffice","ParkCountySheriffsOffice"
"2015-11-28 ","23:14:46","davereichert","Well done @ECCrusaders in last night's semi-finals 49-21 win! #GoCru","GoCru"
"2015-11-28 ","18:12:23","davereichert","As you begin your holiday shopping, remember to #shopsmall and support your local small businesses! #SmallBusinessSaturday","shopsmall SmallBusinessSaturday"
"2015-11-28 ","05:02:36","davereichert","Tonight my prayers are with the victims of today's shootings including #GarretSwasey, a brave officer tragically killed in the line of duty.","GarretSwasey"
"2015-10-02 ","19:47:16","davereichert","Learning &amp; attention issues are more common than you think. Did you know that 1 in 5 students struggle with them? #LDAwarenessMonth","LDAwarenessMonth"
"2015-10-01 ","15:23:33","davereichert","Heartbroken to see that another law enforcement member was killed in the line of duty. http://t.co/3xckTTmPSc",
"2015-07-17 ","19:03:20","davereichert","How beautiful is the WA-8th?! This was taken by a Reichert staffer on a hike recognizing the 25th… https://t.co/RTjo9RIaku",
"2015-07-16 ","21:36:21","davereichert","My thoughts and prayers are with the families of the 4 Marines so tragically murdered in today’s shooting in Chattanooga #SemperFi","SemperFi"
"2015-07-16 ","14:49:50","davereichert","#tbt 39 years ago, the #AlpineLakes Wilderness Area was established; in 2009 we held a press… https://t.co/QmjcQsQSsH","tbt AlpineLakes"
"2015-06-17 ","22:24:58","davereichert","Honored to meet with Danielle upon her being recognized with @TheAward’s Gold Medal. Such an achievement! http://t.co/YtRqZ14gP5",
"2015-06-12 ","16:54:24","davereichert","Soon, the House will take a critical vote on #TPA4USJobs – If America’s to lead the global economy, the only right vote is a yes vote","TPA4USJobs"
"2014-10-24 ","19:37:53","davereichert","Am closely monitoring the tragic reports from the  #Marysville High School shooting. Prayers with the students, staff, and families","Marysville"
"2014-10-24 ","18:32:01","davereichert","ICYMI: @WaysandMeansGOP is working to prevent #SocialSecurity dollars from being paid out to former Nazis: http://t.co/D4Jdw5v3mH","SocialSecurity"
"2014-10-24 ","15:43:25","davereichert","The @seattlecenter free health clinic is going on now, until the 26th: http://t.co/pIukykfzqI",
"2014-04-04 ","19:14:20","davereichert","Yesterday, Rep. Reichert spoke in support of the Save the American Worker Act: http://t.co/lgM0BqpQv0 #Obamacare","Obamacare"
"2014-04-03 ","22:37:45","davereichert","Join with me in saying #NoMore to sexual assault: http://t.co/tW3oHM5Tlv","NoMore"
"2014-04-03 ","15:10:01","davereichert","#tbt to 2004 and being named one of Seattle Magazine's 25 most influential people as King County Sheriff http://t.co/XKyBWlMpiL","tbt"
"2014-04-03 ","14:41:51","davereichert","Watch Rep. Reichert’s opening statement at his hearing to assess the success of the #MIECHV program: http://t.co/BxKZsXwXz3","MIECHV"
"2014-02-21 ","20:53:15","davereichert","Had a very successful meeting yesterday with WA-8th mayors from the western side of the district: http://t.co/z0HRrIdPD1",
"2013-09-17 ","19:33:37","davereichert","Today we celebrate the 226th anniversary of the Constitution. May we never forget its principles. #ConstitutionDay","ConstitutionDay"
"2013-09-16 ","13:51:05","davereichert","Praying for safety and capture RT: @USNavy #BREAKING: #USNavy confirms several injured in #NavyYardShooting. More information to follow.","BREAKING USNavy NavyYardShooting"
"2013-03-14 ","17:32:32","davereichert","Reps. Reichert, Matheson, Olson, &amp; Pascrell introduced a bill to increase access to RA procedures under Medicare: http://t.co/Dk6SVRnpp7",
"2013-03-13 ","23:23:46","davereichert","ICYMI: Click to see Rep. Reichert’s post-plunge interview from the Special Olympics Washington polar plunge:
http://t.co/lhWRIb6Fx9",
"2013-03-13 ","22:37:58","davereichert","Click to see Rep. Reichert speak in support of protecting and improving programs like TANF on the House Floor today: http://t.co/TzIkVDEHJr",
"2012-12-14 ","21:47:45","davereichert","My thoughts and prayers are with the families of the CT tragedy. #SandyHook #PrayforNewtown","SandyHook PrayforNewtown"
