"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","23:02:46","RepEvanJenkins","Meeting with Jerry James of @BlfdStateColl about how we can expand opportunities for our students. https://t.co/Qq5YCR3UXQ",
"2016-09-23 ","15:18:28","RepEvanJenkins","The Prohibiting Future Ransom Payments to Iran Act will stop the administration from putting Americans abroad in danger.",
"2016-07-18 ","19:43:58","RepEvanJenkins","The drug crisis isn’t a partisan issue – we must work together to find solutions. https://t.co/0G7fLjpXK2",
"2016-07-18 ","00:04:57","RepEvanJenkins","We grieve for the families of the fallen officers in Baton Rouge and ask for God's grace on their souls. We must stand united against hate.",
"2016-07-08 ","20:18:47","RepEvanJenkins","More than 250 groups support the Comprehensive Addiction and Recovery Act – CARA. I urge the Senate to pass it now. https://t.co/b9zFSuh66G",
"2016-07-08 ","19:01:22","RepEvanJenkins","Meeting with @ZahavaUrecki, who received a Harry S Truman Scholarship. Congratulations, Zahava! https://t.co/pT0w7WaGF9",
"2016-07-08 ","17:40:54","RepEvanJenkins","I increased funding by $2 million for HIDTA, a program that helps local law enforcement stop drug trafficking. https://t.co/E1QdNvU5Hc",
"2016-07-08 ","16:20:38","RepEvanJenkins","If you are unhappy with the answers you have received from FEMA about your WV flood claim, I want to help you. https://t.co/YfSDJMwIDW",
"2016-07-08 ","15:41:40","RepEvanJenkins","Events in the past few days, culminating in Dallas, must not divide us. Now is a time to unite as Americans &amp; remember our common humanity.",
"2016-07-07 ","19:34:27","RepEvanJenkins","More than $20 million in FEMA individual assistance has been given to West Virginians, and more than 6,000 households have registered.",
"2016-07-07 ","19:33:55","RepEvanJenkins","I just finished a call with FEMA, and I wanted to share with you the latest on the response in West Virginia. https://t.co/PVlJZKRinC",
"2016-07-07 ","13:23:33","RepEvanJenkins","Two FEMA centers are opening today: Midland Trail High School in Fayette Co. &amp; McClintic Public Library in Pocahontas Co. Open 7-7 daily.",
"2016-06-13 ","19:35:27","RepEvanJenkins","Working with the leadership of West Virginia's largest physician organization to make patient care a priority. https://t.co/lvp0qtx6tY",
"2016-06-12 ","18:14:02","RepEvanJenkins","The news out of Orlando is tragic, and we pray for the victims, the injured, and their families and friends.",
"2016-02-26 ","17:53:24","RepEvanJenkins","I just voted to pass the SHARE Act, which protects our #2A rights and expands hunting and fishing opportunities. https://t.co/bpqWgGz70K","2A"
"2016-02-25 ","18:49:41","RepEvanJenkins","Stacie Walls of Boone County and her family are the true faces of the war on coal. #WVCoalVoices https://t.co/kZghZW2fTm","WVCoalVoices"
"2015-12-03 ","18:26:08","RepEvanJenkins","The House-passed, 5-year highway bill means billions in transportation funds for West Virginia. This is a great day! https://t.co/C14UR9v6wJ",
"2015-12-03 ","17:40:05","RepEvanJenkins","H.R. 8 includes an amendment I wrote to study how American energy can be used to create new jobs &amp; make our allies more secure. #Yes2Energy","Yes2Energy"
"2015-12-03 ","17:39:25","RepEvanJenkins","Our energy laws haven’t been updated since the 1970s. We need policies that promote all energy, starting with coal. #Yes2Energy","Yes2Energy"
