"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","19:48:10","CynthiaLummis","We need to streamline the approval process so that generic #EpiPen can be made more affordable for the public https://t.co/pamnj427ct","EpiPen"
"2016-09-23 ","19:47:59","CynthiaLummis","Several generic versions of the #EpiPen have failed to be approved by the Food and Drug Administration https://t.co/pamnj427ct","EpiPen"
"2016-09-23 ","19:47:47","CynthiaLummis","Mylan produces #EpiPen &amp; controls 90% of the market, retailing the drug for $600 for 2. in 2007 it cost $100 https://t.co/pamnj427ct","EpiPen"
"2016-09-23 ","19:47:25","CynthiaLummis",".@GOPoversight held a hearing this week on the rising price of #EpiPen https://t.co/pamnj427ct","EpiPen"
"2016-07-08 ","21:41:57","CynthiaLummis","@HurdOnTheHill understands the dangers exposure of classified info creates for our country, watch his questions: https://t.co/Bbfx8T77Fi",
"2016-07-08 ","21:41:40","CynthiaLummis","Hilary Clinton sent classified info through unsecured servers in her basement, exposing it to enemy intelligence https://t.co/Bbfx8T77Fi",
"2016-07-08 ","21:41:30","CynthiaLummis","Joined a hearing to ask FBI Director why he recommended no charges against former Secretary Hilary Clinton https://t.co/Bbfx8T77Fi",
"2016-02-26 ","22:33:58","CynthiaLummis","House passed SHARE Act w/ our amendment restoring @USFWS decision to delist gray wolf in #Wyoming &amp; West Great Lakes https://t.co/f0Cq02aCtF","Wyoming"
"2015-10-02 ","21:33:38","CynthiaLummis","In this week’s Cattle Call I show some of my questions to Planned Parenthood’s president in @GOPOversight hearing: http://t.co/mIl9FKT8RW",
"2015-07-17 ","19:42:09","CynthiaLummis","Thanks Bryce and Shelby of #Wyoming for visiting with me about some of the challenges facing juveniles with diabetes http://t.co/kAv1tQFDBH","Wyoming"
"2015-07-16 ","20:40:15","CynthiaLummis","Pleased to meet Kaylin of Big Horn HS during her time in D.C. for Journalism Conference at George Mason U! #Wyoming http://t.co/GQDOPDkXe2","Wyoming"
"2015-06-12 ","20:54:15","CynthiaLummis","I voted against Trade Promotion Authority. I don’t trust President Obama with a clod of dirt, let alone international trade deals.",
"2014-04-04 ","20:31:03","CynthiaLummis","This week in the U.S. House we passed the Save the American Workers Act which would help protect the estimate… http://t.co/WON60CJIyE",
"2014-04-03 ","19:40:23","CynthiaLummis","I was honored this morning to receive an @ACUConservative  award. I appreciate the support as I work for #Wyoming http://t.co/ickbN8Kaot","Wyoming"
"2014-04-03 ","13:17:01","CynthiaLummis","RT @ACUConservative: Welcome to Defender of Liberty @cynthialummis! #ACUratings","ACUratings"
"2013-07-27 ","13:28:04","CynthiaLummis","Catch up with all the latest news from Washington. Follow the #Wyoming delegation @SenJohnBarrasso @SenatorEnzi","Wyoming"
"2013-06-07 ","20:09:04","CynthiaLummis","#USFishAndWildlife removing gray wolf from endangered species list. Great news for state/local species mgmt efforts! http://t.co/6cWHcL5apz","USFishAndWildlife"
"2013-06-07 ","15:15:01","CynthiaLummis","Congrats @WildEarthGuards on stream restoration work. More of that + willingness to collaborate - lawsuits that ruin people = progress.",
"2013-06-07 ","13:39:16","CynthiaLummis","RT @GOPLeader: The House is leading the fight for #OpenGov. Learn more at http://t.co/tiAMixKX8A","OpenGov"
"2012-12-14 ","19:41:21","CynthiaLummis","Have you had a chance to sign up for my newsletter? If you're interested, follow this link to register: https://t.co/hhjqkuX7",
"2012-04-02 ","16:57:47","CynthiaLummis","Audio: In case you missed it: Last week I spoke with David Koch from Big Horn Radio Network on President... http://t.co/sWglexkd",
"2012-04-02 ","16:29:06","CynthiaLummis","Video: Last week I voted in support Path to Prosperity, a Fiscal Year 2013 budget for the federal... http://t.co/cMntNcyb",
"2011-10-13 ","15:32:50","CynthiaLummis","It was a great privilege to greet Wyoming's WWII heroes at the WWII Memorial in Washington, D.C yesterday: http://t.co/dBLz064A",
"2011-10-12 ","13:41:16","CynthiaLummis","Heading over to the WWII Memorial to greet Wyoming's WWII heroes for their Honor Flight trip to Washington, D.C. this morning!",
"2011-09-07 ","17:37:33","CynthiaLummis","Lummis on FOX Business regarding the President's jobs speech: ""We need to go bold."" Click here to watch: http://ow.ly/6nYbC",
"2011-01-09 ","03:14:00","CynthiaLummis","I encourage all Americans 2 pray for those killed in the incident, for the recovery of Rep. Giffords & others injured, & for our country.",
"2011-01-09 ","03:12:41","CynthiaLummis","I am deeply saddened by the horrific attack on Rep. Giffords, her staff, Judge John Roll, & the residents of Arizona’s 8th district.",
"2011-01-08 ","21:10:29","CynthiaLummis","My thoughts and prayers go out to Rep. Giffords and all the victims of this unconscionable attack.",
"2010-08-03 ","17:14:34","CynthiaLummis","Off to the Lincoln County Fair to lend a hand with the livestock judging. Join us at the Afton Fairgrounds!",
"2010-08-03 ","14:12:10","CynthiaLummis","Getting ready to meet with the directors of the Star Valley Hospital in Afton to hear what Obamacare will mean for Wyoming doctors.",
"2009-11-06 ","22:51:53","CynthiaLummis","Editorial: GOP offers cheaper approach to health reform | detnews.com | The Detroit News: http://bit.ly/1kc488",
"2009-11-06 ","21:21:07","CynthiaLummis","Video: Voices of Republican Women: Health Care and the National Debt http://tumblr.com/xpv3w2rd4",
