"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","14:29:32","SenShelby","Read our letter to .@POTUS regarding the importance of protecting our national security &amp; nuclear deterrence: https://t.co/Z1Bwj7Xj9t",
"2016-09-23 ","14:27:42","SenShelby","While no American wishes to employ nuclear weapons in conflict, I strongly oppose establishing a “no first use” policy.",
"2016-09-23 ","14:27:07","SenShelby","President Obama has recently considered implementing a dangerous “no first use” nuclear weapons policy.",
"2016-07-17 ","17:13:32","SenShelby","Terrible news of another senseless attack on our nation's law enforcement coming out of #BatonRouge today. https://t.co/KfrbiRvlHL","BatonRouge"
"2016-07-08 ","14:02:32","SenShelby","Praying for the victims, their families, &amp; the city of #Dallas. The attack on law enforcement who work to protect us every day is horrific.","Dallas"
"2016-07-07 ","18:34:55","SenShelby","Transporting these juveniles to #AL instead of sending them back to their homes will only make the bad situation worse.","AL"
"2016-07-07 ","18:34:24","SenShelby","This Administration has failed in their handling of our southern border crisis, &amp; moving these immigrants to #AL rewards illegal conduct.","AL"
"2016-07-07 ","18:33:39","SenShelby","ICYMI: @SenatorSessions &amp; I sent a letter objecting to potential housing of illegal alien juveniles in Baldwin Cty. https://t.co/CiOieWI6oP",
"2016-07-07 ","15:36:09","SenShelby","I'll be on News Talk 93.1 in Montgomery at 11:05am CT.  Listen in live online: https://t.co/IRzcK3MOVZ #AL","AL"
"2016-07-07 ","13:57:44","SenShelby","I'll be on @TheDaleJackson show at 9:30am CT to discuss Hillary Clinton's e-mail scandal &amp; more. Listen in here: https://t.co/cZKFz92N48 #AL","AL"
"2016-06-13 ","16:07:20","SenShelby","It was an honor to have 3 bright students as interns in my office for the 1st session of my summer internship prgm. https://t.co/RIEAKkogOy",
"2016-06-12 ","16:38:16","SenShelby","Deeply saddened by the horrific tragedy in Orlando. My thoughts &amp; prayers are with the victims, their families, &amp; the first responders.",
"2016-02-25 ","19:44:50","SenShelby","It's completely unacceptable that DOJ has failed in its duty to defend the U.S. Election Assistance Commission: https://t.co/ajwTQQixDk @NRO",
"2016-02-25 ","19:42:35","SenShelby","I questioned @LorettaLynch on non-citizens voting in this morning's CJS subcommittee hearing: https://t.co/ONJm5YbHQE",
"2016-02-25 ","15:21:47","SenShelby","This morning at 9:30am CT, @LorettaLynch will testify before the CJS subcommittee.  WATCH: https://t.co/QRzdN5jWHb",
"2015-12-03 ","18:26:50","SenShelby","ICYMI - I just spoke on the Senate floor about protecting the rights of law-abiding citizens to keep &amp; bear arms: https://t.co/POfBewduzE",
"2015-12-03 ","15:28:22","SenShelby","Shelby, Sessions, Blackburn, Smith: HHS Violating Law By Refusing To Submit Refugee Report - https://t.co/muUjgQIps2",
"2015-12-02 ","18:19:15","SenShelby","I joined my colleagues &amp; the @AmericanRCross to sign holiday cards for servicemembers, veterans, &amp; their families. https://t.co/CwFW54UYbT",
"2015-07-16 ","14:46:59","SenShelby","Yesterday I congratulated #AL teacher Sue Zupko on her @NOAA @TeacherAtSea Award for Excellence in Science Education. http://t.co/9axcZjmbyh","AL"
"2015-06-18 ","15:38:49","SenShelby","The Senate Appropriations Committee approved the Interior &amp; Environment funding bill today, which reins in the #EPA: http://t.co/YxryCSMMbM","EPA"
"2015-06-17 ","22:10:33","SenShelby","Taylor Hardy, one of my interns during the month of May, was featured in @TheCrimsonWhite. Read more: http://t.co/J9h9NVRCRp",
"2015-06-11 ","20:13:27","SenShelby","The bill includes important funding for the Littoral Combat Ship (LCS) program &amp; the Joint High Speed Vessel (JHSV): http://t.co/PDCwy1zkqz",
"2015-06-11 ","20:13:14","SenShelby","I'm pleased to report that the Senate Appropriations Committee approved the Department of Defense Appropriations bill today.",
"2015-06-11 ","17:54:29","SenShelby","The red snapper fishery is vital to fishermen and businesses across Alabama.  Learn more here: http://t.co/l4CfpfKb9F",
"2015-06-11 ","17:53:52","SenShelby","Today, the Senate Appropriations Committee approved the FY16 CJS Appropriations bill that included several critical #RedSnapper provisions.","RedSnapper"
"2014-04-03 ","18:25:43","SenShelby","IG answers Shelby's question...https://t.co/Glbwt9pNYz",
"2014-04-03 ","18:25:15","SenShelby","Holder dodges Shelby's question... https://t.co/rPf0QriOAi",
"2014-04-03 ","18:24:20","SenShelby","Shelby blasts Holder for not providing IG unfettered access to documents http://t.co/elfcNWAFez",
"2013-07-26 ","16:00:26","SenShelby","ICYMI: Shelby spoke on the Senate floor yesterday discussing the need to establish proper conditions for job creation http://t.co/O0xC9mJgj0",
"2013-03-13 ","18:13:03","SenShelby","WATCH: Sen. Shelby on his way to Cruz amendment vote expresses his support for the legislation: http://t.co/4LNUrvG2X7 #Obamacare","Obamacare"
