"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","21:40:07","SenTomCotton","I’m pleased the Senate passed my bill, the Charles Duncan Buried with Honor Act. Click here to read more: https://t.co/xKgMXSBUvw",
"2016-09-24 ","20:26:28","SenTomCotton","My statement after the UN Security Council voted to approve a resolution related to #CTBT. https://t.co/mH67Mvtnlc https://t.co/GAk4fmehaj","CTBT"
"2016-09-24 ","19:23:47","SenTomCotton","Earlier this week I joined @HughHewitt to discuss the Senate’s end of the year business. LISTEN HERE: https://t.co/m8o8wXDOE1",
"2016-09-24 ","17:13:08","SenTomCotton","Join me in celebrating #NPS100 birthday— I encourage you to take advantage of our national parks in AR! https://t.co/FpgSxJaMtc","NPS100"
"2016-09-23 ","23:35:05","SenTomCotton","Best of luck to the Dardanelle Sand Lizards tonight during their game against Dover!",
"2016-09-23 ","21:55:11","SenTomCotton","My statement after the UN Security Council voted to approve a resolution related to #CTBT. https://t.co/mH67Mvtnlc https://t.co/CNhYffQapu","CTBT"
"2016-09-23 ","20:27:29","SenTomCotton","I joined my Senate colleagues in urging @POTUS to refrain from implementing the ‘no first use’ nuclear policy. https://t.co/qXRE81NVmr",
"2016-09-23 ","20:20:12","SenTomCotton","I’m proud to honor Jess Forster from Little Rock as this week’s #ArkansanOfTheWeek https://t.co/4yMxIc6iEl https://t.co/eK4h6g9BRu","ArkansanOfTheWeek"
"2016-09-23 ","19:40:14","SenTomCotton","Need help with the IRS, VA, or Social Security? My office can help! https://t.co/HqkCsYfsFJ",
"2016-09-23 ","19:11:21","SenTomCotton","Thank you @RepBradWenstrup   for introducing the Charles Duncan Buried with Honor Act in the House today.  https://t.co/9T5sg73vEn",
"2016-09-23 ","18:50:09","SenTomCotton","Great meeting with Albert I Flaig from Lowell with the National Peace Corps Association. Thanks for stopping by! https://t.co/aBONwea2y4",
"2016-09-23 ","16:40:21","SenTomCotton","I introduced the SAVINGS Act, a bill requiring the @US_FDA to expedite the review process for generic drugs. https://t.co/regXuVMLXI",
"2016-09-23 ","14:21:21","SenTomCotton","To keep us safe, law-enforcement officers need the cooperation and assistance of those they’re sworn to protect. https://t.co/QT5ty5oxJI",
"2016-07-18 ","21:46:09","SenTomCotton","Do you know an Arkansan who has made an impact on their community? #ArkansanOfTheWeek https://t.co/5g8fTJJdnI","ArkansanOfTheWeek"
"2016-07-18 ","19:58:07","SenTomCotton","Any Arkansans who are interested in a tour of the U.S. Capitol should contact my office! https://t.co/HaJiyKi4ip https://t.co/HvxZ6rT6tQ",
"2016-07-18 ","18:06:14","SenTomCotton","I recognized Kim Carter on the Senate floor as this week’s #ArkansanOfTheWeek.
https://t.co/AVHUY4gr4Z","ArkansanOfTheWeek"
"2016-07-18 ","16:24:58","SenTomCotton","LTC Kettles is a true American hero. Thank you for your courage &amp; service to our country. We are in awe of your bravery. #MedalOfHonor","MedalOfHonor"
"2016-07-18 ","14:46:15","SenTomCotton","Last week I requested a GAO study of the Grad PLUS student loan program. READ MORE: https://t.co/iySzf9nklq",
"2016-07-17 ","20:35:10","SenTomCotton","Do you know an Arkansan who has made an impact on their community? #ArkansanOfTheWeek https://t.co/oxS1siNCtb","ArkansanOfTheWeek"
"2016-07-17 ","19:40:11","SenTomCotton","Don’t miss my next newsletter! Sign up here —&gt; https://t.co/fXNXmu6BXO https://t.co/hUHMD0s901",
"2016-07-17 ","18:35:05","SenTomCotton","In celebration of the #NPS100 birthday, I encourage all Arkansans to take advantage of our national parks! https://t.co/orflURfdAw","NPS100"
"2016-07-17 ","17:25:06","SenTomCotton","Need help with the IRS, VA, or Social Security? My office can help! https://t.co/i1nbOCw6MX",
"2016-07-17 ","16:38:25","SenTomCotton","I recognized Kim Carter on the Senate floor as this week’s #ArkansanOfTheWeek.
https://t.co/SNv7A41hPI","ArkansanOfTheWeek"
"2016-07-08 ","14:03:55","SenTomCotton","My prayers are with the families of the slain officers and the entire law enforcement community. #PrayForDallas https://t.co/ZHnKTfQ6KZ","PrayForDallas"
"2016-07-08 ","03:24:20","SenTomCotton","My statement on Senate  passage of #GMOLabeling legislation: https://t.co/9GbJ7Yr859 https://t.co/zyZFyOpX4T","GMOLabeling"
"2016-07-07 ","21:55:10","SenTomCotton","I’m proud to honor Patrick Combs from Hot Springs as this week’s #ArkansanOfTheWeek https://t.co/LV3j3GEJ2Y https://t.co/NIjvxL2KLV","ArkansanOfTheWeek"
"2016-07-07 ","21:15:10","SenTomCotton","Don’t miss my next newsletter! Sign up here —&gt; https://t.co/NfboEqt59N https://t.co/VsWlgLHmD2",
"2016-07-07 ","20:30:20","SenTomCotton","Great meeting with Arkansas members of the Pine Bluff Sand and Gravel Company. Thanks for stopping by! https://t.co/0Gdx5KspAC",
"2016-07-07 ","20:05:08","SenTomCotton","Don’t miss my next newsletter! Sign up here —&gt; https://t.co/Z4qElT2USF https://t.co/b1PH0Pcgcx",
"2016-07-07 ","19:35:07","SenTomCotton","Enjoyed meeting Phillip Todd, a student at John Brown University in Arkansas. Thanks for stopping by! https://t.co/1K5sXTHwio",
"2016-07-07 ","19:34:06","SenTomCotton","I joined @marcorubio  in push to immediately suspend security clearances of @HillaryClinton &amp; top aides. https://t.co/0t2iu2tnw3",
"2016-07-07 ","18:55:07","SenTomCotton","READ “Cotton on Clinton: I don’t even take my personal devices to Canada” via@politico  https://t.co/XQK5kVDINh",
"2016-07-07 ","18:29:24","SenTomCotton","Today I recognized Patrick Combs from Hot Springs on the Senate floor as this week’s #ArkansanOfTheWeek
https://t.co/IrA0uawmh5","ArkansanOfTheWeek"
"2016-07-07 ","17:27:04","SenTomCotton","ICYMI: I spoke on the Senate floor about MARVA &amp; protecting persons with disabilities. WATCH:
https://t.co/joUE20upLr",
"2016-07-07 ","15:38:34","SenTomCotton","Are you receiving my newsletter? If not, click here to subscribe. https://t.co/b67ZG3RKUx https://t.co/LyOI4AQbsX",
"2016-09-24 ","01:34:59","JohnBoozman","Looking forward to the events celebrating the @NMAAHC this weekend. This is a historic occasion. #APeoplesJourney https://t.co/8INJQpz288","APeoplesJourney"
"2016-09-23 ","22:29:16","JohnBoozman","Happy to be able to provide this service. Keep up the good work. https://t.co/snUSO5DtVb",
"2016-09-23 ","16:41:58","JohnBoozman","I was pleased to highlight my work to help #Arkansas on @KLEKFM. If you missed the interview you can listen here. https://t.co/94nYgciOhx","Arkansas"
"2016-09-23 ","15:58:16","JohnBoozman","Glad to see it arrived. Keep up the good work! https://t.co/lhcBZ4gs7e",
"2016-09-23 ","13:30:38","JohnBoozman","Joining @KLEKFM to discuss legislation passed by the #Senate that includes my provisions that will help #Arkansas https://t.co/aV8BlfptlK","Senate Arkansas"
"2016-07-17 ","20:25:39","JohnBoozman","https://t.co/gIZOyvADEW",
"2016-07-08 ","19:28:39","JohnBoozman","Thank you @rep_stevewomack for sharing your experiences of public service with my #Washington interns. #arpx https://t.co/6ZpqoUqUlL","Washington arpx"
"2016-07-08 ","14:15:22","JohnBoozman","The horrific news out of Dallas is heartbreaking. There is absolutely no justification for this cowardly ambush &gt;&gt; https://t.co/EN6sYHukDu",
"2016-07-07 ","21:41:28","JohnBoozman","I was honored to pay tribute to @arkansasguard Sgt Sylvester Bruce Cline. My thoughts &amp; prayers are with his family.
https://t.co/cZU6tPKyyc",
"2016-07-07 ","19:36:33","JohnBoozman","It was a great turnout as Col. Robert Dixon accepted command of @usacelittlerock. I look forward to working with him https://t.co/yZ6HKBLEf2",
"2016-07-07 ","15:28:20","JohnBoozman","I'm proud the Senate recognized the 70th anniversary of former #Arkansas Senator Fulbright's legacy @FulbrightPrgrm https://t.co/c2EovXb9wG","Arkansas"
"2016-07-07 ","14:22:04","JohnBoozman","As a proud cosponsor of this bill, I urge POTUS to sign it so we can tap new tools to fight world hunger #No1Hungry https://t.co/Pf2QmZqCxQ","No1Hungry"
