"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","17:06:24","SenJohnMcCain",".@YourWVnews: ""McCain, Flake take steps to conserve water for Valley residents"" https://t.co/ULdt5CWIBX",
"2016-07-18 ","22:55:15","SenJohnMcCain","Honored to spend the afternoon w/ #Arizona's veterans at the @VFW Post 541 in #Prescott https://t.co/VixC8tXrtW","Arizona Prescott"
"2016-07-18 ","21:39:36","SenJohnMcCain","Great addressing the Tri Valley Chambers of Commerce in #Prescott #AZ today https://t.co/2mpxLFwS9k","Prescott AZ"
"2016-07-18 ","20:27:36","SenJohnMcCain","Must-read @AP: ""Confidential Text Eases Iran Nuke Constraints"" https://t.co/1ngnHcHSHf",
"2016-07-18 ","18:51:28","SenJohnMcCain","In front of Matt's Saloon on Whiskey Row #Prescott- once home to 40 saloons on just 1 block! https://t.co/0DE1Vs1GJR https://t.co/L6pwMfkUON","Prescott"
"2016-07-18 ","18:41:49","SenJohnMcCain","Stopped by The Palace on Whiskey Row in #Prescott - check it out next time you're in town! https://t.co/voMARLtS7p https://t.co/Mf7OXK4Egt","Prescott"
"2016-07-18 ","18:37:52","SenJohnMcCain","At the steps of Yavapai County Courthouse where Barry Goldwater kicked off all of his political campaigns #Prescott https://t.co/42vMWejKaL","Prescott"
"2016-07-18 ","18:33:58","SenJohnMcCain","Visiting the Buckey O'Neill Monument in historic #Prescott AZ - founder of the Rough Riders! https://t.co/I8zDNyO5p8 https://t.co/hspoiszzSp","Prescott"
"2016-07-18 ","18:20:36","SenJohnMcCain","Spending the day in historic #Prescott - once the territorial capital of #Arizona! Learn more: https://t.co/5TbuCReWD7","Prescott Arizona"
"2016-07-18 ","15:23:21","SenJohnMcCain","Must-read @WSJ: ""The Revenge of Turkey’s Erdogan"" https://t.co/Ib7WMqeZtb",
"2016-07-18 ","14:56:33","SenJohnMcCain","Must-read @WSJ: ""World Anti-Doping Agency Finds Cheating Conspiracy by #Russia at Sochi #Olympics"" https://t.co/KGdVog5WP4","Russia Olympics"
"2016-07-17 ","18:26:54","SenJohnMcCain","Must-read @washingtonpost: ""Erdogan must resist the urge to double down on authoritarianism"" https://t.co/KM7OXgSru9",
"2016-07-08 ","19:32:13","SenJohnMcCain","Cosponsored bill this week to stop the illegal trafficking of sacred Native American artifacts https://t.co/dBJLFgm9TL",
"2016-07-08 ","19:07:03","SenJohnMcCain","Senate Democrats have found a new low in their desire to hold national defense hostage to partisan politics https://t.co/VCAH9xyxD9",
"2016-07-08 ","14:18:22","SenJohnMcCain","Praying for families of victims of #Dallas shooting - may we always remember sacrifices law enforcement, 1st responders make to keep us safe","Dallas"
"2016-07-07 ","18:30:04","SenJohnMcCain","Glad to see growing support for House vote on wasteful catfish office repeal! cc: @RepHartzler https://t.co/ZIsEvqIe1J",
"2016-07-07 ","17:41:09","SenJohnMcCain","Must-read @DailyCaller: ""Eliminating Federal Waste Means Swimming Upstream"" https://t.co/ticzS1s4BH",
"2016-07-07 ","14:50:37","SenJohnMcCain","Tell your friends - vote the outstanding @JakeLamb18 for #AllStarGame! #VoteLamb #Dbacks https://t.co/UNTK0GM3pW https://t.co/bYEGqeIYpj","AllStarGame VoteLamb Dbacks"
"2016-07-07 ","14:04:19","SenJohnMcCain","Must-read @WSJ: ""Brexit Has Nothing on Obama’s Global Amexit"" https://t.co/MJzxChlepz",
"2016-07-07 ","13:53:15","SenJohnMcCain","It's time for the House to finally vote on repeal of wasteful @USDA catfish office! ""A Chance for a Catfish Vote"" https://t.co/GrdvuxrVVY",
"2016-07-07 ","13:47:13","SenJohnMcCain","My opening stmt at #SASC hearing on @NATO, #Russia &amp; European security: https://t.co/a7XpB06Mzw Watch: https://t.co/XQmZ4KMaXR","SASC Russia"
"2016-07-07 ","13:37:12","SenJohnMcCain","Holding #SASC hearing on @NATO, #Russia &amp; European security - watch live: https://t.co/8ERFV8lL51","SASC Russia"
"2016-07-07 ","13:35:06","SenJohnMcCain","Must-read @washingtonpost: ""U.S. jets abandoned #Syrian rebels in the desert. Then they lost a battle to #ISIS"" https://t.co/757QJyObiH","Syrian ISIS"
"2016-07-07 ","13:34:06","SenJohnMcCain",".@EPA announcement it won't regulate #AZ forests critical for wildfire prevention in our state - stmt w/ @JeffFlake: https://t.co/ta7a2LPTIJ","AZ"
"2016-06-13 ","20:41:48","SenJohnMcCain","In aftermath of #ISIL inspired terror attack in #Orlando, we must not give into fear - we must defeat evil together https://t.co/4zus0e65Po","ISIL Orlando"
"2016-06-13 ","20:38:17","SenJohnMcCain","Want to escape the heat in #Arizona? Head north to beautiful Taylor AZ for its 50th anniversary this wk https://t.co/E27DreoTlc cc: @visitaz","Arizona"
"2016-06-13 ","14:35:36","SenJohnMcCain","Must-read @WSJ: ""Jihad in Orlando"" https://t.co/cuBG2Hwvpv",
"2016-06-12 ","18:34:26","SenJohnMcCain","Our prayers are w/ all impacted by horrific massacre in #Orlando - we must remain steadfast in rooting out terror https://t.co/JctMCwmDwb","Orlando"
"2016-07-08 ","16:04:54","JeffFlake","Cheryl &amp; I send our heartfelt thanks to the first responders who daily risk &amp; sacrifice so much in service to others #PrayForDallas","PrayForDallas"
"2016-07-07 ","14:29:45","JeffFlake","With airlines set to unleash the power of US travelers &amp; their FF miles, Congress should lift the #Cuba travel ban https://t.co/mz8S7wmEPW","Cuba"
"2016-06-12 ","17:40:37","JeffFlake","Following horrific events in Orlando. Deep sorrow for the victims of this tragedy.",
"2016-02-26 ","16:59:56","JeffFlake","@the_fowles. Sure. You have permission",
"2016-02-25 ","23:29:13","JeffFlake","Still less intimidating than a @michaelstrahan blitz. Thx @ABC @GMA for highlighting push to #EndWildlifeTrafficking https://t.co/XRD5iTWhSs","EndWildlifeTrafficking"
"2016-02-25 ","18:35:42","JeffFlake","New bill w/ @SenJohnMcCain goes beyond PHX flight path issue to require FAA engage stakeholders on changes https://t.co/o4LU7D3hQz",
"2016-02-25 ","15:35:11","JeffFlake","Arizonans have been fortunate to have this good man in Washington. His family will be blessed to have him home. https://t.co/ncKaK1gSyp",
