"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","18:30:05","BarbaraBoxer","Like Fiona wrote, ""It all starts with you!"" Write a letter to your dad on why he should vote for Hillary and then share it using #ToOurDads. https://t.co/wvzb0Sroq7","ToOurDads"
"2016-09-23 ","00:47:39","BarbaraBoxer","Lucas believes there should be a woman president because ""it shows that everyone has been included."" Share your letter using #ToOurDads! https://t.co/b4UZ77FQSg","ToOurDads"
"2016-07-07 ","16:15:56","BarbaraBoxer","Earth to GOP: stop wasting taxpayer money on politics and take meaningful action on Zika, gun violence and the opioid epidemic.",
"2016-07-07 ","16:15:17","BarbaraBoxer","Nothing has changed since the @GOPLeader admitted that the #GOP will do anything to sink @HillaryClinton's poll numbers.","GOP"
"2016-06-13 ","18:18:43","BarbaraBoxer","Donald Trump has once again failed the leadership test with his vile innuendo. https://t.co/4oK54EFrAs",
"2016-06-13 ","18:18:24","BarbaraBoxer","Responding to the tragedy in Orlando, our President has once again showed the unifying leadership we so desperately need in our nation.",
"2016-02-26 ","20:16:13","BarbaraBoxer","Maybe Christie wants to be transportation secretary so he can cause ""traffic problems"" for states that voted blue.",
"2014-10-25 ","00:48:17","BarbaraBoxer","If you care about protecting the right to vote – not suppressing the vote – vote Democratic.",
"2014-10-24 ","16:07:33","BarbaraBoxer","It’s 11 days until Election Day. Time to choose which party is on your side.",
"2013-03-14 ","22:51:40","BarbaraBoxer","The #GOP is pushing the same #budget we rejected in Nov. Tell them their extreme budget is wrong for America! http://t.co/40MyTlHK8p","GOP budget"
"2012-09-27 ","21:00:30","BarbaraBoxer","Do @Senate_GOPs agree with @ToddAkin that women fighting for their states isn't #ladylike? http://t.co/yjjU8e7V","ladylike"
"2012-09-27 ","20:35:29","BarbaraBoxer","Thank you @ClaireCMc for being a champion for Missouri's families. Very #ladylike.","ladylike"
"2012-09-27 ","20:10:30","BarbaraBoxer","Attention @ToddAkin - Standing up for women, seniors, veterans, and the middle class IS #ladylike. http://t.co/Gaf6trTh","ladylike"
"2009-11-05 ","17:12:09","BarbaraBoxer","It's official: Carly Fiorina is in. Join us and Rise to the Challenge! http://bit.ly/4Gg5qz",
