"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","18:00:13","SenCoryGardner","Happy #PublicLandsDay! Coloradans cherish our state's natural treasures &amp; we must continue to protect them for future generations to enjoy https://t.co/mbt3jtj7WM","PublicLandsDay"
"2016-09-23 ","18:37:45","SenCoryGardner","I'll continue to work to ensure that the terrorists in GTMO stay in Cuba and out of our backyards. Learn more here: https://t.co/cUvTSozJ9l",
"2016-09-23 ","18:37:07","SenCoryGardner","Using federal funds to survey potential relocation sites in Colorado for GTMO detainees is in direct contradiction to current law.",
"2016-07-17 ","16:21:08","SenCoryGardner","Senseless killing of our men &amp; women in blue must stop. The families of the victims of horrific violence in #BatonRouge are in my prayers.","BatonRouge"
"2016-07-08 ","15:59:01","SenCoryGardner","No one should ever be targeted because of the color of their skin or the color blue of a police uniform https://t.co/yjCtrNSntB",
"2016-07-07 ","18:01:29","SenCoryGardner","I'm headed to the Senate floor to discuss my bill that revokes #HillaryClinton's security clearance. Watch Live: https://t.co/2wJtWoCeHO","HillaryClinton"
"2016-07-07 ","12:30:30","SenCoryGardner","#HillaryClinton must be stripped of her security clearance &amp; I introduced a bill w/ @JohnCornyn that does just that https://t.co/CXRBX7etU0","HillaryClinton"
"2016-06-12 ","14:46:49","SenCoryGardner","Jaime &amp; I are mourning the lives lost in Orlando &amp; are praying for the wounded. Our hearts ache for the families of the victims. -CG",
"2016-02-20 ","15:56:06","SenCoryGardner","I discuss my North Korea Sanctions and Policy Enhancement Act in this week’s Republican Address. Watch here: https://t.co/FyXZKGK4H4",
"2015-12-03 ","19:30:36","SenCoryGardner","Coloradans want control of their own healthcare. That's why I'm voting today to repeal Obamacare. https://t.co/hTbVtPrUjM",
"2015-12-03 ","19:00:38","SenCoryGardner","The Senate will vote soon on my &amp; @SenRonJohnson's amendment that would allow Americans to keep their health plans: https://t.co/Xd7keUCbTq",
"2015-12-03 ","17:34:18","SenCoryGardner","I submitted an amicus curiae brief to the U.S. Supreme Court supporting Douglas County's Choice Scholarship Program: https://t.co/flZEbCtYHC",
"2015-12-02 ","19:24:21","SenCoryGardner","Kim Jong Un is a maniac. His nuclear-armed regime is a threat to the world &amp; his own people. https://t.co/NgLsO79aH2 https://t.co/BIkVXhbmRm",
"2015-12-02 ","19:14:03","SenCoryGardner","Working with @SenGaryPeters on legislation to expand telehealth services. Especially important in rural communities. https://t.co/picTJCT6YM",
"2015-12-02 ","15:34:37","SenCoryGardner","Read my op-ed in today's @WSJ: 'Sanction North Korea’s Forgotten Maniac'
https://t.co/NgLsO7qM5C https://t.co/HkXqDGOTVb",
"2015-11-01 ","01:04:59","SenCoryGardner","Happy Halloween from Alyson, Thatcher, and Caitlyn! https://t.co/S2Uia9yLhc",
"2015-10-02 ","20:29:38","SenCoryGardner","U.S. officials consider Colorado's Supermax for Gitmo detainees: http://t.co/Wi2A4rY9m6 via @mkmatthews

I oppose this irresponsible plan.",
"2015-10-02 ","18:40:53","SenCoryGardner","Biggest news out of Congress this week: Funding the Aurora VA Hospital through completion. CO Veterans deserve it. http://t.co/SKh4lsPkOn",
"2015-10-01 ","20:30:17","SenCoryGardner","Another state co-op failure. I'm concerned about Colorado's. Read my letter to Sec. Burwell: https://t.co/0dh4icZyt9 https://t.co/LXNW2A4ptz",
"2015-10-01 ","16:25:56","SenCoryGardner","Can't be done w/ dozens of committees &amp; subcommittees  currently having some amount of cyber jurisdiction. #FPIForum https://t.co/Vyzyea9ZGb","FPIForum"
