"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","14:42:01","SenChrisDodd","Pleased to speak to the International Film Commissioners @WeAreTheAFCI Conference today at @EmoryUniversity in #Atlanta. https://t.co/8Vu4fkK8yl","Atlanta"
"2016-06-13 ","20:21:54","SenChrisDodd","Statement from Senator Dodd on the tragic shooting in #Orlando https://t.co/IjFzG1riMW","Orlando"
"2016-02-20 ","03:03:45","SenChrisDodd","We were all blessed by the life of Harper Lee. “To Kill a Mockingbird” is an eternal American classic &amp; inspired a personal favorite film.",
"2015-12-03 ","00:27:53","SenChrisDodd","Glad to welcome @ColAmbPinzon, @jonleeanderson &amp; the Colombian Embassy to the @MPAA to screen a fantastic film #Gabo https://t.co/EpAZet2SCE","Gabo"
"2015-10-02 ","21:20:02","SenChrisDodd","It was a pleasure to participate in such a worthwhile cause. https://t.co/mIR9He4ki9",
"2014-04-03 ","20:42:00","SenChrisDodd","Excited to once again cheer on @uconnmbb and @uconnwbb in the Final Four this weekend. Go Huskies! http://t.co/0v0G9BCMlH",
"2010-08-03 ","16:37:17","SenChrisDodd","The bill will help local communities plan for and create better, more affordable places to live, work, and raise families.",
"2010-08-03 ","16:37:07","SenChrisDodd","This morning the Banking Committee passed my Livable Communities bill and it now heads to the Senate floor.",
"2009-11-30 ","21:46:35","SenChrisDodd","This nonpartisan analysis makes it clear: our health care bill will save money for families and businesses.",
"2009-11-30 ","21:46:04","SenChrisDodd","CBO report found that the Senate health reform bill will lead to lower health insurance premiums for millions of Americans.",
"2009-11-30 ","20:50:49","SenChrisDodd","Going to the Senate floor to manage the health care reform bill. You can watch my opening remarks on C-Span2.",
"2009-03-30 ","21:07:24","SenChrisDodd","Held a press conference with Rep Murphy at the Hill-Stead Museum in Farmington today to celebrate the protection of the MMM Trail.",
"2012-12-14 ","20:38:29","JoeLieberman","My statement on the Sandy Hook Elementary shooting today: http://t.co/CNdbqq1Z #Newtown #CT","Newtown CT"
"2012-07-20 ","15:19:25","JoeLieberman","Hopeful revised cybersecurity bill will draw enough votes to enact law to protect US from cyberattacks http://t.co/9lqRIY6l",
"2012-07-20 ","13:55:06","JoeLieberman","Proud to call @Gloria_J_McAdam one of my heroes. Will visit and thank @Foodshare today for its service to those in need #RockyHill #CT","RockyHill CT"
"2012-07-20 ","11:58:18","JoeLieberman",".@SenJohnMcCain and I spoke yesterday on the Senate floor about the need for US leadership in #Syria:  http://t.co/1uk7tKcu","Syria"
"2010-08-03 ","19:37:18","JoeLieberman","The shooting in Manchester was a senseless tragedy. My thoughts and prayers are with the victims’ friends and families.",
"2010-08-03 ","19:09:00","JoeLieberman","I urge my colleagues to join me in supporting Elena Kagan's nomination to be Associate Justice of the Supreme Court.",
"2010-08-03 ","17:25:32","JoeLieberman","I'll be speaking on the Senate floor about #SCOTUS nominee Elena Kagan around 2:40pm ET","SCOTUS"
