"Date","Time","screen_name","text","hashtags"
"2012-09-27 ","21:35:12","TomCarperforDE","Rallying the troops at @DelDems Sussex HQ in Gtown. Proud of this group. Ready to move us forward. http://t.co/ZwuGVMzt",
"2012-09-27 ","20:20:28","TomCarperforDE","We need to do all we can to protect+strengthen our farms, like Holly Hill here in Milford. #ag http://t.co/8R3zHPXR","ag"
"2012-07-20 ","17:33:11","TomCarperforDE","Happy Birthday @SenatorBarb Mikulski!",
"2012-05-21 ","14:50:09","TomCarperforDE","Happy Birthday Senator @alfranken!",
"2012-05-20 ","16:03:25","TomCarperforDE","Walking in Newark Memorial Day Parade today to remember those who have made the greatest sacrifice for our nation. #NetDE","NetDE"
"2012-05-20 ","14:01:53","TomCarperforDE","Congratulations to all @DelStateUniv graduates! Good luck in all of your future endeavors. #NetDE","NetDE"
"2012-04-03 ","15:15:30","TomCarperforDE","Proud to be meeting with Wawa (@gottahave) in Claymont today to discuss how the #JOBSAct will put Delawareans back to work.","JOBSAct"
"2012-04-02 ","18:23:54","TomCarperforDE","One week from today, Carper for DE HQ will have its grand opening! There will be @UDairyCreamery and music, so stop by! http://t.co/G1UE9pLD",
"2012-02-21 ","16:07:48","TomCarperforDE","Gulf oil spill partner settling, working to make Gulf Coast whole.  http://t.co/ewU0dFO1 1st called to acct by Carper http://t.co/tnvYFfEz",
"2014-10-25 ","14:57:54","JoeBiden","Look who voted yesterday! Commit to join him by voting in this year's election: http://t.co/Xsn4dFdqwu #IWillVote http://t.co/uBHRYzw3Sa","IWillVote"
"2012-09-28 ","23:15:45","JoeBiden","“I’ve got news for Governor Romney and Congressman Ryan: America and Americans are neither dependent nor are we in decline.”—VP Biden",
"2012-09-28 ","23:05:53","JoeBiden","VP in FL: “The American people are so much better, so much stronger, take so much more responsibility than these guys give them credit for.”",
"2012-09-28 ","22:55:55","JoeBiden","VP Biden: “My dad used to say, Joey, I don’t expect the government to solve my problems, but I do expect them to understand my problems.”",
"2012-09-28 ","22:45:48","JoeBiden","VP on the Romney-Ryan Medicare plan: “You’d have to reach into your pocket and come up with another $6,400 a year.”",
"2012-09-28 ","22:35:39","JoeBiden","“The action that the President took with regard to Medicare has made the system solvent … through 2024.”—VP Biden in Florida",
"2012-09-28 ","22:25:14","JoeBiden","VP Biden: “Just look at the facts. President Obama has increased the benefits available to people on Medicare today by the action he took.”",
"2012-09-28 ","19:48:17","JoeBiden","VP Biden on Romney’s plan: “The average senior would have to pay $460 more in taxes for their Social Security.” http://t.co/sPE9uPUq",
"2012-09-28 ","17:59:01","JoeBiden","Mitt Romney’s tax plan could lead to higher costs for seniors—send an eCard to spread the word: http://t.co/oSKjWAY0",
"2012-09-28 ","16:56:33","JoeBiden","VP Biden is in Florida today to talk about the stark choice on Social Security in this election. Get the facts: http://t.co/vHOF5odq",
"2012-09-28 ","01:24:17","JoeBiden","VIDEO: President Obama’s plan for creating jobs and strengthening the middle class. http://t.co/YShaaNzK",
"2012-09-27 ","15:51:10","JoeBiden","40 days. Let’s do this thing. http://t.co/ki0Nga0r http://t.co/t7BjtPis",
"2012-09-27 ","01:24:03","JoeBiden","The best thing you’ll read today: http://t.co/mqiZ0OII",
"2012-09-27 ","00:22:25","JoeBiden","Fired up, ready for Joe in Chesterfield, VA: http://t.co/fXptjksG",
"2012-08-06 ","23:20:21","JoeBiden","VIDEO: Deputy Campaign Manager @stefcutter explains Mitt Romney’s tax plan. http://t.co/nZB9kK0A",
"2012-08-06 ","21:33:12","JoeBiden","What would your family pay in taxes if Mitt Romney were president? Find out: http://t.co/iyivUHqz",
"2012-08-06 ","19:56:17","JoeBiden","Get the facts on the President’s fight to protect early voting in Ohio: http://t.co/sFHz0K3C",
"2012-08-05 ","18:16:44","JoeBiden","Dining local in Independence, Iowa: http://t.co/1vJByEqz",
"2012-08-05 ","00:04:06","JoeBiden","Ohioans—including servicemembers and vets who served our country—shouldn’t have to endure shameful attempts to restrict their voting rights.",
"2012-05-21 ","17:05:49","JoeBiden","A new way to follow Joe as he crisscrosses the country for #Obama2012—presenting the “Joe on the road” Pinterest board: http://t.co/Rg0gtY7x","Obama2012"
