"Date","Time","screen_name","text","hashtags"
"2014-02-20 ","17:31:20","SenBillNelson","Today marks 52 years since John Glenn became the 1st American to orbit the Earth.",
"2012-08-06 ","15:11:04","SenBillNelson","I’m confident it won’t be long now before human footprints follow in the path of the Mars rover #Curiosity.","Curiosity"
"2009-03-30 ","17:02:00","SenBillNelson","Meantime, here’s a video that explains the problem really well http://tinyurl.com/cynvyq",
"2009-03-30 ","17:01:54","SenBillNelson","Working with Sen. Mary Landrieu of Louisiana today to help folks who got stuck with toxic drywall in their homes.  We expect to file leg ...",
"2016-07-18 ","17:45:30","George_LeMieux","That is correct!  @StephenLawsonFL: @George_LeMieux @GOPconvention @FloridaGOP Julia Tuttle is one.""  Who is the other? #Sayfie","Sayfie"
"2016-07-18 ","13:24:32","George_LeMieux","Excited to attend @GOPconvention Cleveland.  2 famous Cleveland residents had Huge impact on Fla. Can you name them? #Sayfie @FloridaGOP","Sayfie"
"2016-07-17 ","15:23:28","George_LeMieux","Exited to talk convention politics with my friends @MichaelPutney @GlennaOn10 and @edpozz #Sayfie","Sayfie"
"2016-07-08 ","12:15:13","George_LeMieux","This horrific attack in Dallas, just weeks after Orlando, is devastating. #Sayfie","Sayfie"
"2016-06-12 ","14:51:42","George_LeMieux","Thoughts and prayers are with the victims and families of attack in Orlando. #Sayfie","Sayfie"
"2016-02-21 ","01:55:22","George_LeMieux","Saddened to see @JebBush end his campaign for President. A principled leader and a fantastic governor. Proud to have supported him. #Sayfie","Sayfie"
"2016-02-20 ","16:55:22","George_LeMieux","Tremendous homily by Father Scalia in honor of his father. @Scotus #Sayfie","Sayfie"
"2015-12-03 ","18:05:43","George_LeMieux","Our intelligence agencies lost a valuable tool this week. Read my take here in the @TB_Times: https://t.co/GMx6nPHS3B #Sayfie","Sayfie"
"2015-12-02 ","23:59:14","George_LeMieux","Proud to witness the designation of @joenegronfl as Florida's next Senate President. Congratulations Joe!  #sayfie @GunsterLaw","sayfie"
"2015-06-18 ","12:53:24","George_LeMieux","Amen! Keep Hamilton, Dump Jackson!  ""@Laguarda: @George_LeMieux http://t.co/TTQstke9Qc” #SaveHam  #Sayfie","SaveHam Sayfie"
"2015-06-18 ","12:05:19","George_LeMieux","Andrew Jackson was one of the worst people to ever occupy the White House. Ask Native Americans what they think of him. #SaveHam #sayfie","SaveHam sayfie"
"2015-06-18 ","11:51:09","George_LeMieux","Taking Hamilton off $10 bill is a travesty! Why not take Jackson off $20? We live in Hamilton's vision of America. #Sayfie #SaveHam @WIOD","Sayfie SaveHam"
"2015-06-17 ","13:58:34","George_LeMieux","If @JebBush can do1/2 as much for America as he did for Fla, he will be a spectacular president. http://t.co/iZjAYfg8My @TB_Times #Sayfie","Sayfie"
"2014-10-25 ","22:15:42","George_LeMieux","“@RepMoraitis: Thank you Senator  @George_LeMieux and volunteers for getting out the vote today! http://t.co/hN0hCe6Z1V” #sayfie","sayfie"
"2014-10-24 ","12:10:14","George_LeMieux","Pumped gas for 2.99 a gallon!  New drilling techniques--lowering prices for consumers &amp; creating mfg jobs. #sayfie http://t.co/NwgtMcOCZw","sayfie"
"2014-10-24 ","00:42:53","George_LeMieux","Congratulations to @Gunster attorney Bob White for winning Entrepreneur Council Leadership Award from Greater Ft Lauderdale Alliance.",
"2014-05-24 ","14:44:43","George_LeMieux","As we enjoy this long weekend, let us not forget that our freedom &amp; prosperity was earned with the blood of patriots. #Sayfie #MemorialDay","Sayfie MemorialDay"
