"Date","Time","screen_name","text","hashtags"
"2016-07-18 ","20:46:02","SenatorIsakson","My @GOPHELP staffer has returned home safely along w/ his whole @USArmy 2nd Battalion, 7th Special Forces Group! They are American heroes.",
"2016-07-18 ","19:48:02","SenatorIsakson","I encourage the president to sign the Veterans’ Compensation Cost of Living Adjustment Act to increase veterans’ disability benefits ASAP.",
"2016-07-18 ","18:13:05","SenatorIsakson","Welcome to Elizabeth Foreman of @DeKalbSchools, in DC this week for #LCTeachInst @TeachingLC to bring @LibraryCongress to our classrooms!","LCTeachInst"
"2016-07-18 ","16:42:03","SenatorIsakson","In addressing Zika virus, prevention is key. I'm trying to ensure @CDCgov receives needed funding. WATCH: https://t.co/mmU6eEltr8",
"2016-07-18 ","16:25:05","SenatorIsakson","We must do everything we can to destroy ISIL, who wants us to cower in fear. Read more via @ajc: https://t.co/3pUCzHxb1Z",
"2016-07-18 ","16:09:20","SenatorIsakson","Every American citizen can play an important role in the security of our homeland. #SeeSomethingSaySomething","SeeSomethingSaySomething"
"2016-07-08 ","17:16:32","SenatorIsakson","Today I share in our nation's grief over the attack in Dallas. https://t.co/qZslfKVKtZ",
"2016-07-07 ","21:47:33","SenatorIsakson","It was a pleasure to meet Katrina &amp; Tina with #DCproject, who stopped by my office today to advocate for 2A rights. https://t.co/CNAooOgOja","DCproject"
"2016-07-07 ","21:36:40","SenatorIsakson","I was honored to welcome James Hanley earlier today &amp; thank this @AF_Academy cadet for his service to our country. https://t.co/BJa33S0aAr",
"2016-07-07 ","21:18:46","SenatorIsakson","I really enjoyed visiting with our Senate Page and his family today! We're fortunate to have Doug this summer. https://t.co/cyWgGEl7uy",
"2016-07-07 ","19:05:08","SenatorIsakson","Russia seems to know no boundaries &amp; has gone unchecked. Now the Obama admin expects them to cooperate on Syria? https://t.co/6a6VHkWjnA",
"2016-07-07 ","18:55:03","SenatorIsakson","Thank you to all of the VSOs and other organizations that support the #VeteransFirst Act. #vote4Vets1st https://t.co/cAYg9na7ON","VeteransFirst vote4Vets1st"
"2016-07-07 ","18:50:03","SenatorIsakson","Every generation of veterans will benefit from #VeteransFirst Act – from #WWII to post-9/11. #Vote4Vets1st https://t.co/tvRF3aKIJ9","VeteransFirst WWII Vote4Vets1st"
"2016-07-07 ","18:44:56","SenatorIsakson","I was proud to support the FAST Act &amp; this critical funding will help economic competitiveness of the Savannah port https://t.co/55QHxHavyR",
"2016-07-07 ","18:15:05","SenatorIsakson","The #VeteransFirst Act will improve health care and benefits for all generations of veterans. #Vote4Vets1st https://t.co/ncxhdA6xIc","VeteransFirst Vote4Vets1st"
"2016-07-07 ","18:00:27","SenatorIsakson","We are expanding GI benefits for service members. #Vote4Vets1st https://t.co/wyukkzJfDx","Vote4Vets1st"
"2016-07-07 ","17:45:07","SenatorIsakson","We’re putting #VeteransFirst by strengthening #VAAccountability. #Vote4Vets1st https://t.co/wO8BoIXwQQ","VeteransFirst VAAccountability Vote4Vets1st"
"2016-07-07 ","17:30:18","SenatorIsakson","Every generation of veterans will benefit from #VeteransFirst Act – from World War II veterans to those just returning home. #Vote4Vets1st","VeteransFirst Vote4Vets1st"
"2016-07-07 ","17:25:04","SenatorIsakson","The @DeptVetAffairs has been plagued by misconduct, mismanagement &amp; mistreatment of veterans. Time to #Vote4Vets1st https://t.co/aPKgT9YYcK","Vote4Vets1st"
"2016-07-07 ","17:10:04","SenatorIsakson","#VeteransFirst Act will hold ALL employees at the @DeptVetAffairs accountable – from rank-and-file to senior executives. #Vote4Vets1st","VeteransFirst Vote4Vets1st"
"2016-07-07 ","17:00:30","SenatorIsakson","I urge my colleagues to #vote4Vets1stand support changing the culture of the @DeptVetAffairs and improve care &amp; benefits for veterans.","vote4Vets1stand"
"2016-06-13 ","23:42:33","SenatorIsakson","I'm going to do everything I can to block harmful language intended to unfairly tip scales in tri-state ""water wars"" https://t.co/1iXKbHIsU8",
"2016-06-13 ","19:58:33","SenatorIsakson","I invite all to join the Senate in a moment of silence at 4:00 p.m. ET to reflect on the victims of the tragic terror attack in Orlando.",
"2016-06-13 ","14:10:35","SenatorIsakson","Our interns had great questions for me in our Atlanta office this morning. I appreciate their hard work. https://t.co/xUAqI8mIBS",
"2016-06-13 ","12:06:04","SenatorIsakson","I'll be talking soon with Scott Ryfun on @1440wgig in Brunswick at 8:34AM. Tune in online: https://t.co/u9kWT8hUpC.",
"2016-06-12 ","21:58:29","SenatorIsakson","Praying for victims of Orlando terror attack. We should pursue those responsible w/ full force &amp; strength of U.S. https://t.co/v6sCE4Tj6O",
"2016-02-26 ","20:26:05","SenatorIsakson","I’ve joined @Medium! Please read my first piece thanking the Veterans Service Organizations who serve our veterans: https://t.co/XdcIPJopTx",
"2016-02-26 ","14:57:58","SenatorIsakson","Ms. Corwin's class at Lewis Frasier MS was picked for @SIFMAFoundation's 2016 #CapitolHillChallege! Fun, hands-on learning! @LibertyCoSchool","CapitolHillChallege"
"2016-02-25 ","20:22:35","SenatorIsakson",".@ncte shared some great ideas ab improving literacy in America. Reading is a skill that will always be important. https://t.co/Il2sUokT9e",
"2016-02-25 ","20:12:31","SenatorIsakson","Proud to join @SenBobCorker in wearing a ❌ everywhere I go today to shine a light on ending slavery. #enditmovement https://t.co/WZoi68Labe","enditmovement"
"2016-02-25 ","19:26:18","SenatorIsakson","Proud to sponsor a resolution in the Senate recognizing February as #BlackHistoryMonth.","BlackHistoryMonth"
"2016-02-25 ","19:22:49","SenatorIsakson","Dooly County Chamber of Commerce dropped by the DC office and brought me some delicious treats from South Georgia! https://t.co/TaWzJdYTNX",
"2016-02-25 ","19:09:53","SenatorIsakson",".@actfl knows the importance of teaching foreign languages in today's world. Thanks for meeting with me today! https://t.co/8kyglBghjL",
