"Date","Time","screen_name","text","hashtags"
"2012-12-14 ","01:30:47","SenatorAkaka","Senator Tom Harkin of Iowa pays tribute to Senator Akaka: http://t.co/l52qpZVx",
"2012-07-20 ","21:59:59","SenatorAkaka","AP: Akaka said native communities are disproportionately impacted because they depend on nature for food, sacred sites, &amp; for ceremonies.",
"2012-07-20 ","21:58:27","SenatorAkaka","AP on Indian Affairs hearing: ""Leaders say climate is changing Native way of life"" http://t.co/Pv0Ctywj",
"2012-05-21 ","19:03:12","SenatorAkaka","LIVE NOW CSPAN-3: Akaka subcommittee hearing on the shortage of foreign language speakers in the federal government. http://t.co/bVSuPkgC",
"2012-02-22 ","20:32:09","SenatorAkaka","Senators encourage FCC effort to make campaign advertisements more transparent http://t.co/GpGKygTF",
"2011-10-13 ","19:26:38","SenatorAkaka","Akaka holding hearing on ""Carcieri"" Crisis; effect on jobs, econ development & public safety in Indian Country.  Live: http://t.co/WXubp0Fy",
"2011-10-13 ","13:37:29","SenatorAkaka","Hawaii to receive more than $14 million for new buses and repairs. http://t.co/exBvRnvi @Daniel_Inouye @maziehirono @RepHanabusa",
"2011-09-07 ","22:17:20","SenatorAkaka","Hau`oli la hanau to my good friend @Daniel_Inouye.",
"2011-09-06 ","23:39:56","SenatorAkaka","Maui Now coverage: Akaka Urges Legislation to Prevent a Postal Shutdown http://t.co/4wV2hnZ",
"2011-09-06 ","23:37:02","SenatorAkaka","Akaka, Inouye support kama`aina businesswoman Patricia Loui's nomination to Export-Import Bank of the US: http://t.co/nqrnLGe",
"2011-09-06 ","23:35:03","SenatorAkaka","Hawaii to receive more than $5 million for airport repairs: http://t.co/oZYqVbV",
"2011-09-06 ","18:39:19","SenatorAkaka","Sen Akaka is introducing long-time friend Pat Loui at her confirmation hearing to the Board of the Export-Import Bank. http://t.co/Rh7J8xB",
"2011-09-06 ","18:26:58","SenatorAkaka","Live coverage of the hearing on the US Postal Service here: http://t.co/SRwgN8X",
"2011-09-06 ","18:19:24","SenatorAkaka","Sen Akaka is at a hearing on the financial crisis facing the US Postal Service, set to question Postmaster Donahue and OPM Director Barry",
"2012-09-27 ","14:59:23","Daniel_Inouye","#Hawaii to receive more than $4M to repair aircraft hangar and setup DUI checkpoints. http://t.co/Mn0iS7WV","Hawaii"
"2012-08-06 ","23:08:46","Daniel_Inouye","Senator Inouye enjoying the beef stew, poke and lau lau from Highway Inn in Waipahu http://t.co/wBDm8UsQ",
"2012-08-06 ","21:46:38","Daniel_Inouye","Senator Inouye speaking at the dedication of the @Hnl_Rail maintenance and storage facility. http://t.co/e4nF8Mg2",
"2012-08-06 ","20:20:54","Daniel_Inouye","Senator Inouye at the @Hnl_Rail columns with Kiewit workers and HART CEO Dan Grabauskas http://t.co/NTgQBEzK",
