"Date","Time","screen_name","text","hashtags"
"2016-07-18 ","20:48:06","joniernst","I'm going On The Record with @greta tonight on @foxnews. Be sure to tune in! #RNCinCLE","RNCinCLE"
"2016-07-18 ","18:18:39","joniernst","Ran into my good friend @KimReynoldsIA at the Iowa delegation hotel. #RNCinCLE https://t.co/MPiDJBln8x","RNCinCLE"
"2016-07-18 ","13:39:54","joniernst","Was up bright &amp; early practicing @GOPconvention speech. Go on at 9:30 pm CDT. I hope you'll tune in! #RNCinCLE https://t.co/f9mj1joEMJ","RNCinCLE"
"2016-07-18 ","02:08:19","joniernst","I'll be speaking to @GOPconvention around 9:30 CDT tomorrow night. Theme is make America safe again. #RNCinCLE","RNCinCLE"
"2016-07-18 ","01:19:50","joniernst",".@newtgingrich Great catching up earlier! #RNCinCLE","RNCinCLE"
"2016-07-18 ","00:55:30","joniernst","Just wrapped up great interview with @seanhannity. Be sure to catch it tonight on @FoxNews! #RNCinCLE https://t.co/b5en52rtut","RNCinCLE"
"2016-07-17 ","22:43:01","joniernst","Great to see @TerryBranstad &amp; speak w/ Iowans at @IowaGOP Make Em Squeal BBQ! #RNCinCLE https://t.co/zvbaP3tYt1","RNCinCLE"
"2016-02-20 ","19:42:02","joniernst","Spotted in Bettendorf Thursday:  So proud of our soldiers in the National Guard! https://t.co/hJe5Tv6EuQ",
"2015-10-31 ","22:02:20","joniernst","It was fun running into so many friends at #GOParty today!  What a great event to showcase many of our fantastic Republican candidates!","GOParty"
"2015-10-31 ","18:12:47","joniernst","Happy Halloween!  It was great seeing some young Iowans dressed up and fired up for a fun day at #GOParty https://t.co/eCnWAKkcwp","GOParty"
"2014-10-25 ","23:34:36","joniernst","Happy birthday Governor Branstad! #iasen http://t.co/AZByrI7lqT","iasen"
"2014-10-25 ","22:55:08","joniernst","""For us, Ernst's life story of rural Iowa roots &amp; values, family &amp; public service resonates” Thank you @scj for your endorsement for #IASEN!","IASEN"
"2014-10-25 ","17:13:48","joniernst","So good to my high school band mate Carrie in Manchester! #iasen #iowaknowsbest http://t.co/heJPoWFYh9","iasen iowaknowsbest"
"2014-10-25 ","16:03:58","joniernst","Big thank you to neighboring Senator Ron Johnson for coming out to today's events! He even signed the bus! #iasen http://t.co/AF8PoyXOrs","iasen"
"2014-10-25 ","01:37:06","joniernst","Thank you Sioux City Journal Editorial Board for your endorsement!! #iasen http://t.co/ajRN6kFduV","iasen"
"2014-10-24 ","18:10:05","joniernst","Retired Iowa Adjutant General Ron Dardis: ""@joniernst is ready to perform at a higher level"" http://t.co/nhudGQvto5 #IASEN","IASEN"
"2014-10-24 ","17:46:48","joniernst","Need reforms so Iowan college students can graduate w/o unmanageable debt. Read my op-ed in @iowastatedaily: http://t.co/3Th2dOPBIO #IASEN","IASEN"
"2014-10-24 ","17:23:26","joniernst","Having lunch with Libby today at Stanton High! http://t.co/qwq3tttkBT",
"2014-10-24 ","14:53:45","joniernst","Super cute!! RT @YodaHenderson: My daughter &lt;3's @joniernst! http://t.co/TFIi9MqV12",
"2014-10-24 ","13:54:20","joniernst","Good morning sleepyhead!! Libby was sooo excited to be up early this morning! #BedHead http://t.co/lbVmMbfqRs","BedHead"
"2014-05-24 ","19:10:36","joniernst","Thank you @boonerepublican for having me this morning at the May Conservative Breakfast! #IASEN http://t.co/ln0UXS16dH","IASEN"
"2014-05-24 ","13:28:27","joniernst",".@scj: Ernst's experiences, personal qualities, positions on issues, pub. service make her strongest candidate #IASEN http://t.co/0Ffim70Jiy","IASEN"
"2014-05-23 ","15:58:27","joniernst","Awesome AM visiting w/ voters in Pott Co.! Special thanks to Council Bluffs @HyVee for allowing us to stop by! #IASEN http://t.co/jipijzBzG8","IASEN"
"2014-04-04 ","20:37:10","joniernst","“1 of the most promising GOP challengers Joni Ernst...makes for a vivid contrast w/ the preening trial lawyer” #IASEN http://t.co/G00TakD1wM","IASEN"
"2014-04-03 ","22:45:25","joniernst","Be sure to check out @SarahPalinUSA's newest show ""Amazing America w/ Sarah Palin"" on the @SPORTSMANchnl tonight 8pm EST/PT! #RedWildAndBlue","RedWildAndBlue"
"2014-04-03 ","22:33:02","joniernst","Honored to have @SenatorFischer join us in Iowa later this month. #IASEN #ShePAC http://t.co/EtNRfKDw88","IASEN ShePAC"
"2014-04-03 ","18:22:42","joniernst","Congrats colleague/friend Sen Nancy Boettger for Herbert Hoover public service award! Proud to have her on Team Joni! http://t.co/OvaB3qF39a",
"2014-04-03 ","15:15:03","joniernst","Our campaign is honored to receive the endorsement of @SBAList. So proud to have them join Team Joni! #IASEN http://t.co/OWvi4QdDpr","IASEN"
"2014-04-03 ","01:47:00","joniernst","Great to be back @IStateCRs tonight for the debate. Thanks to @justin_bahr, ISU student &amp; JFI Hardin Co Chair! #IASEN http://t.co/idNL5oxfpt","IASEN"
"2014-02-21 ","16:17:24","joniernst","USA v. Canada competing in less than an hour for the men’s semifinal in hockey - Go Team USA! #Olympics2014","Olympics2014"
"2014-02-20 ","01:02:03","joniernst","Reason#21 #BraleysObamacare Bad for IA: though govt forces ppl to purchase HC, haven't improved access overall #IASEN http://t.co/gVlVsbqolX","BraleysObamacare IASEN"
"2013-07-26 ","00:46:26","joniernst","Come by the @BooneRepublican picnic tomorrow evening and say hi to me and my family! Tickets available at the door. http://t.co/f6dOphNe0W",
"2016-09-24 ","23:53:38","ChuckGrassley","Dana grandmother and my only wife w Carrie Grassley who officiated at Dana wedding https://t.co/n0XoYUdRgO",
