"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","20:20:11","MikeCrapo","ICYMI: Idaho’s food manufacturers help grow jobs and the economy https://t.co/etLeiQl8cb",
"2016-09-23 ","20:19:55","MikeCrapo","Pleased @CommerceGov engaged directly w/local stakeholders to learn the needs of southern Idaho food manufacturers. https://t.co/qv4vXyiKRM",
"2016-09-23 ","17:37:56","MikeCrapo","PILT funding is an important resource for many counties in Idaho and other rural and western communities. #IDpol
https://t.co/1HwDFMZGh4","IDpol"
"2016-07-18 ","16:07:54","MikeCrapo","Enjoyed visiting with Tommy Tucker on the Snake River Roundup program on KRLC AM in Lewiston last Friday. https://t.co/sWpMZwDHT6",
"2016-07-18 ","15:34:41","MikeCrapo","ICYMI: Read my OpEd on the importance of #MentoringIRL via @twinfallstn https://t.co/MEJswqocMd https://t.co/K7lLvZvVBd","MentoringIRL"
"2016-07-07 ","21:46:43","MikeCrapo","This week, we celebrated the 240th birthday of America. Thank you to all who have &amp; continue to fight for freedom. https://t.co/J7Nez8pvEP",
"2016-06-13 ","22:45:28","MikeCrapo","""We will move forward bravely with compassion and ever-present vigilance.” My full statement on the #Orlando attack. https://t.co/05USthFyUM","Orlando"
"2016-02-25 ","22:46:01","MikeCrapo","The deadline to apply for an intership in one of my offices is March 1. More here: https://t.co/Z7pBpoVHQE #idpol https://t.co/5xgeo9KjCj","idpol"
"2015-12-02 ","22:33:25","MikeCrapo","By any objective measure, the President's health care plan is a disaster. #idpol #RepealObamacare https://t.co/fZwPJfMPxS","idpol RepealObamacare"
"2015-12-02 ","19:52:25","MikeCrapo","I will be speaking on the floor of the Senate at 3:20PM EST in support of efforts to #RepealObamacare. https://t.co/oiMJvbt8FI #idpol","RepealObamacare idpol"
"2015-12-02 ","16:19:50","MikeCrapo","Today, the Senate began debating legislation to #RepealObamacare. Stay tuned for updates. #idpol https://t.co/WCotBTdEbl","RepealObamacare idpol"
"2015-10-02 ","17:32:50","MikeCrapo","#FF ---&gt; @BankingGOP @BudgetGOP  @EPWMaj @IndianCommittee @GOPSenFinance #idpol http://t.co/J6LOSm26z9","FF idpol"
