"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","21:12:45","BarackObama","Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: https://t.co/peV6aCYswa #DoYourJob","DoYourJob"
"2016-09-23 ","20:05:48","BarackObama","Senate leaders need to work for the good of the American people, not seek out political points. https://t.co/Tdx3xk6gYi",
"2016-09-23 ","19:03:51","BarackObama","Watch President Obama and @CEAChair Jason Furman discuss the positive gains the American economy has made. https://t.co/J28Crn3WAP",
"2016-09-23 ","18:02:58","BarackObama","Here are 16 broken records we shouldn't be proud of. https://t.co/x98dGgEloW",
"2016-09-23 ","16:57:07","BarackObama","Stay informed. Stay engaged. Speak up. Join the @OFA Truth Team: https://t.co/GVTL4HrTXw",
"2016-09-23 ","15:57:29","BarackObama","Another record broken: 16 months in a row of undeniable, record-breaking heat.
https://t.co/qMAH7nFf5I #ActOnClimate","ActOnClimate"
"2016-07-18 ","20:43:18","BarackObama","Editorial boards across the country are calling on Senate leaders to fill the Supreme Court vacancy. Read more: https://t.co/IArYejb7bN",
"2016-07-18 ","18:45:15","BarackObama","The majority of Americans believe Judge Garland should get a fair hearing—add your name if you agree. https://t.co/mkmVF9JsZW #DoYourJob","DoYourJob"
"2016-07-18 ","16:42:29","BarackObama","Read President Obama's op-ed in the @WSJ on the need for Senate leaders to fill the #SCOTUS vacancy: https://t.co/CdCsAdSJlB #DoYourJob","SCOTUS DoYourJob"
"2016-07-17 ","21:03:38","BarackObama","Happening now: President Obama is delivering a statement on the shooting in Baton Rouge. https://t.co/51KA2cvfHk",
"2016-06-13 ","16:52:45","BarackObama","#OrlandoUnited https://t.co/ixCxMZzGH2","OrlandoUnited"
"2016-02-26 ","23:08:52","BarackObama","Thanks to the #RecoveryAct, clean energy investments have created hundreds of thousands of jobs. https://t.co/U82fX6P2nB","RecoveryAct"
"2016-02-26 ","22:00:48","BarackObama","Our economy has come a long way, but there's more work to do—say you support common-sense economic policies: https://t.co/UzcGjwykjs",
"2016-02-26 ","20:55:05","BarackObama","Seven years ago, our economy was shedding nearly 800,000 jobs a day. We've come a long way. https://t.co/ueSHbf52YE",
"2016-02-26 ","19:25:16","BarackObama","Our economy has added 14 million jobs over the longest streak of private-sector job growth on record. https://t.co/FwScd1Soxi",
"2016-02-26 ","18:46:41","BarackObama","LIVE: President Obama is highlighting the progress of the American economy. https://t.co/7noFkjk0F8",
"2016-02-26 ","17:56:13","BarackObama","Tune in at 1:55 p.m. ET to see President Obama speak about the economic progress we've made since the #RecoveryAct. https://t.co/Ve3DprDXKH","RecoveryAct"
"2016-02-26 ","16:47:42","BarackObama","Tell the Senate: Stop playing games with our Supreme Court. https://t.co/2vkSnL2KWC #DoYourJob","DoYourJob"
"2016-02-26 ","01:02:26","BarackObama","The Senate should fulfill its constitutional duty and fairly consider the President's nominee. #DoYourJob https://t.co/AXpbOQ1bxD","DoYourJob"
"2016-02-25 ","21:55:09","BarackObama","Add your name if you agree: Failing to fill the Supreme Court vacancy for over a year is unacceptable. https://t.co/uDxtenkam5 #DoYourJob","DoYourJob"
"2016-02-25 ","19:20:05","BarackObama","Retweet if you agree that we can't afford to play political games over the Supreme Court vacancy. #DoYourJob https://t.co/NE380YtV41","DoYourJob"
"2016-02-25 ","16:42:22","BarackObama","The solar industry hit record growth last year, surpassing natural gas installations for the first time: https://t.co/9M4rqbVGCC",
"2016-02-21 ","18:50:55","BarackObama","Add your name to let the Senate know: The Supreme Court is too important to be held hostage by partisan politics. https://t.co/jPIEbRS7ig",
"2015-12-02 ","19:25:57","BarackObama","Countries all over the world are standing #UnitedOnClimate—join the conversation to be part of this historic moment: https://t.co/mhF9PsXw28","UnitedOnClimate"
