"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","16:00:16","SenDonnelly","#ICYMI: @IndianaMuseum is seeking photos of Hoosier veterans for their “Heros from the Heartland” exhibit. https://t.co/8buMLhEBYy https://t.co/eZkgmOf82w","ICYMI"
"2016-09-24 ","13:00:24","SenDonnelly","#ICYMI:Joe helped Hoosier WWII vet receive Purple Heart he earned while serving w/ @USMC in the Pacific 72 years ago https://t.co/EBOkBz9VWN https://t.co/fert2MvYUf","ICYMI"
"2016-09-24 ","12:30:15","SenDonnelly","On #NLPD you can visit all federal public lands and Indiana state parks free of charge. https://t.co/gTis6T3M6p","NLPD"
"2016-09-23 ","23:26:06","SenDonnelly","Joe announced he will vote to override President Obama’s veto of #JASTA. https://t.co/qATKYwghPY","JASTA"
"2016-09-23 ","19:00:28","SenDonnelly","#ICYMI: Joe called on Congress to pass #NDAA and do more to address military and veteran suicide. https://t.co/hsrbzlwPgr https://t.co/OMFMF7EO4Q","ICYMI NDAA"
"2016-09-23 ","16:30:20","SenDonnelly","On an empty stomach our kids can’t concentrate, learn or reach their full potential. –Joe #HungerActionMonth https://t.co/dNyFPZTVUK","HungerActionMonth"
"2016-09-23 ","14:51:15","SenDonnelly","#GoodNews: @IndStatePolice received @COPSOffice grant to combat illegal drug production, distribution &amp; trafficking. https://t.co/mGpFwl3arF https://t.co/Q6XTsWzeYv","GoodNews"
"2016-07-18 ","21:03:38","SenDonnelly","Joe led bipartisan effort of 70 Senators calling on @CFPB to carefully tailor reg on community banks &amp; credit unions https://t.co/3ARxW0pz6Y",
"2016-07-18 ","12:51:34","SenDonnelly","#ICYMI: Several of Joe’s provisions to combat opioids are part of the final #CARA bill headed to @POTUS’ desk. https://t.co/Tn5m2cLOYv","ICYMI CARA"
"2016-07-18 ","12:49:15","SenDonnelly","Radio personality &amp; announcer for the TV show Let's Make a Deal, Jay Fix, was born in Summitville https://t.co/dSL5TGAQ7U #INtownoftheday","INtownoftheday"
"2016-07-17 ","20:37:29","SenDonnelly","Joe's statement about today's shooting in #BatonRouge: https://t.co/hvPyQ3BECP","BatonRouge"
"2016-07-08 ","16:03:14","SenDonnelly","(3/3)We have a chance to do something meaningful &amp; bipartisan that would help address opioid abuse &amp; heroin use epidemics &amp; save lives. -Joe",
"2016-07-08 ","16:02:45","SenDonnelly","(2/3) The final bill has several of Joe’s provisions to give states &amp; communities tools for opioid abuse prevention, treatment &amp; recovery.",
"2016-07-08 ","16:02:15","SenDonnelly","(1/1)Joe spoke about need to pass bipartisan legislation for opioid abuse prevention, treatment, &amp; recovery programs https://t.co/kL2PAdhySw",
"2016-07-08 ","15:01:47","SenDonnelly","Joe released the following statement about the vicious attack on law enforcement officers in #Dallas. https://t.co/3y8DKbT7N7","Dallas"
"2016-07-07 ","22:02:18","SenDonnelly","Joe spoke abt how bipartisan biotechnology labeling bill will benefit Hoosier consumers, farmers &amp;food manufacturers https://t.co/90o44jHAek",
"2016-07-07 ","20:35:23","SenDonnelly","Joe spoke w/ members of the @FWUrbanLeague who are visiting D.C. for the Youth Leaders Conference. https://t.co/pkQA2gHBNx",
"2016-07-07 ","13:05:54","SenDonnelly","Great to speak w/ @ISTAmembers visiting D.C. with the @NEAToday. –Joe #NEARA16 https://t.co/IvTfBmijbH","NEARA16"
"2016-07-07 ","12:46:28","SenDonnelly","Professional golfer Beth Solomon was born and raised in Middletown https://t.co/9thC5k2miC  #INtownoftheday","INtownoftheday"
"2016-06-13 ","22:15:29","SenDonnelly","Head to @MonumentCircle tmrw for #WorldBloodDonorDay. You can donate blood from 10AM - 2PM, make an appt. here: https://t.co/5P4ZWKWo61","WorldBloodDonorDay"
"2016-06-13 ","12:09:23","SenDonnelly","The movie “A League of Their Own” was filmed in League Stadium in Huntingburg, Indiana. #INTownoftheday https://t.co/4rtrS5C8b9","INTownoftheday"
"2016-06-12 ","13:33:33","SenDonnelly","While authorities investigate this attack, we mourn those who lost their lives, pray for those who were injured &amp;thank the first responders.",
"2016-06-12 ","13:33:20","SenDonnelly","(1/2) The shooting in Orlando was tragic and heartbreaking. -Joe",
"2016-06-12 ","13:24:54","SenDonnelly","June is Alzheimer's and Brain Awareness Month. #EndAlzheimers #ENDALZ @alzassociation https://t.co/Hb7v7CCRus","EndAlzheimers ENDALZ"
"2016-02-26 ","17:14:15","SenDonnelly","Today, we remember the extraordinary life of @NotreDame's Fr. Ted Hesburgh. https://t.co/v7nrU2r6tQ #ThankYouFrTed https://t.co/jT6CJQS41z","ThankYouFrTed"
"2016-02-26 ","15:03:12","SenDonnelly","Joe’s D.C. staff had an important meeting with @ButlerBlue3. Good luck to @butleru this weekend! #BigDawgsTour https://t.co/Lnvtmtg7tU","BigDawgsTour"
"2016-02-26 ","14:33:02","SenDonnelly","Joe received the Outstanding Hoosier Legislator Award from the Indiana Credit Union League. https://t.co/TumFYfwJ9T",
"2016-02-26 ","00:23:48","SenDonnelly","#ICYMI: Joe asked IN Health Commissioner @JeromeAdamsMD about prescriber/provider practices for opioids. https://t.co/OMJWlfEQjJ","ICYMI"
"2016-02-25 ","21:06:26","SenDonnelly","#GoodNews: The Indiana Biosciences Research Institute will receive more than $100 million in funding. https://t.co/GfCH2fRLGH","GoodNews"
"2016-02-20 ","17:20:23","SenDonnelly","#ICYMI: Senators, myself included, were elected to do a job for our nation - Joe https://t.co/7aOlpqPpW3 https://t.co/CCNCBChWuG","ICYMI"
