"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","16:07:41","BillCassidy","Thank you to the representatives at our Service Academy day, who talked about what it means to be a leader and a member of the US military. https://t.co/salGPdYZTq",
"2016-09-24 ","00:42:07","BillCassidy","Proud of #CajunNavy True display of #LAValues https://t.co/BVq3oXvqI4","CajunNavy LAValues"
"2016-09-23 ","15:15:33","BillCassidy","Generous gift for 2 LA women. Just like so many others they lost everything. Reasons #lafloodrelief needs to pass https://t.co/Vs36H9YdVk","lafloodrelief"
"2016-09-23 ","00:48:04","BillCassidy","Potential #LAfloodrelief has been announced. Ask your friends and family to urge their senators to support this bill https://t.co/7GqLIiUrvJ","LAfloodrelief"
"2016-07-18 ","17:14:47","BillCassidy","We must support law enforcement and stay positive. #BlueLivesMatter #AllLivesMatter Watch my Interview with @wdsu https://t.co/dTccymeNtI","BlueLivesMatter AllLivesMatter"
"2016-07-17 ","22:53:05","BillCassidy","Just met with peaceful protestors who respect law enforcement. We are all Americans, now is the time to come together.",
"2016-07-17 ","21:36:46","BillCassidy","My heart breaks. Prayers with Montrell's family.  https://t.co/U4WzO5xw4l",
"2016-07-17 ","21:35:14","BillCassidy","Thank you to our neighboring police depts who are coming to help.  https://t.co/NGVngevE5K",
"2016-07-17 ","21:33:01","BillCassidy","Please pray for his family https://t.co/4s0uxOV9UP",
"2016-07-17 ","21:19:21","BillCassidy","about to go live with @CNN and @wbrz https://t.co/vN30qCrFhZ",
"2016-07-17 ","20:05:20","BillCassidy","Suspects still on the loose. Please come forward with information if you have it.",
"2016-07-17 ","17:54:08","BillCassidy","On w @FoxNews now.",
"2016-07-17 ","17:20:25","BillCassidy","Joining @CNN in 10 to discuss shooting",
"2016-07-17 ","15:48:33","BillCassidy","We must honor law enforcement #backtheblue #bluelivesmatter #alllivesmatter","backtheblue bluelivesmatter alllivesmatter"
"2016-07-17 ","15:48:21","BillCassidy","We grieve for the families of the officers shot in Baton Rouge.This senseless violence must end.",
"2016-07-08 ","19:29:55","BillCassidy","Laura and I are praying for our entire nation. Thinking of our police around the country who protecting us and our nation.",
"2016-07-08 ","13:05:25","BillCassidy","Police are the thin blue line protecting civil society from anarchy.  To target police is to target all. #PrayForDallas","PrayForDallas"
"2016-07-08 ","03:35:35","BillCassidy","Senate Dems just blocked consideration of the Department of Defense appropriations bill- bill is critical in funding our troops.",
"2016-07-08 ","03:30:29","BillCassidy","@lizadvocate @AshleyMcReynold great meeting y'all. Thanks for stopping by.",
"2016-07-08 ","02:48:16","BillCassidy","MEGABYTE would implement oversight and management policies of federal software licenses to save billions of taxpayer dollars.",
"2016-07-08 ","02:47:10","BillCassidy","Good news! MEGABYTE act is expected to pass the senate tonight.",
"2016-07-07 ","22:49:34","BillCassidy","Thank you @RepAbraham @RepBoustany @RepFleming  @garretgraves for joining me to honor WWII hero Joseph Lafleur w Distinguished Service Cross",
"2016-06-13 ","21:46:49","BillCassidy","Great story about a very impressive @lsu student: https://t.co/LsjABY99sd",
"2016-06-13 ","20:44:25","BillCassidy","Thank you @ChrisMurphyCT @afspnational for talking #MentalHealthReform #AFSPForum16","MentalHealthReform AFSPForum16"
"2016-06-13 ","20:41:51","BillCassidy","Q: whats next? A: #MH legislation provides for more providers, telemedicine employed more and more, CIT for law enforcement. #AFSPForum16","MH AFSPForum16"
"2016-06-13 ","20:39:12","BillCassidy","Need to get rid of stigma and treat mental illness like physical illness. #AFSPForum16","AFSPForum16"
"2016-06-13 ","20:32:59","BillCassidy","Q: why our MH bill critical? A: AAH = access, accountability, hippa (privacy) #AFSPForum16","AFSPForum16"
"2016-06-13 ","20:28:29","BillCassidy","Q: what would you tell next pres on MH? A: We have a huggge problem. We have to make MH great again.",
"2016-06-13 ","20:15:53","BillCassidy","Q: role of federal gov, advocates in MH reform. A: keep talking, working together, breaking stigma, recruiting others to cause. #AFSPForum16","AFSPForum16"
"2016-06-13 ","20:11:52","BillCassidy","NIH funding has increased. Making progress. Hope through medical research we can find healing &amp; save cost in long run. #AFSPForum16","AFSPForum16"
"2016-06-13 ","20:09:45","BillCassidy","Hope there will be a time that MH research will be addressed so well that we can move concerns to something else #AFSPForum16","AFSPForum16"
"2016-06-13 ","20:06:33","BillCassidy","Q: privacy and HIPAA rules that impact mental health. A: confusion among experts. Need better education, training, clarity. #AFSPForum16","AFSPForum16"
"2016-06-13 ","20:01:30","BillCassidy","Chatting with Louisiana advocates before #AFSPForum16 https://t.co/p739MO3LBv","AFSPForum16"
