"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","15:10:44","SenWarren","Yesterday I led a letter to @USDOL to investigate if @WellsFargo misclassified workers &amp; failed to pay overtime: https://t.co/JdsIupLhmQ",
"2016-09-23 ","15:09:44","SenWarren","The @CFPB’s investigation of @WellsFargo uncovered staggering workplace conditions imposed on employees to meet sales quotas.",
"2016-09-23 ","15:08:51","SenWarren",".@WellsFargo CEO John Stumpf blamed his bank’s massive fraud on 5300 low-level bank tellers, branch managers &amp; customer service reps.",
"2016-07-17 ","20:30:33","SenWarren","Heartsick for the families of the Baton Rouge police officers killed today. More violence &amp; bloodshed won't fix the pain in our country.",
"2016-07-08 ","18:30:12","SenWarren","I wish I had the answers right now to stop the very real pain that people are feeling, but I know this: change must come. It must come now.",
"2016-07-08 ","18:29:09","SenWarren","I'm sick at heart about those who would pull us apart at exactly the moment when we need to come together.",
"2016-07-08 ","18:28:18","SenWarren","I’m sick at heart for the families of the officers killed in Dallas. Sick at heart for the families of the men shot in LA &amp; MN.",
"2016-07-08 ","18:27:30","SenWarren","Black Americans shouldn't be killed in routine traffic stops, &amp; police shouldn't be killed while protecting &amp; serving their communities.",
"2016-07-08 ","18:26:47","SenWarren","No. No. No. No. No. More killing solves nothing. More grieving moms &amp; dads, sons &amp; daughters cannot bring back those we’ve already  lost.",
"2016-07-07 ","19:24:16","SenWarren","#blacklivesmatter must be more than a hashtag or trending topic every time a tragedy happens. We must all come together to make it true.","blacklivesmatter"
"2016-07-07 ","19:22:53","SenWarren","We can't ignore the ugly reality: black parents are terrified that teaching kids to “survive” the police won't be enough. #blacklivesmatter","blacklivesmatter"
"2016-07-07 ","19:22:19","SenWarren","Most cops are good ppl. But we can’t ignore the ugly reality: black parents feel they must teach kids to “survive” police. #blacklivesmatter","blacklivesmatter"
"2016-07-07 ","19:21:17","SenWarren","We’ve seen the sickening videos of black Americans killed in traffic stops. Lives ended by those sworn to protect them. #blacklivesmatter","blacklivesmatter"
"2016-07-07 ","19:20:28","SenWarren","Sandra Bland. Freddie Gray. Michael Brown. Walter Scott. Tamir Rice. Eric Garner. Now Alton Sterling &amp; Philando Castile. #blacklivesmatter","blacklivesmatter"
"2016-02-25 ","21:23:40","SenWarren","We need real agency reform to level the playing field - not to give lobbyists more chances to block outcomes they don’t like.",
"2016-02-25 ","21:23:05","SenWarren","Read my letter to @CTFC Commissioner Giancarlo, calling on him to withdraw this report: https://t.co/naYfAuGNBZ",
"2016-02-25 ","21:22:32","SenWarren","The @CFTC committee’s report is little more than a recitation of industry talking points and should be treated as such.",
"2016-02-25 ","21:22:10","SenWarren","The @CFTC report is riddled w/ problems &amp; mischaracterizations, &amp; adopted without public discussion or public vote.",
"2016-02-25 ","21:21:25","SenWarren","The advisory committee behind this compromised @CFTC report consists almost entire of industry insiders – violating Dodd-Frank.",
"2016-02-25 ","21:21:04","SenWarren","Today that advisory committee presented a final report that is critical of the @CFTC’s proposed rule on commodities futures &amp; swaps.",
"2016-02-25 ","21:20:41","SenWarren","Under Dodd-Frank, Congress directed the @CFTC to establish the EEMAC – an advisory committee for diverse views on CFTC actions.",
"2016-02-25 ","19:34:16","SenWarren","Today I joined the @SenateDems at the Supreme Court to tell the GOP: #DoYourJob on a #SCOTUS nominee. https://t.co/hVjX9KfnYj","DoYourJob SCOTUS"
"2016-02-25 ","16:46:30","SenWarren","Medical experts agree: Whatever you think of medical marijuana, it's  irresponsible not to study the science:  https://t.co/VTgRzoLmOr",
"2016-02-25 ","16:45:58","SenWarren","Serious medical research on medical marijuana is largely blocked by outdated federal laws &amp; policies.",
"2016-02-25 ","16:45:44","SenWarren","Medical marijuana might be a viable alternative to opioids for pain treatment, but truthfully, there's a lot we just don't know.",
"2015-12-03 ","20:05:28","SenWarren",".@RepCummings &amp; I are hosting a forum on #childpoverty w/ @sr_simone,  @KathrynEdin, &amp; @GreensteinCBPP now. Watch: https://t.co/J4JrdiJ1Mn","childpoverty"
"2015-12-03 ","20:05:09","SenWarren","We hand out tax breaks to big corps, but millions of working families will be plunged into poverty if we don’t extend their tax breaks too.",
"2015-12-03 ","20:05:01","SenWarren","It is shameful that in 2015, in the richest country on Earth, millions of kids are growing up in abject poverty. #childpoverty","childpoverty"
"2015-12-03 ","18:11:05","SenWarren","Let me spell it out loud &amp; clear, GOP: If you try to defund @PPFA, we’ll fight you every step of the way - &amp; win. https://t.co/vY8723wcnZ",
"2015-12-03 ","17:31:31","SenWarren","Republicans – &amp; some Democrats – are looking to jam through Dodd-Frank rollbacks. Here’s what’s at stake: https://t.co/JKj2YHcrv5",
"2015-12-03 ","15:57:27","SenWarren","Heading back to the Senate floor right now to talk about @PPFA funding. I cannot believe I have to do this again. https://t.co/0aSxs8OGT2",
"2015-12-02 ","02:44:42","SenWarren","On World AIDS Day, let's recommit to funding medical research for more breakthroughs &amp; healthier families around the world. #WAD2015","WAD2015"
"2015-10-02 ","19:03:09","SenWarren","Investments in education &amp; training are a key part of growing our economy &amp; helping families build a future, &amp; Boston is leading the way.",
"2015-10-02 ","19:02:33","SenWarren","Joined Mayor @Marty_Walsh today to announce a $3M @USDOL grant to expand apprenticeship programs in Boston. http://t.co/RaW9y3Dvoh",
"2015-10-01 ","02:00:06","SenWarren","Glad to join @USAgainstAlz tonight to recognize @SenatorBarb's tireless work to end Alzheimer's. #WeWontWait http://t.co/kaIQEsgxak","WeWontWait"
"2015-07-16 ","16:14:02","SenWarren","Skyrocketing CEO pay isn't just unfair - it's bad for the economy. The @rooseveltinst explains why: http://t.co/WWJIgCSmoQ #ExecPayFinally","ExecPayFinally"
"2015-07-16 ","14:47:04","SenWarren","This morning I told young people at #MakeProgress: You get what you fight for. http://t.co/JhwTtTzGBa","MakeProgress"
"2015-06-17 ","14:11:23","SenWarren","We need interoperable electronic health record systems. It’s good for patients, &amp; it’s good for doctors. Watch: https://t.co/EPTuFB5a8m",
"2014-05-23 ","17:11:45","SenWarren","The Sen. passed a women's heart health resolution I introed w/ @lisamurkowski @SenatorBarb @SenatorCollins #screenus  http://t.co/XMB66m1ac3","screenus"
"2014-04-03 ","21:45:31","SenWarren","It’s time to #RaiseTheWage, honor working families, &amp; end corporate welfare for companies paying poverty-level wages: http://t.co/dCpuaKz0h6","RaiseTheWage"
"2013-03-14 ","16:52:12","SenWarren","Today I joined @SenBobCorker @MarkWarner &amp; @DavidVitter in a bipartisan effort on housing finance reform #GSEReform http://t.co/jfLmLd6Jkp","GSEReform"
"2013-03-14 ","14:41:17","SenWarren","Great to speak with @ConsumerFed this morning about how we can work together to level the playing field for American families",
"2016-09-24 ","14:18:55","SenScottBrown","On w/ @TeamCavuto on @FoxNews @ 11:30am ET to discuss Obama admin. ramming through citizenship apps 4 the election. #outrageous #nhpolitics","outrageous nhpolitics"
"2016-07-18 ","22:50:10","SenScottBrown","On with @MorningsMaria @MariaBartiromo from 6-9am ET to discuss all things political. Very exciting to see Democracy in action. #nhpolitics","nhpolitics"
"2016-07-18 ","16:51:35","SenScottBrown","On @RiskRewardFBN at 5:20pm ET to discuss #gopconvention, security here and LA shootings. Tune in. #nhpolitics","gopconvention nhpolitics"
"2016-07-18 ","13:04:02","SenScottBrown","Enjoyed speaking at the #nhgopconvention breakfast with #RIGOP &amp; #DEGOP. A lot of energy &amp; enthusiasm. Thank u to the security teams. #safe","nhgopconvention RIGOP DEGOP safe"
"2016-07-18 ","08:22:53","SenScottBrown","On @foxandfriends at 4:45 and 5:45 AM ET to discuss GOP Unity, #gopconvention @realDonaldTrump and more. Tune in. #nhpolitics","gopconvention nhpolitics"
"2016-07-17 ","19:32:13","SenScottBrown","@reportergail @AylaBrown and I are heading to #Cleveland for the #gopconvention. On @foxandfriends at 4:15&amp;5:15 CT am tomorrow. #nhpolitics","Cleveland gopconvention nhpolitics"
"2016-07-17 ","00:31:16","SenScottBrown","Thank you @nightranger. We luv u guys. https://t.co/fQyKTwyO5g",
"2016-07-17 ","00:09:23","SenScottBrown","Blessed today to renew our our vows after 30 years. Great day, party and fun. https://t.co/4vdZrMQbeE",
"2016-07-08 ","09:09:45","SenScottBrown","Very sad day when our police are targeted and ambushed. Will discuss on @MorningsMaria at 7:20ET on @FoxBusiness. #prayersforthefallen","prayersforthefallen"
"2016-06-13 ","21:49:49","SenScottBrown","Getting ready for another great show with @cvpayne  https://t.co/79iuMuyvxW",
"2016-06-13 ","20:59:13","SenScottBrown","On with @cvpayne at 6:20pm ET to discuss @realDonaldTrump speech, Clinton speech and more. Tune in. #nhpolitics","nhpolitics"
"2016-06-13 ","19:28:09","SenScottBrown","Rock solid speech by @realDonaldTrump on terror/immigration. Had a good meeting before &amp; after. On @TeamCavuto @ 430 https://t.co/1rcdjxUaBq",
"2016-06-13 ","18:01:13","SenScottBrown","@nhiop meeting @realDonaldTrump and getting ready to listen to his speech. Packed house. A lot of old friends in attendance. #nhpolitics","nhpolitics"
"2016-06-13 ","10:25:14","SenScottBrown","Will be on with @MariaBartiromo @MorningsMaria at 7:49am ET to discuss FLA terror and more. Tune in. #nhpolitics","nhpolitics"
