"Date","Time","screen_name","text","hashtags"
"2016-07-08 ","14:37:32","SenatorBarb","As we grieve w victims families &amp; struggle to understand tragedy we should lift our voices in unified call for peace https://t.co/aHA8DOCWmo",
"2016-07-08 ","14:36:23","SenatorBarb","I offer my condolences to families &amp; loved ones of officers killed &amp; injured in line of duty &amp; civilians caught in crossfire in Dallas.",
"2016-06-13 ","13:36:25","SenatorBarb","We must continue to share this message w American people–that America’s strength lies in its diversity. We are #StrongerTogether.","StrongerTogether"
"2016-06-13 ","13:35:24","SenatorBarb","Facts will come out. Until then, must stand together in strength &amp; unity to support all people touched by senseless act of violence &amp; hate.",
"2016-06-13 ","13:35:03","SenatorBarb","Shooting in Orlando a national tragedy. I join in offering my deepest condolences, prayers &amp; heartfelt sympathies. https://t.co/7Q6zvEnmxI",
"2016-02-25 ","23:17:42","SenatorBarb","Great news shows when we make smart investments in innovation &amp; science, breakthroughs are possible.",
"2016-02-25 ","23:17:00","SenatorBarb",".@IPMicrobicides partnered w MD's outstanding @NIH on first ever study showed #DapivirineRing helps prevent HIV transmission.","DapivirineRing"
"2016-02-25 ","23:16:14","SenatorBarb","So proud of MD nonprofit @IPMicrobicides making huge strides for women &amp; HIV prevention. https://t.co/M1bhBRCp8l",
"2016-02-25 ","23:10:00","SenatorBarb","Let’s meet w President’s nominee, hold the hearings, follow our process &amp; bring it to a vote. #DoYourJob","DoYourJob"
"2016-02-25 ","23:09:38","SenatorBarb","We must follow Constitution &amp; live up to Constitution. Constitution doesn’t say in election year delay hoping one day you’ll get your way.",
"2016-02-25 ","23:09:10","SenatorBarb","To obstruct nominee to Supreme Court  for political reasons would be unprecedented. Highest court of the land w real &amp; lasting impact.",
"2016-02-25 ","23:08:10","SenatorBarb","Calling on Senate to fulfill constitutional duty to fill vacancy on Supreme Court. I urge my colleagues, #DoYourJob! https://t.co/U0fjyTrovC","DoYourJob"
"2016-02-25 ","19:03:53","SenatorBarb","Speaking soon on #Senate floor calling on Senate to fulfill Constitutional duty to fill vacancy on Supreme Court. https://t.co/4KkclVxBkm","Senate"
"2015-12-03 ","18:12:55","SenatorBarb","I’ll continue to make sure men &amp;women of Navy &amp; all our armed services receive respect they’ve earned, care they need &amp; best training we can",
"2015-12-03 ","18:12:34","SenatorBarb","Honored to be awarded @USNavy Distinguished Public Service Award Medal for my fight to protect our protectors. https://t.co/8bQZk34E7z",
"2015-12-03 ","18:06:38","SenatorBarb","Now @UMBC will grow historic relationship as it teaches &amp; trains young leaders for jobs of tomorrow. https://t.co/SYljbEVOx3",
"2015-12-03 ","18:05:08","SenatorBarb","MD is a @USNavy state! W Naval Academy in Annapolis, MD has a proud history of supporting those who sacrifice so much to keep us safe.",
"2015-12-03 ","18:03:51","SenatorBarb","This week so pleased to join @UMBC &amp; @USNavy in signing formal agreement establishing NavyROTC program in MD. https://t.co/YP1j16YO9n",
"2015-12-03 ","16:54:34","SenatorBarb","I’m always working to make sure MD families have public schools they can count on. #ESEA https://t.co/ix7bFMYsK4","ESEA"
"2015-12-03 ","16:53:48","SenatorBarb","I fought to save MD $40M in federal Title 1 funding &amp; made sure MD schools have needed resources for health care services like school nurses",
