"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","16:15:04","SenAngusKing","Thanks to Dr. Bob Corell and Bill DeLong from @DHSGov for today’s discussion on the impacts of #ClimateChange https://t.co/QXzzOXcI9h","ClimateChange"
"2016-09-23 ","21:51:29","SenAngusKing","Thanks to everyone who came to Capitol Coffee the last two weeks! https://t.co/Z2AVOwciQE",
"2016-09-23 ","21:45:07","SenAngusKing","Joining me on @WGANNews tomorrow AM will be climate scientist Dr. Bob Corell and Bill DeLong from @DHSGov",
"2016-09-23 ","21:40:04","SenAngusKing","I’ll be on @WGANNews tomorrow morning to discuss my recent trip to Greenland, #climatechange and how it will impact Maine","climatechange"
"2016-09-23 ","20:30:16","SenAngusKing","Thank you @BPC_Bipartisan for hosting today’s senior health and housing forum. An important issue for Maine. https://t.co/O0wUtbEx9b",
"2016-07-18 ","21:10:09","SenAngusKing","The amazing story of Medal of Honor recipient Lt. Colonel Charles Kettles: https://t.co/eS88JuE87E @USArmy #MedalOfHonor","MedalOfHonor"
"2016-07-17 ","18:24:35","SenAngusKing","Troubled by the news out of Baton Rouge &amp; hoping we can unite to put an end to this senseless violence.",
"2016-07-08 ","15:35:05","SenAngusKing","Heartsick over tragedies in TX, MN and LA. My thoughts and prayers are with the families. We must meet hatred and violence with love.",
"2016-07-07 ","20:05:03","SenAngusKing","ICYMI: the @bangordailynews wrote an editorial in support of my anti-poverty proposal: https://t.co/HoHX6QoJFW #mepolitics","mepolitics"
"2016-07-07 ","18:45:10","SenAngusKing","Today, I sent a letter to @SocialSecurity urging them to improve SSDI to help people enter workforce #mepolitics https://t.co/vRhMUIHrsp","mepolitics"
"2016-06-12 ","17:22:25","SenAngusKing","My thoughts &amp; prayers are w/ the victims, their families, and all those affected by reprehensible attack in Orlando: https://t.co/54NVo5Asz6",
"2016-02-26 ","21:55:08","SenAngusKing","Today @SenatorCollins and I announced nearly $2 million for STEM education efforts in rural Maine @UMaineNews: https://t.co/UfqqstYxBj",
"2016-02-25 ","23:26:03","SenAngusKing","Thanks Coastal Ridge students for wonderful letters &amp; for asking such great questions! Watch here: https://t.co/bpr57pFkBB #mepolitics (2/2)","mepolitics"
"2016-02-25 ","23:25:06","SenAngusKing","I got letters frm students @ York's Coastal Ridge Elementary &amp; thought it'd B fun 2 answer their Q's by video (1/2) https://t.co/DmHLtETCce",
"2016-02-25 ","22:25:03","SenAngusKing","I spoke in #SASC today about ensuring balance for @USNationalGuard Members and Reservists: https://t.co/KrbODiicMg #mepolitics","SASC mepolitics"
"2015-12-03 ","22:15:07","SenAngusKing","Great time Skyping w/ Oceanside East High School students in Rockland. Some very good questions abt American govt https://t.co/XTyyJpcpl6",
"2015-12-02 ","20:05:08","SenAngusKing","Maine ocean industry leaders are playing an important role in #OceanPlanning efforts: https://t.co/5GVB1xZT4a #mepolitics","OceanPlanning mepolitics"
"2015-12-02 ","19:40:04","SenAngusKing","I’ve joined @SenFeinstein &amp; others in effort to strengthen Visa Waiver Program &amp; protect America: https://t.co/0G4CwtrAj8 #mepolitics","mepolitics"
"2015-10-31 ","17:30:38","SenAngusKing","Honored to be part of the Rafael Peralta christening today at BIW #mepolitics https://t.co/MN81DfLKk6","mepolitics"
"2015-10-02 ","22:04:35","SenAngusKing","Important discussion w/ workers at mills in Madison &amp; Rumford. We need to protect Maine jobs #mepolitics http://t.co/2ADd69iNs3","mepolitics"
"2015-10-02 ","17:46:08","SenAngusKing","Thx @SteveCase @RiseOfRest for showcasing Maine startups in #RiseofRest bus tour @DevalPatrick @chelliepingree http://t.co/SznxBI9Ffs","RiseofRest"
"2015-10-01 ","22:55:06","SenAngusKing","Men &amp; women on 9/11 acted w/o hesitation to save others. We need 2 do same 4 them. I stand w/ @SenGillibrand in fight 2 #renew911health","renew911health"
"2015-10-01 ","22:30:18","SenAngusKing","Saddened by tragic events in Oregon today. My prayers are with the victims and their families #UCCShooting","UCCShooting"
"2015-07-17 ","20:35:03","SenAngusKing","HEADS UP: I’ll be live at 5 p.m. with @WolfBlitzer on @CNNSitRoom to discuss the ongoing investigation in #Chattanooga","Chattanooga"
"2015-07-17 ","18:50:01","SenAngusKing","I will continue to study the #IranDeal closely &amp; consult w/ experts. More from @jestei @jonathanweisman in @nytimes: http://t.co/PfWvvHC02O","IranDeal"
"2015-07-17 ","17:05:03","SenAngusKing","Pleased to join @SenatorCollins in announcing $250,000 grant to @MaineHealth for its Children’s Oral Healthcare Access Program #mepolitics","mepolitics"
"2015-07-16 ","21:54:03","SenAngusKing","My thoughts &amp; prayers go out to the loved ones of the Marines who lost their lives in the terrible act of violence in #Chattanooga today.","Chattanooga"
"2015-07-16 ","20:28:07","SenAngusKing","Maine’s parents, teachers &amp; local school admins understand what their students need to succeed, &amp; #ESEA rightly returns control to them.","ESEA"
"2015-07-16 ","20:25:06","SenAngusKing","We are one step closer to closing the #homeworkgap as my two amendments w/@SenCapito passed the Senate: http://t.co/vsQdL9nFtj #ESEA","homeworkgap ESEA"
"2015-06-18 ","22:17:08","SenAngusKing",".@SenCapito &amp; I today introduced the Digital Learning Equity Act to help close the #HomeworkGap: http://t.co/nmmePVH7yk","HomeworkGap"
"2015-06-18 ","19:40:05","SenAngusKing","I joined with @MarkWarner to urge @FCC to increase wireless competition in mobile spectrum action: http://t.co/l3ttIk6xEO",
"2015-06-18 ","19:28:03","SenAngusKing","I met with @GenDunford yesterday, and I am confident that he is the right person to lead the Joint Chiefs of Staff. http://t.co/1tZjtb6udQ",
"2015-06-18 ","19:15:09","SenAngusKing","My reaction to @Pontifex’s climate encyclical released today. We have a moral and ethical responsibility to act: http://t.co/ejVLCqeJ2O",
"2015-06-18 ","18:57:04","SenAngusKing","@TreeStreetYouth is making a difference in the lives of young people. That’s some good news from Maine: http://t.co/2X6BUc9uic #mepolitcs","mepolitcs"
"2015-06-18 ","16:05:03","SenAngusKing","Great news from @USTreasury: a woman will be featured on #TheNew10! An overdue tribute to the impact women have had in shaping America.","TheNew10"
"2015-06-18 ","15:25:01","SenAngusKing","Heartbroken by the violence in South Carolina last night. My thoughts and prayers are with all those affected by this terrible tragedy.",
"2015-06-12 ","21:57:06","SenAngusKing","Thx to Fen Fowler &amp; everyone @ WMCA for 50 yrs of dedication to ppl of Maine: http://t.co/CX59NAQYJ9 #mepolitics http://t.co/tf5UeBIZde","mepolitics"
