"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","14:49:45","stabenow","Rooting for @MSU_Football as they take on the Wisconsin Badgers today at home!  #GoGreen!","GoGreen"
"2016-09-23 ","15:06:46","stabenow","Is Donald Trump really the president we want for our daughters? https://t.co/py65K6102y",
"2016-07-18 ","21:35:54","stabenow","What a great crowd in Northville tonight with @MarlonDMarshall and @HillaryForMI! https://t.co/I3ZcxEmu6g",
"2016-07-18 ","20:31:17","stabenow","Great to bring @MarlonDMarshall to meet Chef Don and the team at American 1917 Bistro in Detroit! #Michigan4Hillary https://t.co/wTFmnxNdX4","Michigan4Hillary"
"2016-07-18 ","20:10:51","stabenow","Great conversation with @DavidWCoulter and @MarlonDMarshall about why we're with her!  #Michigan4Hillary https://t.co/d4lxCXlSxs","Michigan4Hillary"
"2016-07-08 ","21:14:40","stabenow","Happy birthday to the Dean, @JohnDingell! Thank you for your years of service to Michigan. You continue to be such an inspiration to us all.",
"2016-07-07 ","18:10:07","stabenow","ICYMI: My interview with @mibigshow discussing how @HillaryClinton is going to fight for our state!
https://t.co/FFxOUX0gYB",
"2016-07-07 ","17:19:02","stabenow","While @HillaryClinton works to grow economy &amp; give middle class a fair shot, Trump is in DC trying to explain his failing business record.",
"2015-11-27 ","01:31:34","stabenow","Congrats Coach Izzo on win #500! Go Green! #Izzo #MSU","Izzo MSU"
"2015-06-18 ","16:49:24","stabenow","It's about time a woman appeared on our country’s currency! #TheNew10 http://t.co/c6LOKHLe0B","TheNew10"
"2015-06-18 ","15:09:35","stabenow","My thoughts and prayers go out to the families affected by this terrible act of violence and hate. #CharlestonShooting","CharlestonShooting"
"2015-06-12 ","16:18:54","stabenow","From winter storms to college rivalries, Sparty has withstood the test of time! #FlashbackFriday #GoGreen http://t.co/oGLzKTmlFp","FlashbackFriday GoGreen"
"2014-10-25 ","19:00:13","stabenow","Two great teams facing off today, but I have to go with my Spartans! #GoGreen http://t.co/d3xQdoUiib","GoGreen"
"2014-10-25 ","17:44:16","stabenow","Check out this important video for the truth about Gov. Snyder's painful education cuts. http://t.co/XJfe663JkG",
"2014-10-24 ","18:30:05","stabenow","On November 4, let's send a message that #enoughisenough when it comes to the
extreme GOP agenda hurting women and our families!","enoughisenough"
"2014-10-24 ","18:00:29","stabenow","Democrats believe that women’s personal health care decisions should be between
them and their doctors, not their bosses. #HobbyLobby","HobbyLobby"
"2014-10-24 ","17:30:22","stabenow","Democrats believe that #Michigan women and their families deserve #EqualPay for
equal work so that everyone has a #FairShot to get ahead.","Michigan EqualPay FairShot"
"2014-10-24 ","16:06:51","stabenow","What a great way to recognize a #Detroit legend! @Shinola made a limited edition pocket watch to honor Henry Ford. http://t.co/zaRW6dkgEE","Detroit"
"2014-10-24 ","14:22:32","stabenow","Happy National #FoodDay! Where is your favorite place to buy healthy, affordable, and locally produced foods? #ag","FoodDay ag"
"2014-05-24 ","01:20:26","stabenow","#FF @ReadyForHillary","FF"
"2014-05-23 ","17:27:47","stabenow","Join me in wishing Inkster’s Jeralean Talley a Happy and Healthy 115th Birthday! She’s America’s oldest living person http://t.co/hyWeQdJH1S",
"2014-05-23 ","02:35:00","stabenow","As president, Hillary Clinton will fight for our values day in and day out. http://t.co/aMR2qhI5my",
"2014-04-04 ","21:55:45","stabenow","Workers don’t want a handout, they want a #fairshot to build a better life for their  families #raisethewage http://t.co/BpwoM5gqu1","fairshot raisethewage"
"2014-04-04 ","00:37:01","stabenow","No one who works full time should live in poverty, we need to #raisethewage so people have a #fairshot to get ahead. http://t.co/BpwoM5gqu1","raisethewage fairshot"
