"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","23:28:54","amyklobuchar","Toured flood damage in Faribault with local officials today. Spoke with @faribaultmill and Faribault foods. https://t.co/bxLz1d2Iko",
"2016-09-24 ","18:27:00","amyklobuchar","New York Times editorial makes good case for voting for Hillary! Pass it on. Clinton for President, via @nytimes https://t.co/kfEBWFUHyC",
"2016-09-24 ","17:41:00","amyklobuchar","Commend @andrewluger &amp; local &amp; federal law enforcement for their work in getting long sentence on sex trafficker who preyed on 12-year-old.",
"2016-09-24 ","13:24:25","amyklobuchar","Thanks to 100s of Pipefitters for volunteering to repair neighbors' home heating. @MNHeatsOn breakfast. https://t.co/GrbAt5YEUd",
"2016-09-24 ","04:13:30","amyklobuchar","It was great to celebrate the 10th anniversary of @BGAlliance tonight.",
"2016-09-23 ","22:06:40","amyklobuchar","Minnesotans can start voting now! https://t.co/OcI1yvygdV",
"2016-09-23 ","21:00:41","amyklobuchar","Rochester airport expansion received major federal grant! https://t.co/Y0Ygs86K5A",
"2016-09-23 ","19:16:37","amyklobuchar","In Waseca &amp; Owatonna today re floods w/ @RepTimWalz. Thanks to first responders, front line workers &amp; volunteers. https://t.co/e3Gg16fApK",
"2016-09-23 ","14:53:39","amyklobuchar","According to @mnhealth, opioid deaths have quadrupled over the past 15 yrs in MN. We must do more to fight this crisis. #OpioidAwareness","OpioidAwareness"
"2016-09-23 ","00:35:50","amyklobuchar",".@SenateCommerce passed bill I cosponsored to prohibit ticket bots that unfairly drive up ticket prices for music &amp; sports fans.",
"2016-07-18 ","18:11:17","amyklobuchar","My bill w @SenFranken &amp; @tomemmer to rename post office at @CSBSJU in memory of Sen. Eugene McCarthy passed Senate. Attended &amp; taught there.",
"2016-07-18 ","16:10:03","amyklobuchar","Glad committee passed my bill w @SenFranken &amp; @USRepRickNolan to ensure lands within Voyageurs National Park will be managed consistently.",
"2016-07-18 ","03:52:35","amyklobuchar","Loved ones, friends recall slain police officers as family men via @washingtonpost https://t.co/Hpon80AuA8",
"2016-07-17 ","18:22:01","amyklobuchar","Sad to hear we lost Gov Wendy Anderson. Still have '73 Time cover w/his beaming smile &amp; pike. As mag said, he gave us ""the good life in MN""",
"2016-07-17 ","14:45:57","amyklobuchar","Senate passed my bill w @SenatorEnzi to streamline civilian paramedic training for veterans w emergency medical experience.",
"2016-07-08 ","11:00:37","amyklobuchar","This is so tragic....Police: 5 officers dead, 6 hurt in Dallas protest shooting https://t.co/NvWg3pTu2c",
"2016-07-07 ","16:40:01","amyklobuchar","My thoughts are with all those grieving the death of Philando Castile. There must be a full &amp; thorough investigation into his death.",
"2016-07-07 ","01:01:58","amyklobuchar","See @SenWarren's speech? As I've said, firms shouldn't be ""too big to fail"" &amp; mergers shouldn't be ""too big to fix.""
https://t.co/vY0QB61Ene",
"2016-06-12 ","19:29:54","amyklobuchar","Sad to hear about the passing of former Sen. Voinovich - a fellow Slovenian in the Senate. He will be missed.",
