"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","00:20:47","RoyBlunt","Enjoyed meeting w/Amy Hillemann and her daughter, Jaden, in #STL to hear her story &amp; why she’s advocating for @JDRF https://t.co/qP49bIiA79","STL"
"2016-09-23 ","21:42:50","RoyBlunt","Visited Sigel Elementary to talk about efforts to improve school-based services for children who have faced trauma https://t.co/Bsb5z0OOrB https://t.co/G25jddGEPb",
"2016-09-23 ","20:06:13","RoyBlunt","Enjoyed being a part of #STLGrowingGlobal &amp; talking abt our role in global trade &amp; great work @WTCSTL does to support #STL biz around world https://t.co/X0dTPeIbkA","STLGrowingGlobal STL"
"2016-09-23 ","15:13:06","RoyBlunt","Sept. 27th: Stop by our Willow Springs mobile office from 11-12pm and find out how my staff can help you: https://t.co/BEjyeLfjN1",
"2016-07-18 ","22:18:02","RoyBlunt","Join my staff on Thursday, July 21st, for our Liberty mobile office starting at 3:30pm: https://t.co/RWuagOmWdG",
"2016-07-18 ","20:39:25","RoyBlunt","Enjoyed seeing Dr. Curran's #NIH research at @childrensmercy in #KC w/Rand O'Donnell and the great work they do. https://t.co/LEZjYyASSR","NIH KC"
"2016-07-18 ","18:29:03","RoyBlunt","My staff will be in Jasper County on July 20th, from 10-11am. Let us help you w/ problems you might be facing: https://t.co/wQ20AHFgtR",
"2016-07-18 ","17:57:05","RoyBlunt","On July 19, my staff will be in Dade County at 11:30am. Stop by w/ problems that you’re facing and let us help you: https://t.co/wQ20AHFgtR",
"2016-07-18 ","17:47:05","RoyBlunt","Join my staff in Eureka on July 20 at 11am. Come by w/ problems you might be dealing w/ and let us help: https://t.co/sAiBF03gvC",
"2016-07-18 ","16:42:04","RoyBlunt","Are you facing problems we can help with? Stop by our Poplar Bluff mobile office on July 20th at 10am: https://t.co/BEjyeLfjN1",
"2016-07-18 ","15:37:01","RoyBlunt","Are you near #CapeGirardeau? My staff is holding mobile offices in the area this month. Find upcoming dates here: https://t.co/BEjyeLfjN1","CapeGirardeau"
"2016-07-18 ","13:40:01","RoyBlunt","My staff is in Lancaster July 19th for our Schuyler County mobile office. Stop by at 10am and see how we can help: https://t.co/tjnBxQhzwL",
"2016-07-17 ","20:43:04","RoyBlunt","Join my staff in Macon for our mobile office on July 19 at 1:30pm &amp; find out how we can help you: https://t.co/tjnBxQhzwL",
"2016-07-17 ","18:42:05","RoyBlunt","Are you in Kirksville? My staff is holding a mobile office at the Adair County Courthouse on July 19 at 12pm: https://t.co/tjnBxQhzwL",
"2016-07-17 ","16:36:05","RoyBlunt","Are you facing issues we can help w/? Stop by our upcoming mobile offices in Columbia &amp; find full list online: https://t.co/tjnBxQhzwL #COMO","COMO"
"2016-07-08 ","16:19:42","RoyBlunt","We should all reflect on how we can find a better path forward that honors and upholds our values as a nation.",
"2016-07-08 ","16:19:17","RoyBlunt","Violence and hate will not bring justice, they will only bring more tragedy and heartache to our communities.",
"2016-07-08 ","16:18:55","RoyBlunt","We, as a nation, join families of our fallen heroes in grieving. Our thoughts are with them and with those wounded in this horrible attack.",
"2016-07-08 ","16:17:46","RoyBlunt","Our nation's police officers run toward danger every day to keep us safe. Today is another day of far too many when they didn't make it home",
"2016-07-07 ","17:18:02","RoyBlunt","Good luck to all 4-H/FFA participants this year. Proud of your hard work. cc @missouriffa @missouri4h",
"2016-07-07 ","16:21:05","RoyBlunt","Congrats to Anderson Elementary’s Shelley Paul, selected as one of 10 @whitehouseostp finalists. https://t.co/4oyAQK4sfQ @NSF #PAEMST","PAEMST"
"2016-07-07 ","15:02:03","RoyBlunt","Senate Dems blocked common-sense proposals that would help keep cities safe for families, not terrorists &amp; criminals https://t.co/mv94W1FVBO",
"2016-06-13 ","23:55:03","RoyBlunt","Are you facing a problem we can help w/? My staff will be in Princeton on Tues, June 14, at 9am: https://t.co/T4vLhtzWpH",
"2016-06-13 ","23:02:03","RoyBlunt","Thank you, John. I'm proud to fight for those suffering from this devastating disease. https://t.co/bq3Jcki7gQ #endalz","endalz"
"2016-06-13 ","22:53:06","RoyBlunt","On Weds, June 15, my staff will be in Fredericktown at 10am. Come by and let us know what we can do to help: https://t.co/cGxMOF3QFf",
"2016-06-13 ","20:32:47","RoyBlunt","@FH_Dawn @TheFHFoundation Glad to help bring attention to such a devastating and underdiagnosed disorder. #KnowFH","KnowFH"
"2016-06-13 ","18:58:02","RoyBlunt","In Gainesville? My staff will be at the Ozark County Courthouse on Tues, June 14, at 2pm. Join us: https://t.co/uB53GFPI24",
"2016-06-13 ","18:17:02","RoyBlunt","My staff will be in Ava on Tues, June 14, at 10:30am. Come by and hear how we can help you: https://t.co/uB53GFPI24",
"2016-06-13 ","17:57:04","RoyBlunt","On Tues, June 14, at 3pm my staff will be in Gallatin for our mobile office. Stop by: https://t.co/T4vLhtzWpH",
"2016-06-13 ","16:56:02","RoyBlunt","My staff is holding a mobile office in Chillicothe on Tues, June 14, at 1pm. Learn more here: https://t.co/T4vLhtzWpH",
"2016-06-13 ","16:17:44","RoyBlunt","@PMOIndia Honored to meet and speak with you.",
"2016-06-13 ","15:44:06","RoyBlunt","My staff will be in Trenton on Tues, June 14, at 10:30am. Stop by &amp; learn ways we can help you: https://t.co/T4vLhtzWpH",
"2016-06-13 ","15:06:06","RoyBlunt","Stop by our mobile office in Ash Grove on Tues, June 21, at 11:30am and let us know how we can help you: https://t.co/uB53GFPI24",
"2016-06-12 ","20:38:45","RoyBlunt","Sunday's attack is another example of the challenges we continue to face.",
"2016-06-12 ","20:37:39","RoyBlunt","The constant warnings by those that brief me &amp; Intelligence Committee: there are more threats from more directions than at any other time.",
"2016-06-12 ","17:40:43","RoyBlunt","Thank you to the first responders in #Orlando and across the nation who put their lives on the line every day to save others.","Orlando"
"2016-06-12 ","17:39:44","RoyBlunt","I join the nation in mourning the loss of innocent lives in #Orlando, and offer my condolences to all of the victims' loved ones.","Orlando"
"2016-09-23 ","13:16:20","clairecmc","Holy Smokes is right! https://t.co/B0TA5JI9g7",
"2016-09-23 ","00:45:24","clairecmc","How could Mickey not fall in love with #mygrandson? https://t.co/polV1WUhBs","mygrandson"
"2016-07-17 ","17:26:20","clairecmc","https://t.co/sVwyfEEDLM",
"2016-07-08 ","03:59:44","clairecmc","No words. Just heartache. We must heal this gaping wound with trust and respect for all. So much work to do.",
"2016-07-07 ","17:01:53","clairecmc","Race between Sinquefeld &amp; Humphreys to buy Mo state government would be funny if it weren't depressing &amp; dangerous. https://t.co/SK9Y5k9nDn",
"2016-06-12 ","22:43:36","clairecmc","There really are no words. But my attempt. Please America don't get used to this. We cannot treat this as routine. https://t.co/3KoFY6ZAbW",
"2016-06-12 ","04:05:44","clairecmc","Tim is lucky,@Koster4Missouri is lucky, I was lucky. Erika is the best! #McCaskill12crew #BriesNieds #Bestwishes https://t.co/fdDlFOLNjT","McCaskill12crew BriesNieds Bestwishes"
"2016-02-26 ","17:39:43","clairecmc","I'm overwhelmed at the warm wishes and support I have received this week. Please accept my heartfelt gratitude. #fightlikeagirl #beatcancer","fightlikeagirl beatcancer"
"2016-02-20 ","22:09:16","clairecmc","I want a fighter, not a fantasy. #imwithher","imwithher"
"2015-11-01 ","13:33:06","clairecmc",".Thanks Quinton, and I will match @SenSchumer contribution to KC's MLB Urban Youth Academy when we take the crown!  https://t.co/YmStV2gIS7",
"2015-11-01 ","13:14:41","clairecmc","Great to be with @FlaDems last night. Thank you for the invite!",
"2015-10-01 ","21:15:02","clairecmc","Senator Harold Caskey was a special man.Whip smart,strategic,loyal,&amp;secretly a sweet softie.I learned so much from him.Prayers for Kay.",
