"Date","Time","screen_name","text","hashtags"
"2016-07-18 ","21:20:43","SenatorWicker","Beautiful view of #Gulfport from the Hancock Bank Building. #MississippiMonday @VisitMSCoast #GulfCoast https://t.co/Obxp7aKk2j","Gulfport MississippiMonday GulfCoast"
"2016-07-18 ","17:08:17","SenatorWicker","#WickerReport: Bipartisan #CARA bill would fight #opioid crisis, give communities resources needed to save lives: https://t.co/o1tok0diRA","WickerReport CARA opioid"
"2016-07-08 ","20:14:34","SenatorWicker","Appreciate @SenRonJohnson supporting my #EUREKA act. Now let’s work together to find a cure for Alzheimer’s disease &amp; #EndAlz!","EUREKA EndAlz"
"2016-07-08 ","16:46:47","SenatorWicker","Thanks, Senator Murphy, for supporting my #EUREKA bill to help find a cure to Alzheimer’s. With a prize, we pay only for success! #EndAlz","EUREKA EndAlz"
"2016-07-08 ","12:31:12","SenatorWicker","Heartsick for our brothers and sisters in Dallas who lost 5 brave officers last night. Praying the injured make a speedy recovery.",
"2016-06-13 ","20:01:59","SenatorWicker","Sunset over #Pickwick Lake, near #Iuka. #MississippiMonday #TishomingoCounty https://t.co/eyavlX2jcX","Pickwick Iuka MississippiMonday TishomingoCounty"
"2016-06-13 ","19:19:26","SenatorWicker","#WickerReport: Our military commanders &amp; communities rely on #NDAA to prepare for the future. MS plays major role: https://t.co/7BwvfP7qsE","WickerReport NDAA"
"2016-06-13 ","15:55:34","SenatorWicker","Spoke on Senate floor about #JamesMeredith’s powerful role in MS’s progress during #CivilRights era, 50 yrs ago: https://t.co/6IzeREohOa","JamesMeredith CivilRights"
"2016-06-13 ","15:49:53","SenatorWicker","The Senate passed my resolution honoring 50yr anniv of James Meredith’s historic, courageous “March Against Fear.” https://t.co/HC33tyEj2Z",
"2016-02-25 ","16:59:14","SenatorWicker","Good luck to @SMCC_Athletics, @jcjc_athletics, @LetsGoICC, &amp; @ECCCAthletics in the #MACJC State Championship games tonight at ICC!","MACJC"
"2015-12-03 ","19:47:19","SenatorWicker","Here's a touching story about a couple brought together by #Katrina, now affected by #Alzheimer’s. @ClarionLedger | https://t.co/ntdOYGDoz6","Katrina Alzheimer"
"2015-12-03 ","17:44:24","SenatorWicker","Pleased that @alzassocmiss &amp; @UMMCnews are holding the 2015 #Alzheimer’s Summit today to discuss AD. MS is working together to #EndAlz!","Alzheimer EndAlz"
"2015-12-02 ","22:30:48","SenatorWicker",".@SenThadCochran &amp; I joined efforts urging @LorettaLynch to help abused children get the healing services they need: https://t.co/mCFhdeLwoF",
"2015-12-02 ","19:14:43","SenatorWicker",".@heatherscope @burgessev @SenatorTomUdall We're having @MSState beef tenderloin, #GulfCoast shrimp &amp; grits, &amp; @JLJacksonMS’s bread pudding!","GulfCoast"
"2015-11-28 ","15:24:27","SenatorWicker","Today is #SmallBusinessSaturday! Get out and support your local businesses!","SmallBusinessSaturday"
"2015-10-31 ","16:51:54","SenatorWicker","Great morning in #Starkville. Rain or shine, we're working together to find a cure for #Alzheimer's. #EndALZ #EUREKA https://t.co/EorevlkNac","Starkville Alzheimer EndALZ EUREKA"
"2015-10-02 ","20:59:42","SenatorWicker","Enjoyed visiting w/ @NASCAR's Richard Petty at this week's 26th Annual Congressional Sportsmen's Foundation Banquet: http://t.co/R9xKo5vOQV",
