"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","22:35:33","SteveDaines","My favorite mascot. #Champ #GoCatsGo https://t.co/A8q7Ahdopn","Champ GoCatsGo"
"2016-09-24 ","16:59:27","SteveDaines","Can you feel the excitement?! We're ready to cheer on @MSUBobcatsFB to victory today. #Alumni #GoCatsGo https://t.co/UwjVmrDQfe","Alumni GoCatsGo"
"2016-09-24 ","14:27:16","SteveDaines","How are you celebrating National Public Lands Day? #NPLD #Cindy #Beartooths https://t.co/KzNJzIFk9I","NPLD Cindy Beartooths"
"2016-09-24 ","14:26:04","SteveDaines","…And 21 miles on foot! #NPLD #Beartooths https://t.co/xfjr59wGLX","NPLD Beartooths"
"2016-09-24 ","14:25:16","SteveDaines","Our family did 31 miles on horseback. #NPLD #Beartooths https://t.co/VLWnBX1oDf","NPLD Beartooths"
"2016-09-24 ","14:24:25","SteveDaines","Ruby and Reagan had a great time. #NPLD https://t.co/a6fyrLxTJ3","NPLD"
"2016-09-24 ","14:23:20","SteveDaines","My sweet wife Cindy caught her first Golden Trout in the Beartooths. #NPLD https://t.co/a2zF9diUrW","NPLD"
"2016-09-24 ","14:22:08","SteveDaines","On National Public Lands Day, I want to share one of our family's summer backpack trips in the #Beartooths #NPLD https://t.co/HByYLwkhrd","Beartooths NPLD"
"2016-09-24 ","14:06:00","SteveDaines","Yellowstone Naturopathic Clinic helps veterans treat pain through alternative medicine https://t.co/lxf1s08TzG",
"2016-09-24 ","13:59:27","SteveDaines","A lot of Montana work has gone into lifting China beef ban https://t.co/FS9UQzDyE1 via @TomLutey",
"2016-09-24 ","12:56:15","SteveDaines","Beer sales at Big Sky concerts raise $100K for outdoor recreation projects in Missoula https://t.co/azWLQIEkKM",
"2016-09-23 ","17:34:23","SteveDaines","At the Yellowstone Naturopathic Clinic learning about the treatments they provide to Montana's #veterans. https://t.co/yCdGRpx8HF","veterans"
"2016-09-23 ","17:21:35","SteveDaines","Honored to be presented with the Defender of Housing Award for working on behalf of Montana families. https://t.co/8rvweoKxiA",
"2016-09-23 ","16:58:29","SteveDaines","Great to be with the Montana Building Industry Association this morning! https://t.co/aIoy85SXb6",
"2016-09-23 ","02:23:49","SteveDaines","China lifting beef ban will boost Montana economy, experts say https://t.co/BLZqzPJbki",
"2016-09-23 ","02:08:44","SteveDaines","China to lift ban on U.S. beef  https://t.co/f8zQ82fdz7 via @KULR",
"2016-09-23 ","02:05:06","SteveDaines","China ends ban on U.S. beef https://t.co/hAr4w8X7l3",
"2016-07-18 ","17:09:33","SteveDaines","Answering a Q from Ken Barkus on international tax differences &amp; money held overseas due to high corporate tax rate https://t.co/3lH5NUivB4",
"2016-07-18 ","16:42:23","SteveDaines",".@JoeUnterreiner welcoming the only Chem-E in the Senate - joking that Applied Materials has some open positions... https://t.co/kUccTL2Hto",
"2016-07-18 ","16:34:58","SteveDaines","Leading a roundtable discussion with the @KalispellChambr &amp; @globalIPcenter on IP and high paying jobs. https://t.co/PWAPm1c7oL",
"2016-07-18 ","16:01:33","SteveDaines","Touring Applied Materials in Kalispell talking about high-paying Montana jobs. https://t.co/kny8uH8dP8",
"2016-07-08 ","22:07:09","SteveDaines","Obamacare continues to take money out of the pockets of hardworking Montana families with no relief in sight. https://t.co/DO2mKDJu6G",
"2016-07-08 ","22:02:44","SteveDaines","Blue Cross Blue Shield of Montana is requesting a 62.1 percent increase. https://t.co/EQZg5NsXgf",
"2016-07-08 ","21:10:07","SteveDaines","It’s lunchtime in Alaska. #BearCam https://t.co/VjMHp1p347","BearCam"
"2016-07-08 ","03:24:51","SteveDaines","My statement on passage of legislation to protect Montana farmers and ranchers: https://t.co/2rFY5QzKJm",
"2016-07-07 ","02:48:29","SteveDaines","Havre airport gets funds for improvements https://t.co/ggQxBIZcHj",
"2016-06-13 ","23:16:15","SteveDaines","Great news to see passage of important bipartisan bill that protects our economic and environmental resources. https://t.co/7T3Tl3Cz11",
"2016-06-13 ","20:47:40","SteveDaines","An honor to meet Lucy Meyer, the official spokesperson of the @SpecialOlympics - U.S. Fund for UNICEF Partnership. https://t.co/vHH0NOfBYl",
"2016-06-12 ","15:09:33","SteveDaines","My deepest condolences with the victims &amp; families of this horrific attack. Grateful for our first responders and law enforcement officials.",
"2016-02-26 ","17:49:26","SteveDaines","A true honor to meet with the Veterans Alliance of Southwest Montana this morning in Bozeman. https://t.co/LjjgOmKmqi",
"2016-02-26 ","17:19:12","SteveDaines","Great to speak with Montana's potato growers this week from Ronan and Manhattan. https://t.co/o9OnGvqZYp",
"2016-02-26 ","16:08:09","SteveDaines","On the 1-year anniversary of the FCC's #netneutrality rules, I stand w/ our small businesses in opposing this blatant regulatory overreach.","netneutrality"
"2016-02-25 ","22:50:02","SteveDaines","Looking for answers from  @DeptVetAffairs on no #BlueWaterVets care @SenGillibrand @RepChrisGibson @RepDavidValadao https://t.co/ob85GdSR04","BlueWaterVets"
"2016-02-25 ","20:04:02","SteveDaines","Always great to catch up with @AGTimFox about issues facing our state https://t.co/EFzPmGLA8Q",
"2016-02-20 ","16:59:47","SteveDaines","Always a good reminder.  https://t.co/1oWEQYkOwm",
"2015-12-03 ","21:25:13","SteveDaines","Great speaking w/ Jon Stewart and some of NYC's finest today about supporting our 9/11 first responders. #ZadrogaAct https://t.co/EEmVieCL9Q","ZadrogaAct"
"2015-12-02 ","23:15:46","SteveDaines","Watching the Capitol tree lighting ceremony with my sweetie. @ United States Capitol https://t.co/zwq5wesUfY",
"2015-12-02 ","16:39:06","SteveDaines","Signing cards for our troops serving this holiday season. Thanks @RedCross for delivering our messages #HolidayMail https://t.co/rhRoRqMd2G","HolidayMail"
"2015-11-28 ","20:39:00","SteveDaines","I've worn Carter's Cobbler boots from Bozeman every day I've served in DC.  #shopsmall @ Carter's… https://t.co/x7uGA6Oic3","shopsmall"
"2015-11-28 ","15:07:33","SteveDaines","It's #SmallBizSaturday! Join me in supporting Montana small businesses, not just today but every day. #ShopSmall","SmallBizSaturday ShopSmall"
"2015-10-02 ","15:32:13","SteveDaines",".@EPA’s new ozone standard is the latest in a series of overreaching regulations from the Obama admin that will hurt hardworking families.",
"2015-10-02 ","14:56:17","SteveDaines","Ran into the Wickens family from Lewiston and Winifred on the way to Senate floor yesterday. http://t.co/iV6nhrdCxk",
"2015-10-01 ","20:55:12","SteveDaines","Met with @LinkedIn CEO @jeffweiner and discussed trends in jobs in Montana based on feedback from their data. https://t.co/LgXjDzVYZr",
"2015-10-01 ","20:29:18","SteveDaines","Just spoke on the #Senate floor in honor of former MT Supreme Court Chief Justice Jean Turnage https://t.co/rjdf2eTCqJ","Senate"
"2015-10-01 ","20:07:37","SteveDaines","Excited to join @ChrisCoons in introducing bill that encourages the federal government to pursue innovative, citizen-driven solutions.",
"2015-10-01 ","19:22:01","SteveDaines","Great to run into John Walsh today. #mtpol https://t.co/0B32PcYTYw","mtpol"
"2015-10-01 ","18:51:52","SteveDaines","Praying for the victims, families, students and staff at Oregon’s Umpqua Community College.",
"2015-10-01 ","18:04:15","SteveDaines","The VA Appropriations bill ensures that vets are treated with the dignity and respect that they deserve.",
"2015-10-01 ","18:03:02","SteveDaines","The VA Appropriations bill includes provisions to address vets long-standing concerns.",
"2015-10-01 ","17:50:28","SteveDaines","The VA Appropriations bill includes provisions to ensure Montana’s veterans without next-of-kin aren’t denied a VA-issued headstone.",
"2015-10-01 ","17:48:25","SteveDaines","The VA Appropriations bill will take into account the situations of large rural states when determining where to build new veterans’ homes.",
"2015-10-01 ","17:47:09","SteveDaines","The VA Appropriations bill includes provisions to allow veterans with service animals can bring those animals into VA facilities.",
"2015-10-01 ","16:48:10","SteveDaines","FACT: the VA Appropriations bill includes an increase of $4.6 billion above last year’s level for @DeptVetAffairs.",
"2015-10-01 ","16:27:42","SteveDaines","FACT: the VA Appropriations bill includes a record level of $163.8 billion in funding for @DeptVetAffairs.",
"2016-09-24 ","22:32:37","SenatorTester","Today is #NationalPublicLandsDay! I will continue to fight to fully fund #LWCF &amp; ensure folks in MT have access to our public lands. https://t.co/PN5G3ldmn4","NationalPublicLandsDay LWCF"
"2016-09-23 ","21:28:04","SenatorTester","On Native American Heritage Day we reaffirm our commitment upholding the federal govt’s trust &amp; treaty responsibility to Indian Country. https://t.co/XNDFrugjNg",
"2016-09-23 ","13:41:07","SenatorTester","I'm proud both sides of the aisle came together this week to condemn corporate greed &amp; defend American consumers.
https://t.co/M1znwJYhwA",
"2016-07-18 ","18:18:07","SenatorTester","I met with folks this week in Columbia Falls to talk about real solutions that will create jobs. #mtpol https://t.co/V5NBRjrm4o","mtpol"
"2016-07-17 ","16:00:23","SenatorTester","There’s no better place to have a quality life than rural Montana and rural America. https://t.co/sYV3z4TaxO",
"2016-07-17 ","13:51:00","SenatorTester","Sunday @billingsgazette editorial on health care is a must read: https://t.co/1f8stFUB6r #mtpol #ACA","mtpol ACA"
"2016-07-08 ","21:47:58","SenatorTester","Launched my Wildfire Initiative in Missoula to ensure MT is ready for fire season. #mtpol https://t.co/mbTQeWoLFT https://t.co/DAP231rxMQ","mtpol"
"2016-07-07 ","14:18:14","SenatorTester","1 Senator is blocking the bipartisan #Veterans First Act. It’s time to end the politics &amp; support our #vets. #mtpol https://t.co/WVkj2IY2N9","Veterans vets mtpol"
"2016-06-13 ","22:26:03","SenatorTester","We can't continue to be crippled by inaction. The Senate must come together &amp; strengthen national security. #mtpol https://t.co/dr4JLaAYrC","mtpol"
"2016-02-26 ","22:46:56","SenatorTester","The negative impacts of #ClimateChange are undeniable and to sit back and do nothing is irresponsible. #mtpol https://t.co/gu74gfL6if","ClimateChange mtpol"
"2016-02-26 ","22:35:59","SenatorTester","#FlattopFriday https://t.co/Vmf1ond7Iz","FlattopFriday"
"2016-02-25 ","19:46:27","SenatorTester","Take a moment to remember the life of Butte legend, “Pork Chop” John Orizotti.  https://t.co/D0KxI7krZK",
"2016-02-25 ","19:12:49","SenatorTester","It was great to have @AGTimFox swing by my office today. #mtpol https://t.co/oQ7K9WlFWV","mtpol"
"2016-02-21 ","00:02:41","SenatorTester","It was great to spend the week back home meeting with Montanans from Billings, Belgrade, &amp; Great Falls. #mtpol https://t.co/J3Safc7lcF","mtpol"
"2015-12-03 ","23:22:08","SenatorTester","Folks deserve to know what is in the food they eat.  Say no to the #DARKact. #mtpol #GMO https://t.co/BI8QhbB1le","DARKact mtpol GMO"
"2015-12-03 ","22:59:58","SenatorTester","To stop mass shootings in our streets, schools, &amp; churches, we have to take action. We can do this &amp; preserve 2nd Amendment rights. #mtpol","mtpol"
"2015-12-02 ","21:26:54","SenatorTester","Learn more about my new bill that will help keep Americans safe from terrorist threats. #mtpol https://t.co/sgLPU4ZYhk","mtpol"
