"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","13:07:03","SenThomTillis","Joining @TheFHFoundation for FH Awareness Day. FH is treatable, but 90% of those with FH are undiagnosed. #KnowFH https://t.co/vQKkUcMs4X https://t.co/9sOryiaI6D","KnowFH"
"2016-09-23 ","20:12:37","SenThomTillis","Honored to receive the Atomic #Veterans Challenge Coin from veteran Terry Hamrick. I can't say thank you enough for your #service. https://t.co/CM3TH5728i","Veterans service"
"2016-07-18 ","19:00:31","SenThomTillis","Congrats to @Duke_WGOLF's @virgipaper, a @CWSA_HondaCup honoree. Recognized for #leadership, academic excellence, and community service.","leadership"
"2016-07-18 ","17:28:24","SenThomTillis","Congratulations, LTC (Ret) Kettles, on receiving the #MedalOfHonor. Thank you for your service in the @USArmy. https://t.co/9GFtKJeHpV","MedalOfHonor"
"2016-07-18 ","13:40:26","SenThomTillis","I am heartbroken by this horrific attack against law enforcement in #BatonRouge. #BackTheBlue protects our officers. https://t.co/knVRVeA0sw","BatonRouge BackTheBlue"
"2016-07-17 ","16:43:29","SenThomTillis","Yet another targeted massacre against law enforcement officers. Please keep these officers and their families in your thoughts and prayers.",
"2016-07-08 ","15:56:09","SenThomTillis","My statement on the tragedy in #Dallas https://t.co/wGUWQ23npu https://t.co/g4m72dVLWB","Dallas"
"2016-07-08 ","03:30:16","SenThomTillis","Keeping the Dallas Transit Officers and their families in my thoughts and prayers. Saddened that this continues happening in our country.",
"2016-07-07 ","21:55:01","SenThomTillis","We need a federal standard on labeling food or it's going to cost families more money out of pocket: https://t.co/FgxhUUTluT.",
"2016-07-07 ","20:22:34","SenThomTillis","No, that only took 2 seconds as well @SenSanders. https://t.co/QhFkypW4mJ",
"2016-07-07 ","19:57:31","SenThomTillis","It only took 2 seconds to open this on my phone. Thanks for showing how easy it is to use a QR code, @SenSanders. https://t.co/6nYItD4HEQ",
"2016-07-07 ","11:45:03","SenThomTillis","Joining Raeford Brown on @963Thunder at 8:00am to talk about the @FBI's decision on Sec. Clinton. Listen here: https://t.co/QKD9lfGqZq",
"2016-07-07 ","11:15:06","SenThomTillis","Joining Tyler Cralle on @980theWAAV at 7:35 to talk about the @FBI's decision on Sec. Clinton. Listen here: https://t.co/x36kT6rINo",
