"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","17:17:16","SenJohnHoeven","Court decision today gives farmers continued access to affordable fertilizer: https://t.co/AFM8zcft4N.",
"2016-07-07 ","19:38:11","SenJohnHoeven","Great to welcome Col Connor to @MAFBPA 91st Missile Wing, looking forward to working w/ him https://t.co/4foJanERrp https://t.co/dtrFRSCHYi",
"2016-07-07 ","17:01:49","SenJohnHoeven","Rooting for @NDSU alum @AmyAndersonGolf, currently on top of the #USWomensOpen leaderboard- keep up the great work, Amy! #NDproud","USWomensOpen NDproud"
"2016-02-26 ","16:52:38","SenJohnHoeven","@SenatorHeitkamp &amp; I spoke on the Senate floor to pay tribute to fallen #Fargo police officer Jason Moszer: https://t.co/3wFz3ZqxJO","Fargo"
"2016-02-25 ","21:26:49","SenJohnHoeven","Good to see the #NorthDakota wing of the @CivilAirPatrol in DC today- thank you for your service https://t.co/vFN1q0Tqns","NorthDakota"
"2016-02-25 ","16:28:01","SenJohnHoeven","Happy #FFAWeek! #TBT to meeting w/ student leaders from @NDFFA in the Capitol building https://t.co/tejD6nH6Bi","FFAWeek TBT"
"2015-12-02 ","20:23:40","SenJohnHoeven","Worked to restore $3B cut to crop insurance in new highway bill: https://t.co/t7eYUJ5Km6 https://t.co/bR1TwJf5cM",
"2015-12-02 ","19:35:56","SenJohnHoeven","Honored to be named 2015 Good Scout by @NCACBSA at their 5th annual #Energy Awards Luncheon https://t.co/ZPqEenXNwB https://t.co/yULJ3zHzf5","Energy"
"2015-10-02 ","18:10:56","SenJohnHoeven","Looking forward to enjoying some SDSU-made meat &amp; cheese courtesy of @SenJohnThune when the #Bison win #DakotaMarker http://t.co/2Wskfc4Pum","Bison DakotaMarker"
"2015-10-02 ","18:08:11","SenJohnHoeven","Good to see former @NDSUfootball player &amp; 4 Star Gen. Wald. We’ll be rooting for @NDSU tomorrow as they take on SDSU http://t.co/1aaDv1Lz4m",
"2015-10-01 ","20:16:20","SenJohnHoeven","Productive discussion with Lt Col Carl Edgerly of #vets4energy- talked ab the importance of oil exports, #KeystoneXL https://t.co/scgflExkFZ","vets4energy KeystoneXL"
"2015-07-17 ","16:18:32","SenJohnHoeven","Congrats to Harwood, ND native Chelsea Kerbaugh for receiving #Fulbright Scholarship to work as an English teaching assistant in Vietnam!","Fulbright"
"2015-07-17 ","16:01:36","SenJohnHoeven","FY16 #agriculture approps bill includes my provision to give schools flexibility in sodium, whole grain requirements http://t.co/0OvymQnWm5","agriculture"
"2015-07-17 ","14:43:07","SenJohnHoeven","Introduced bipartisan leg w/ @Sen_JoeManchin that will create a states-first approach to regulating coal ash http://t.co/8ZnRfBTwq1",
"2015-07-16 ","21:09:10","SenJohnHoeven","Senate passes #EveryChildAchieves Act, includes #STEM amendment offered by @amyklobuchar &amp; me http://t.co/U5Cum9eURe","EveryChildAchieves STEM"
