"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","14:00:27","SenatorFischer","Game faces on. #GBR https://t.co/kWT9xA9SEf","GBR"
"2016-09-23 ","21:16:25","SenatorFischer","My statement on BCBS departure from NE ObamaCare exchange today: https://t.co/sOWDx5tsL9",
"2016-09-23 ","20:08:18","SenatorFischer","Today’s court decision overturning OSHA rules is a victory for #NEAg producers. Read more here:https://t.co/8f83CZQuqV","NEAg"
"2016-09-23 ","16:06:35","SenatorFischer","Great time in Kearney discussing new NE infrastructure w/ @GovRicketts #BuildNE https://t.co/dEOL3ez4cQ","BuildNE"
"2016-07-08 ","14:49:13","SenatorFischer","https://t.co/eTP9zxGnEL",
"2016-07-08 ","13:18:55","SenatorFischer","My heart breaks for the families of the police officers murdered last night in Dallas. Hold up their families and community in prayer.",
"2016-06-13 ","22:51:35","SenatorFischer","The #PIPESAct will offer states better tools to address incidents like the #Omaha Old Market explosion this past January.","PIPESAct Omaha"
"2016-06-13 ","22:50:59","SenatorFischer","#PIPESAct will create a safer pipeline network across our country. It is a major bipartisan achievement. https://t.co/B4kiZsxtie","PIPESAct"
"2016-06-13 ","22:50:34","SenatorFischer","Proud to work on bipartisan #PIPESAct with @CoryBooker @SteveDaines @SenGaryPeters @SenJohnThune @SenatorBoxer @SenFeinstein","PIPESAct"
"2016-06-13 ","22:50:18","SenatorFischer","Senate has passed #PIPESAct. Bill now heads to @POTUS’s desk.","PIPESAct"
"2016-06-13 ","19:54:37","SenatorFischer","Glad to meet Amanda Cardey from Omaha today. She is interning with the Independent Bakers Association in DC. https://t.co/78WHRfbvl5",
"2016-06-12 ","15:24:49","SenatorFischer","Bruce and I send our heartfelt condolences to the victims and families affected by the Orlando shooting.",
"2016-02-25 ","22:43:56","SenatorFischer","Search and rescue missions save lives. Proud to visit with @NebraskaCAP during their Legislative Day. https://t.co/xBfLFjDNCa",
"2016-02-25 ","19:43:43","SenatorFischer","Watch my tribute to Sgt. Jeff Hansen of Cairo, NE on the #SenateFloor today. #NEheroes. https://t.co/1597layIKD","SenateFloor NEheroes"
"2016-02-25 ","18:15:34","SenatorFischer","Sgt  Hansen is a hero &amp; I’m honored to tell his story, lest we forget his life &amp; the freedom he fought to defend #NEheroes 11/11","NEheroes"
"2016-02-25 ","18:15:15","SenatorFischer","Our nation, and all Nebraskans, are forever indebted to Jeff’s service and sacrifice 10/11",
"2016-02-25 ","18:14:48","SenatorFischer","For his service, Jeff was awarded the Iraqi Campaign Medal, the Global War on Terrorism Service Medal &amp; Armed Forces Reserve Medal 9/11",
"2016-02-25 ","18:13:24","SenatorFischer","Jeff was quickly flown to Germany for emergency care. He passed away a few days later with Jenny at his side. 8/11",
"2016-02-25 ","18:12:43","SenatorFischer","Jeff pushed the other soldiers out of the vehicle, all of whom survived the crash #NEheroes 7/11","NEheroes"
"2016-02-25 ","18:12:31","SenatorFischer","Out of nowhere, Jeff’s Humvee hit a sinkhole and flipped, landing upside down in a canal 6/11",
"2016-02-25 ","18:11:15","SenatorFischer","Jeff’s unit arrived in Iraq just before the al-Askari mosque bombing in 2006 5/11",
"2016-02-25 ","18:09:17","SenatorFischer","He met his wife Jenny at a football game at @UNKearney 4/11",
"2016-02-25 ","18:09:05","SenatorFischer","In civilian life Jeff became a #Kearney police officer, &amp; later joined the @DeptVetAffairs Police Force in Grand Island 3/11","Kearney"
"2016-02-25 ","18:08:26","SenatorFischer","Jeff exhibited outstanding leadership as a member of Troop A in the 1-167th Cavalry of the @NENationalGuard 2/11",
"2016-02-25 ","18:07:52","SenatorFischer","Jeff grew up with the heart of a soldier &amp; over the years, the urge to serve his country tugged at him #NEheroes 1/11","NEheroes"
