"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","18:17:06","KellyAyotte","Today we honored the NH firefighters who lost their lives to keep us safe. We can never forget their tremendous sacrifice https://t.co/37AC7kgadb",
"2016-09-24 ","14:43:26","KellyAyotte","Thanks to all who participated in the 11th Annual Kelly Mann Memorial 5k race, 3k fun run/walk today. Such an important cause https://t.co/MsMql9sKOk",
"2016-09-23 ","18:53:51","KellyAyotte","I’m fighting tooth &amp; nail to force the Obama admin to be transparent w American ppl on Gitmo. Read more via @cqnow: https://t.co/5jLwRRjzXX",
"2016-09-23 ","17:26:33","KellyAyotte","The people of New Hampshire deserve a debate dedicated to the national security challenges facing our country #NHpolitics #NHsen https://t.co/pqb50T4xIu","NHpolitics NHsen"
"2016-09-23 ","13:28:06","KellyAyotte","After my questions, top US general said: ‘troubling’ that Iran military will get US cash. Read more in @thehill https://t.co/g9iWRJoz4Y",
"2016-09-23 ","00:28:28","KellyAyotte","Ready for some @Patriots football! Let's hear it for #PatriotsNation! #HOUvsNE","PatriotsNation HOUvsNE"
"2016-07-18 ","21:03:20","KellyAyotte","My statement on the passing of Van McLeod, Commissioner of the NH Department of Cultural Resources: https://t.co/CFXC49ybFV",
"2016-07-18 ","15:51:58","KellyAyotte","Discussing #CARA at @HOPE4NH Claremont. CARA means more resources for treatment, prevention, recovery, support for first responders","CARA"
"2016-07-18 ","15:47:19","KellyAyotte","Joining local officials, law enforcement, recovery professionals 4 an update on opioid crisis at @HOPE4NH Claremont https://t.co/9ZThkESDEd",
"2016-07-18 ","15:42:50","KellyAyotte","Glad to be a part of the @HOPE4NH Claremont recovery center ribbon cutting today! https://t.co/KIy2xFf39E",
"2016-07-17 ","22:52:47","KellyAyotte","My statement on the police shooting in #BatonRouge https://t.co/XvrOSInEXG","BatonRouge"
"2016-07-17 ","16:30:29","KellyAyotte","While reports are still coming in, my thoughts and prayers are with the officers killed in Baton Rouge.",
"2016-07-17 ","16:06:06","KellyAyotte","With Jim Makris and the huge Makris lobster that will be awarded at Victory Lane #NH301 https://t.co/yU0Hvjhpcy","NH301"
"2016-07-17 ","15:05:27","KellyAyotte","Jake and I are having a blast at @NASCAR @NHMS - said hello to @ReganSmith #NH301 https://t.co/Igp4veeH3k","NH301"
"2016-07-17 ","13:49:43","KellyAyotte","It's @NASCAR race day - on my way to @NHMS this morning!  https://t.co/vnoyHTnW8Q",
"2016-07-17 ","13:09:42","KellyAyotte","Check out our Weekly Roundup via @Medium and catch up on the news that drove the week--&gt; https://t.co/Xmhst8la3Z

#nhsen #nhpolitics","nhsen nhpolitics"
"2016-07-08 ","23:38:11","KellyAyotte","Thank you to all of the public safety officers who made tonight's Hillsboro Balloon Fest 5k a safe, fun event https://t.co/7i1A2sFLSG",
"2016-07-08 ","18:21:18","KellyAyotte","Some Dems chose to play politics with $ that keeps our servicemembers safe. Must reverse course &amp; pass DOD funding https://t.co/yEEmaKN3wo",
"2016-07-08 ","16:47:23","KellyAyotte","House passed #CARA measure w/ overwhelming support fr both parties. Urge Senate 2 follow so it can be signed in2 law https://t.co/cNY8qh6H77","CARA"
"2016-07-08 ","15:24:17","KellyAyotte","Discussing my bipartisan efforts to repeal the medical device tax at @ALPCO in Salem https://t.co/khDEcdiQWl",
"2016-07-08 ","14:44:29","KellyAyotte","Ahead of House's vote on #CARA conference, urging colleagues to set politics aside &amp; pass this crucial legislation https://t.co/73YhlLYD9l","CARA"
"2016-07-08 ","03:52:23","KellyAyotte","Tonight is a tragic reminder that our brave law enforcement officers put their lives on the line every single day to keep us safe.",
"2016-07-08 ","03:49:50","KellyAyotte","Horrific news out of Dallas. Praying for the fallen and wounded officers and their families.",
"2016-07-07 ","18:47:20","KellyAyotte","Bipartisan &amp; bicameral FAA reauthorization compromise includes some of my key airport security measures. Learn more: https://t.co/77j7LHD2yn",
"2016-07-07 ","17:08:32","KellyAyotte","Great visiting with Paulene Daniels &amp; Gary and Trenton Waters from Boscawen during today’s coffee reception! https://t.co/FpzRJwpErq",
"2016-07-07 ","17:03:02","KellyAyotte","Cool news from @nanocomptech in Merrimack- Make impt product for @NASA #Juno spacecraft now orbiting Jupiter! https://t.co/6VBBCqRoMb","Juno"
"2016-07-07 ","16:41:03","KellyAyotte","Great visiting Berlin’s @WRENLocalWorks. Need less regs, more access 2 highspeed internet 4 NCountry @BerlinDailySun https://t.co/x3gVm3EfZZ",
"2016-07-07 ","15:03:04","KellyAyotte","Urge House to vote to repeal wasteful &amp; duplicative #Catfish program. More from @WSJOpinion https://t.co/DYBW6Ynp3V","Catfish"
"2016-07-07 ","14:34:29","KellyAyotte","Asking questions now at Armed Services hearing on NATO. Watch live: https://t.co/BPU6MAwHo6",
"2016-06-13 ","22:52:46","KellyAyotte","Calling on Senate, House ldrship to act quickly to get resources from #CARA to NH, other states to fight back against the opioid crisis","CARA"
"2016-06-13 ","22:52:32","KellyAyotte","Appreciated meeting with @SpeakerRyan re: conferencing Comprehensive Addiction and Recovery Act https://t.co/EPNjlnxAS3",
"2016-06-12 ","14:37:48","KellyAyotte","(2/2) &amp; the brave first responders who saved lives. My thoughts &amp; prayers are w/ the Orlando community in the wake of this terrible tragedy",
"2016-06-12 ","14:37:42","KellyAyotte","My heart goes out to the victims of this horrific attack and their families, those who were injured... (1/2)",
"2016-02-26 ","18:10:46","KellyAyotte","#FlashbackFriday check out a piece on the important work being done by first responders https://t.co/yBrytvokJq @ChiefWillard @mht_nh_police","FlashbackFriday"
"2016-02-26 ","16:46:50","KellyAyotte","Congrats to North Conway’s Dave LaFrance on the last flight of his 25 yr @usairforce career! https://t.co/A0GBbtXMTU",
"2016-02-26 ","16:36:47","KellyAyotte","Pleased Navy has followed my calls &amp; is working to provide suitable housing for our hardworking sailors at PNSY https://t.co/1H8KAv5oHp",
"2016-02-26 ","16:29:19","KellyAyotte","Honored to nominate qualified, talented students to our nation’s service academies this year
https://t.co/x3gQYlpqm7",
"2016-02-26 ","16:15:51","KellyAyotte","DOD must remedy the unfit living conditions for NH National Guard troops &amp; all servicemembers at Al Udeid Air Base https://t.co/oHZhTgXrbL",
"2016-02-25 ","22:44:48","KellyAyotte","I urge my colleagues to vote to take up and pass #CARA. We must work together &amp; address the opioid abuse epidemic https://t.co/erPqNhTQI5","CARA"
"2016-02-25 ","19:23:26","KellyAyotte",".@JohnKerry There should be consequences for #Gitmo detainees reengaging in terrorism – no more releases https://t.co/hS6mrHHfSc","Gitmo"
"2016-02-25 ","16:18:49","KellyAyotte","Asking questions about #Gitmo at @SASCMajority hearing. Watch live: https://t.co/X7I1e91tgr","Gitmo"
"2016-02-25 ","16:11:31","KellyAyotte","It's #NationalClamChowderDay! Looking forward to enjoying some chowder at Geno's in Portsmouth this spring. What's your favorite?","NationalClamChowderDay"
"2015-12-03 ","19:27:00","KellyAyotte","#highwaybill increases awareness of dangers of drug-impaired driving, renews #ExIm &amp; protects motorcyclists' rights https://t.co/ZBHmNXgIfk","highwaybill ExIm"
"2015-12-03 ","19:26:30","KellyAyotte","Glad long-term #highwaybill includes provisions I worked on to give NH the certainty needed to plan transpo projects like widening I-93","highwaybill"
"2015-12-03 ","17:56:59","KellyAyotte","Honored to meet SFC Brian Moore, ret. Served 3 tours in Iraq, Afghanistan in 5 yrs. Encourage all to read his book https://t.co/IrlK7GlbGe",
"2015-12-03 ","15:26:28","KellyAyotte","Helped include $1.5 billion for substance abuse treatment in reconciliation bill to help combat NH’s drug crisis https://t.co/CEg5RNV36D",
"2015-12-02 ","22:25:01","KellyAyotte","Heartbreaking news out of California. Praying for all those touched by this horrific tragedy.",
"2015-12-02 ","17:07:37","KellyAyotte","Unless &amp; until questions, concerns about #NED Pipeline are meaningfully addressed, I oppose this project moving fwd https://t.co/uYOoHfDSbA","NED"
"2015-12-02 ","16:35:37","KellyAyotte","Cosponsoring impt bill to strengthen, reform #VisaWaiverProgram &amp; prevent attacks on our homeland https://t.co/BFscf1CEWo","VisaWaiverProgram"
"2015-12-02 ","14:47:03","KellyAyotte","Will you add your name to the list? CLICK to share why you support the fight to bring NH common senseto2 the Senate: https://t.co/TQdPw5st7u",
"2015-12-02 ","14:45:02","KellyAyotte","So proud to have 750+ leaders across NH endorse my campaign. We're bringing ppl together to do what's right for NH: https://t.co/J9KcyohjGu",
"2015-11-28 ","23:18:21","KellyAyotte","Kate and I watched the tree lighting at Nashua's Winter Holiday Stroll. 
#smallbizsaturday… https://t.co/jmAI9MukwS","smallbizsaturday"
"2015-11-28 ","21:57:16","KellyAyotte","Great to see @Cplunk145 at Fresh of Nashua during tonight's holiday stroll! https://t.co/JefCP0zvFa",
"2015-11-28 ","16:45:07","KellyAyotte","Proud to be named a Hero of Main Street. Hope you'll join me in supporting #SmallBizSaturday! https://t.co/2aTYRLHBuu","SmallBizSaturday"
"2015-11-28 ","16:44:58","KellyAyotte","Refueling at Union Coffee Co - new family business run by brothers Derek &amp; Paul Fimbel #SmallBizSaturday https://t.co/FfGcUNe733","SmallBizSaturday"
"2015-11-28 ","16:25:43","KellyAyotte","Found some great Christmas gifts at @ShopPastiche in Milford. Thanks ladies! #SmallBizSaturday #shopsmall https://t.co/CF7J0Q4vjU","SmallBizSaturday shopsmall"
"2015-11-28 ","16:21:27","KellyAyotte","At @ShopPastiche Boutique in Milford for #SmallBizSaturday #shopsmall https://t.co/EB6W41z87A","SmallBizSaturday shopsmall"
"2015-11-28 ","14:14:58","KellyAyotte","As you head out today for holiday shopping, support NH's small businesses &amp; shop local! #SmallBusinessSaturday","SmallBusinessSaturday"
"2015-11-27 ","00:06:22","KellyAyotte","Kate &amp; I are out for some early #BlackFriday shopping at the mall in Nashua! Hope you and yours are enjoying the day https://t.co/rrrTtiTM5B","BlackFriday"
"2015-10-31 ","23:44:11","KellyAyotte","Jake Daley as Darth Vader. May the force be with you tonight, and have a safe and Happy Halloween! https://t.co/yZHEWfFBw7",
"2015-10-31 ","15:07:43","KellyAyotte","This was only Kate's second 5k and she did great! So proud of her. #witchwaytothe5k https://t.co/jF1n5BNXAf","witchwaytothe5k"
"2015-10-31 ","13:50:38","KellyAyotte","A race, a medal, and a bouncy house. Big day for Jake. https://t.co/KpdHvHkH72",
"2015-10-31 ","13:26:54","KellyAyotte","Great day for a race. Kids and I are excited to run in Witch Way to the 5K! @ Bedford, New Hampshire https://t.co/jK6UsH2Q5q",
"2015-10-31 ","01:37:45","KellyAyotte","Our state is so fortunate to have such devoted public safety officers &amp; we can’t thank them enough for everything they do to keep us safe",
"2015-10-31 ","01:26:33","KellyAyotte","I am honored to speak at the 8th annual North Country Public Safety Foundation’s Awards Dinner tonight https://t.co/nJeEo8bj9k",
"2015-10-02 ","22:04:44","KellyAyotte","VA watchdog nomination long overdue, outrageous that it has taken over 630 days: http://t.co/nRm7A4PxOJ",
"2015-10-02 ","20:50:01","KellyAyotte","It’s important that we help protect whistleblowers who call attention to abuses at the VA and other agencies  http://t.co/ZnxoFnA0sN",
"2015-10-02 ","14:45:02","KellyAyotte","My thoughts and prayers are w/ the families, friends, and fellow servicemembers of all who died in the Afghanistan C-130 crash.",
"2015-10-02 ","13:59:03","KellyAyotte","#truthmatters Help us drive the conversation w/ the truth. Join my Twitter Action Team HERE http://t.co/yPBAjUuxXB http://t.co/3MP1ltV1UH","truthmatters"
"2015-10-01 ","23:47:40","KellyAyotte","I urge my colleagues to pass the Comprehensive Addiction &amp; Recovery Act, supported by AGs in 38 states including NH http://t.co/HH8l7DBT5Z",
"2015-10-01 ","23:44:22","KellyAyotte","We need more prevention efforts, more treatment options, and more support for individuals in recovery.",
"2015-10-01 ","23:44:02","KellyAyotte","While law enforcement officials are working tirelessly to take these drugs off the street, cannot arrest our way out of this problem.",
"2015-10-01 ","23:42:51","KellyAyotte","Solving NH's heroin and Rx drug abuse epidemic will take a multi-pronged approach, with local, state, and federal officials working together",
"2015-10-01 ","23:41:43","KellyAyotte","Community events like this are incredibly important to bringing greater awareness to this crisis",
"2015-10-01 ","23:40:14","KellyAyotte","Tonight I am providing an update on my bipartisan efforts to combat NH's heroin crisis at the Heroin in Hudson forum http://t.co/JuOZNu5NTR",
"2015-10-01 ","21:07:56","KellyAyotte","Deeply saddened by the terrible tragedy in Oregon today. My heart goes out to the entire @Umpquacc community.",
"2015-10-01 ","17:15:18","KellyAyotte","Great to meet with @john_walsh and discuss all his work on behalf of @MissingKids http://t.co/7HFQ4zjdQX",
"2015-10-01 ","17:00:15","KellyAyotte","JOIN ME THIS SUNDAY in the Dash for #Recovery supporting @Phoenixhouse in NH http://t.co/LLtxLrqXPg http://t.co/SlyufNAZvc","Recovery"
"2015-10-01 ","16:41:28","KellyAyotte","Unacceptable to let #LWCF lapse. This program has bipartisan support &amp; helps preserve NH’s beautiful outdoors http://t.co/jZTcdy0l3r","LWCF"
"2015-10-01 ","15:57:29","KellyAyotte","To let #LWCF lapse is unacceptable - I hope we can work together in coming days to agree on extension","LWCF"
"2015-10-01 ","14:58:08","KellyAyotte","Asking questions now at Armed Services hearing about Navy aircraft carrier oversight. Watch live: http://t.co/CdxJ4uNFXZ",
"2015-10-01 ","14:02:04","KellyAyotte","You can refinance car, house, #smallbiz loans but too often not #StudentLoans. I'm working to change that! http://t.co/ysVgGWgZlf","smallbiz StudentLoans"
"2015-10-01 ","14:00:29","KellyAyotte","Agree we need common sense free market #StudentLoan reform? CLICK 2 join my call 4 reform NOW http://t.co/9gH6tP1Kvs http://t.co/srLQxkJf9s","StudentLoan"
"2015-10-01 ","13:53:48","KellyAyotte","Congrats &amp; excellent work to Merrimack’s newest Eagle Scout Hayden Faust – his project pays tribute to our WWII vets http://t.co/IkouwGGt58",
"2015-10-01 ","13:52:37","KellyAyotte","Often you can't refinance #StudentLoans It makes no sense! Working hard 2 change that &amp; make college more affordable http://t.co/u9uZQDbaW8","StudentLoans"
"2015-07-17 ","18:41:16","KellyAyotte","My thoughts are with all who lost loved ones in the #MH17 crash 1yr ago--nothing can bring them back, but the world owes them justice.","MH17"
"2015-07-17 ","16:39:09","KellyAyotte","Congrats on your Nashua opening, @Fratellos Italian Grill! Can’t wait to stop by for a bite soon http://t.co/h6M3FcaJpP”",
"2015-07-17 ","14:52:26","KellyAyotte","Honored to be recognized by the @AT_Conservancy. Preserving NH’s beautiful landscapes is key to our way of life http://t.co/VDTkIJn5FO",
"2015-07-17 ","14:44:03","KellyAyotte","Congratulations to @NHMS on 25 years!  Good luck to all drivers racing this weekend! #NHMS25 #NASCAR","NHMS25 NASCAR"
"2015-07-17 ","00:24:27","KellyAyotte","Honored to receive an award from @AT_Conservancy tonight. Preserving the #AppalachianTrail is not a partisan issue http://t.co/g5ZOCIlLYB","AppalachianTrail"
"2015-07-16 ","23:02:01","KellyAyotte","Glad to be with Hawk and Ron at @AT_Conservancy event tonight- they do impt work to protect NH's outdoors http://t.co/OqvGYOFnR4",
"2015-07-16 ","21:43:58","KellyAyotte","Learned a lot from Ed Shanshalla at today's Coffee w Kelly – he’s the CEO of Ammonoosuc Community Health Services http://t.co/PHpuPhluTR",
"2015-07-16 ","20:57:06","KellyAyotte","Thanks for visiting from Hampton, Howland family! Enjoy your stay in DC http://t.co/xTpLsXFx4T",
"2015-07-16 ","19:59:36","KellyAyotte","Glad the @FCC listened to the concerns of NH residents and decided to keep the Boston field office open http://t.co/zxOiKa2NW7",
"2015-07-16 ","19:40:42","KellyAyotte","Senate passed #EveryChildAchieves w/ my amendments to boost #STEM, strengthen mental health first aid training http://t.co/iULag3tJWi","EveryChildAchieves STEM"
"2015-07-16 ","19:16:33","KellyAyotte","Together, we're making NH more competitive &amp; better preparing our kids for 21st century jobs. #ESEA http://t.co/PDeKAQJEhB","ESEA"
"2015-07-16 ","18:53:45","KellyAyotte","My thoughts and prayers are with the families of those killed in this horrific tragedy in #Chattanooga","Chattanooga"
"2015-07-16 ","16:27:24","KellyAyotte","Worked to incl in highway bill a bipartisan measure to protect rights of NH motorcycle riders. Read more: http://t.co/RatBJttBz7 #nhpolitics","nhpolitics"
"2015-07-16 ","15:31:11","KellyAyotte","Glad @CDCgov is creating new opioid prescribing guidelines like we called for in our bill http://t.co/nLvAeovYeD https://t.co/ZbkV141aRe",
"2015-07-16 ","14:55:17","KellyAyotte",".@WSJ editorial: Obama's False Iran Choice http://t.co/sYOwZp6UaH",
"2015-07-16 ","14:34:57","KellyAyotte","Amendment w @SenBlumenthal will help school personnel understand signs of mental illness &amp; provide immediate support http://t.co/jF65GKbo0l",
