"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","18:28:19","SenatorTomUdall","Today is #NationalPublicLandsDay—I hope you take the opportunity to explore some of #NM’s natural treasures (photo courtesy Andrea Peterson) https://t.co/KE8WIzT2Jm","NationalPublicLandsDay NM"
"2016-09-23 ","23:21:43","SenatorTomUdall","The @NMAAHC tells the story of the African-American experience &amp; celebrates the immense contributions they’ve made to our nation.",
"2016-09-23 ","23:20:18","SenatorTomUdall",".@NMAAHC opens tomorrow—I’m pleased Kymberly Pinder, Dean of @UNMfinearts, will join me at the opening celebration. #APeoplesJourney https://t.co/qtK1jyBmAB","APeoplesJourney"
"2016-09-23 ","19:13:17","SenatorTomUdall","The #wagegap hurts women &amp; families in #NewMexico every single day. RT and join me in the fight for #equalpay for equal work.","wagegap NewMexico equalpay"
"2016-09-23 ","19:12:03","SenatorTomUdall","Women in #NM make 85¢ for every $1 a man makes. We won’t have real gender equality until we close the #wagegap. https://t.co/w3t2q8Xs7a","NM wagegap"
"2016-07-08 ","19:48:01","SenatorTomUdall","My full statement about the tragic shootings this week: https://t.co/qFCzziBVS8",
"2016-07-08 ","19:46:55","SenatorTomUdall","I share the concerns of people about systemic discrimination &amp; violence. We must come together to confront issues that divide us &amp; heal.",
"2016-07-08 ","19:46:17","SenatorTomUdall","Praying for the families of the officers shot &amp; killed in Dallas. The law enforcement community is grieving &amp; I thank them for their service",
"2016-07-07 ","18:09:45","SenatorTomUdall","Looking forward to talking about #chemicalsafety and other topics important to NM. https://t.co/4H00hbbACq","chemicalsafety"
"2016-07-07 ","16:29:21","SenatorTomUdall","Airline travel from the US to Havana is a critical step to opening Cuba. https://t.co/EwZrnpcR9g",
"2016-06-12 ","20:24:51","SenatorTomUdall","#Pride Month is a time when we celebrate our diversity and triumph over hate. I stand with the LGBT community today and always. #Orlando","Pride Orlando"
"2016-06-12 ","20:17:49","SenatorTomUdall","Our nation is strong, we will not be intimidated. We must come together remembering that what makes our nation great is respect for all.",
