"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","16:19:27","SenDeanHeller","Go check out all the bikes in downtown #Reno today for this yrs #StreetVibrations. Enjoy &amp; stay safe!","Reno StreetVibrations"
"2016-07-07 ","17:00:33","SenDeanHeller","Today, Lynne and I celebrate our 32nd wedding anniversary. Am very grateful for my amazing wife and family. https://t.co/tjJb2gMu0I",
"2016-07-07 ","15:48:09","SenDeanHeller","My prayers are w/ all affected by the #SparksFire - thanks to the brave individuals helping to put it out. Follow @cityofsparks for updates!","SparksFire"
"2016-07-07 ","14:56:56","SenDeanHeller","I wrote a letter to @HouseCommerce re #Yucca mountain. The solution is not forcing the burden on Nevada. Read more: https://t.co/V2azHdc5Uz","Yucca"
"2016-06-13 ","18:11:41","SenDeanHeller","Great read on @HydePark_MS students w/ waste-smart design for city of the future via @LasVegasSun https://t.co/OMyNJa52cd Cc: @DiscoverEorg",
"2016-06-13 ","16:13:21","SenDeanHeller","More #NV travel growth! @reviewjournal: @CityOfLasVegas to Munich @Condor_America flights to begin in 2017 https://t.co/rxs3ihiLeV CC @LVCVA","NV"
"2016-06-12 ","13:29:31","SenDeanHeller","Happy birthday to my friend and fellow Nevadan, @MarkAmodeiNV2. https://t.co/tmTRih5YV1",
"2016-02-26 ","21:47:02","SenDeanHeller","#FF @RanchoRamsLV @Carson_Sheriff @WGUNevada @NVBroadcasters @StoreyCounty @NVHemophilia @NvDOW @TahoeAgency @NevadaWingCAP","FF"
"2016-02-26 ","20:52:02","SenDeanHeller","Check out these awesome photos from the @usairforce Wounded Warrior Trials Opening Ceremony at @NellisAFB: https://t.co/iCNVeVPsyM",
"2016-02-26 ","20:32:06","SenDeanHeller","I am currently accepting applications for this year's summer internship program. Apply here: https://t.co/y3nuSKu6up",
"2016-02-26 ","18:30:23","SenDeanHeller","Strengthening federal travel policies is 1 of my top priorities. Tourism is the lifeblood of our economy. No one hosts better than Nevadans!",
"2016-02-26 ","17:30:31","SenDeanHeller","Proud to be honored w/@brianschatz by @USTravel as the Senate's travel champions for work on travel &amp; tourism policy https://t.co/omPJLH1xw9",
"2016-02-26 ","17:17:52","SenDeanHeller","PRESS RELEASE: @SenDeanHeller, @SenatorTester, @RepGusBilirakis Expand Travel Options for Disabled #Veterans https://t.co/7WH8oc5qBc","Veterans"
"2016-02-26 ","16:27:20","SenDeanHeller","ICYMI: @reviewjournal EDITORIAL: Anchor away:@paulafrancis8 signs off on brilliant career https://t.co/1USX87vlen",
"2016-02-25 ","22:47:22","SenDeanHeller","Thanks to these Cadets for visiting my office! Cc: @NevadaWingCAP https://t.co/AMhDImPLHz",
"2016-02-25 ","21:14:57","SenDeanHeller","Great talking with representatives from @NvDOW &amp; @TahoeAgency about invasive species prevention this morning. https://t.co/40krIX3CZU",
"2016-02-25 ","20:31:10","SenDeanHeller","#TBT to receiving this incredible award from @DAVHQ last year for helping our nation's #vets - was such an honor! https://t.co/ehxYe6RaxP","TBT vets"
"2016-02-25 ","19:30:23","SenDeanHeller","Enjoyed hearing from @CityOfLasVegas representatives from @NVHemophilia this morning. Cc: @NHF_Hemophilia https://t.co/qrn0E6ldnX",
"2016-02-25 ","18:35:28","SenDeanHeller","I hope the next President will consider him in the future. 3/3",
"2016-02-25 ","18:35:09","SenDeanHeller","But, I support his decision to withdraw his name from consideration for the Supreme Court vacancy. 2/3",
"2016-02-25 ","18:34:50","SenDeanHeller","As a friend and former colleague of Governor Sandoval’s, I believe he is  eminently qualified for this position. 1/3",
"2016-02-21 ","21:39:14","SenDeanHeller","Both Lynne and myself would like to offer our deepest sympathies to @sendebbiesmith's entire family during this extremely difficult time.",
"2016-02-20 ","20:00:14","SenDeanHeller","Good luck to @UNLVathletics &amp; @NevadaWolfPack today! #GovernorsSeries #BattleBorn #NEVvsUNLV #PackPride #UNLVmbb https://t.co/YZBeXKb6DE","GovernorsSeries BattleBorn NEVvsUNLV PackPride UNLVmbb"
"2015-12-03 ","21:21:18","SenDeanHeller","Glad the #FastAct passed the House. Look forward to voting for it in Senate. 5 yr transpo bill is a big win for NV https://t.co/I1v622kgtX","FastAct"
"2015-12-03 ","21:17:13","SenDeanHeller","Pleased to see my amendment to repeal the #CadillacTax pass the Senate by a vote of 90-10! https://t.co/x8BLnDrvLB","CadillacTax"
"2015-12-03 ","21:13:11","SenDeanHeller","ICYMI: Senate votes to repeal ObamaCare 'Cadillac Tax' via @thehill's @PeterSullivan4 https://t.co/g7piOCKKoU",
"2015-12-03 ","20:11:23","SenDeanHeller","#TBT to visiting the Naval Strike and Air Warfare Center in Fallon! It was a privilege to meet some of NV's finest. https://t.co/u0dSwAOevr","TBT"
"2015-12-03 ","17:01:18","SenDeanHeller","Great meeting with @NavyLeagueUS members from @CarsonCityGov! #BattleBorn https://t.co/1xSkk5APWb","BattleBorn"
"2015-12-02 ","23:00:13","SenDeanHeller","I filed an amendment &amp; spoke at a press conference to continue the fight to repeal the #CadillacTax. Learn more: https://t.co/Uw9vu919nF","CadillacTax"
"2015-12-02 ","22:58:41","SenDeanHeller","Spoke at a press conference re #CadillacTax repeal w/ @MartinHeinrich @RepJoeCourtney @RepFrankGuinta &amp; @fightthe40 https://t.co/mH8zGpGfyf","CadillacTax"
"2015-12-02 ","21:36:35","SenDeanHeller","Pleased to see the I-11 extension included in the highway bill. Check out this coverage via @KTVN: https://t.co/g28Ov6Srs4",
"2015-12-02 ","20:20:57","SenDeanHeller","#ObamaFail #CadillacTax We're talking about reduced benefits, increased premiums, and higher deductibles. https://t.co/gi7et6POiC","ObamaFail CadillacTax"
"2015-12-02 ","18:10:36","SenDeanHeller","Discussed how #FASTAct will advance Northern Nevada highway &amp; transit projects with @rtcwashoe and the @cityofsparks https://t.co/YSd1zffiMa","FASTAct"
"2015-12-02 ","16:41:18","SenDeanHeller","Happy Birthday, @SenatorReid! Lynne and I wish you all the best on this special day. https://t.co/n9w4uqTsPQ",
"2015-12-02 ","16:14:14","SenDeanHeller","Great working with @RepHardy on I-11! His leadership on this initiative ensured NV’s voice at the table was heard. https://t.co/DZwWyth2as",
"2015-12-02 ","16:05:21","SenDeanHeller","ICYMI: I-11 extension proposal clears another congressional hurdle via @reviewjournal https://t.co/BMwSEfyGPm",
"2015-11-28 ","14:00:06","SenDeanHeller","Go out and support Nevada's small businesses on this #SmallBusinessSaturday! #ShopSmall #DineSmall","SmallBusinessSaturday ShopSmall DineSmall"
"2015-10-31 ","20:34:03","SenDeanHeller","Had a great time at the Nevada Day Parade this morning with my family #NevadaDay https://t.co/AEcXWDAu2E","NevadaDay"
"2015-10-31 ","15:00:12","SenDeanHeller","Happy Nevada Day to fellow Nevadans across the state! #NevadaProud #BattleBorn #Nevada151 https://t.co/KSM2Aa9Bfc","NevadaProud BattleBorn Nevada151"
"2015-10-02 ","20:31:59","SenDeanHeller","#FF @NevadaWolfPack @UNLVathletics @Fremont_Cannon @ClarkCountySch @NVNationalGuard @HCC_Nevada @usvetsinc @Pontifex @NvDrought @NevadaHOSA","FF"
"2015-10-02 ","20:13:38","SenDeanHeller","#FF @RenoAirport @LASairport @LV_GEA @lvchamber @TheChambernv @GovSandoval @Hutch4Nevada @renotahoe @LVCVA @AmerGamingAssn @USTravel","FF"
"2015-10-02 ","19:03:10","SenDeanHeller","#FlashbackFriday to spending time with both the @NevadaWolfPack &amp; @UNLVathletics. Good luck in the game tomorrow! http://t.co/9peSBl0KKq","FlashbackFriday"
"2015-10-02 ","17:42:15","SenDeanHeller","#BreastCancerAwarenessMonth http://t.co/MhqatNSgJr","BreastCancerAwarenessMonth"
"2015-10-02 ","15:56:22","SenDeanHeller","Battle for the @Fremont_Cannon happens tomorrow! @NevadaWolfPack v. @UNLVathletics #NEVvsUNLV #BattleBorn #LasVegUS http://t.co/KqTUxAZYAk","NEVvsUNLV BattleBorn LasVegUS"
"2015-10-02 ","14:34:28","SenDeanHeller","Pleased to see Nevadans support the JOLT Act – legislation will boost tourism in our state. http://t.co/uquJKVXY3k http://t.co/9HQYOHeUAU",
"2015-10-01 ","18:49:15","SenDeanHeller","My thoughts and prayers are with those affected by this tragedy at Oregon’s Umpqua Community College.",
"2016-07-18 ","17:47:48","SenatorReid","Rather than get work done, Republicans rushed to the exits for a 7-week recess. The public is taking notice. https://t.co/eURbcO0Kmi",
"2016-07-17 ","21:34:50","SenatorReid","The nation stands with the people of Baton Rouge and the city’s police department. We cannot allow such hate and violence to continue.",
"2016-07-08 ","14:03:54","SenatorReid","The nation stands with the people of Dallas and their brave police force. There is no possible justification for such a senseless, evil act.",
"2016-07-08 ","02:26:13","SenatorReid","For too many Americans, the 'justice system' is unjust. Lives are not valued. We have to stop pretending the system is fair and fine.",
"2016-07-07 ","22:21:00","SenatorReid","Found this old photo lying around. Been fighting for a long time #TBT https://t.co/OPWqR05XPh","TBT"
"2016-06-13 ","20:25:05","SenatorReid","Republicans need to find the backbone to stand up to groups like the NRA and Gun Owners of America.",
"2016-06-13 ","20:09:08","SenatorReid","Congress is failing to do anything to prevent these mass killings. Because of Republican obstruction, we’re doing nothing. Shameful.",
"2016-06-13 ","19:01:02","SenatorReid","We have responsibility to do what we can to prevent gun violence. Let's start by closing loophole allowing terrorists to purchase weapons.",
"2016-06-13 ","18:28:51","SenatorReid","This act of terror was an attack on the LGBT community; an attack on acceptance, freedom and love; an attack on America.",
"2016-02-25 ","15:40:27","SenatorReid","Republicans say they are refusing to do their job out of principle. 
That’s true -- their only principle is obstruction. #DoYourJob","DoYourJob"
"2015-12-03 ","21:38:17","SenatorReid","If a suspected terrorist is trying to purchase a gun, the Republican response is ""maybe."" Our response is ""no!"" https://t.co/6hywgbgTKF",
"2015-12-03 ","21:05:39","SenatorReid","Republicans are offering an alternative amendment that doesn't keep terrorists from getting guns. https://t.co/lyNMN0ItwL",
"2015-12-03 ","14:54:25","SenatorReid","We are 337 days into 2015. We have had 355 mass shootings. Congress is complicit in this with our inaction. https://t.co/ri8IpwdUD3",
"2015-12-03 ","14:42:28","SenatorReid","We're going to force the Senate to vote today on amendments that do something to stop gun violence.",
"2015-12-02 ","21:37:28","SenatorReid","Gun violence has become a cancer on this nation. We must make common sense gun reforms that keep weapons out of dangerous hands.",
"2015-12-02 ","21:36:31","SenatorReid","We cannot allow ourselves to grow numb to gun violence or to feel powerless in the face of it. #SanBernandino","SanBernandino"
"2015-12-02 ","14:55:53","SenatorReid","The venom Republicans spew has consequences. History will judge harshly those who stand quiet as fear becomes the platform of their party.",
"2015-12-02 ","14:50:00","SenatorReid","I'm increasingly concerned that Republicans have resorted to hatred instead of appealing to the highest sensibilities of American people.",
"2015-10-02 ","00:23:19","SenatorReid","This violence must stop. Americans want us to act. We cannot dodge this conversation forever. #UCCShooting","UCCShooting"
"2015-10-01 ","14:23:21","SenatorReid","I'm glad Sen McConnell wants to begin budget negotiations. Imagine what we could've accomplished if he took our offer to do that months ago.",
"2015-10-01 ","13:34:40","SenatorReid","It is unconscionable to continue to use millions in taxpayer funds for what the @GOPLeader has admitted is no more than a political attack.",
"2015-10-01 ","13:25:59","SenatorReid","The Benghazi investigation is one of the longest in Congressional history and has cost taxpayers over $4.5 million. http://t.co/tdqRi2t5cI",
"2015-10-01 ","13:17:48","SenatorReid",".@SpeakerBoehner, we urge you to immediately disband the Select Committee on Benghazi. http://t.co/831pHnh8Cz",
"2015-07-16 ","22:34:32","SenatorReid","Today my thoughts are with the people of Tennessee. I hope all Americans join me in sending my deepest condolences to the victims' families.",
"2015-06-18 ","17:40:55","SenatorReid","I do not know how much longer we can thwart the views of the American public on taking reasonable gun safety measures.",
"2015-06-18 ","13:34:44","SenatorReid","The thought of fellow citizens being gunned down as they gathered to pray is heart-wrenching. It's the ultimate act of cowardice and hatred.",
"2015-06-17 ","14:10:31","SenatorReid","Securing a nation takes more than bombs and bullets. It takes good transportation and education systems, and good medical research programs.",
"2015-06-17 ","13:49:53","SenatorReid","This is straight out of the Republicans'  Manufactured Crisis Playbook: refuse to act, then offer a short term extension at the last minute.",
"2015-06-17 ","13:47:50","SenatorReid","At the end of July, funding for the federal highway program will expire.  But you wouldn’t know it from watching Senate Republicans.",
"2015-06-11 ","14:46:17","SenatorReid","It'd be tragic if Ex-Im Bank wasn’t reauthorized because GOP presidential hopefuls are more interested in auditioning for the Koch brothers.",
"2015-06-11 ","14:32:36","SenatorReid","Republicans were for the Export-Import Bank until the Kochs were against it.",
"2015-06-11 ","14:28:14","SenatorReid","It is hypocritical that the same Koch Brothers, who are using the Ex-Im Bank for loans, are attacking it as a corporate giveaway.",
"2015-06-11 ","14:21:17","SenatorReid","I'll have a few thoughts to share this morning regarding what the Koch Brothers are up to.",
"2015-06-11 ","13:21:52","SenatorReid","Taxes on the rich went up. The economy grew. The only thing falling is the deficit. http://t.co/YpL419S9nr",
"2014-04-04 ","17:23:37","SenatorReid","Many of you are asking for an update on #renewUI. The final vote to pass it will take place Monday afternoon at 5:30 pm.","renewUI"
"2014-04-04 ","16:38:29","SenatorReid","Watch @JoyAnnReid discuss the Koch Brothers. She tells it like it is. http://t.co/tgZMB0Os4V",
"2014-04-04 ","15:56:19","SenatorReid","Thank you, Roll Call RT @rollcall: @SenatorReid's Instagram Feed is Picture Perfect http://t.co/VmPuBmLRJ4 via @WARojas",
"2014-04-04 ","13:50:26","SenatorReid","We’ve started an Instagram account. What do you think of it? http://t.co/W0vxNm90kO",
"2014-04-03 ","23:00:25","SenatorReid","Read the facts about the Kochs' radical agenda: http://t.co/TwbsEaU6it",
"2014-04-03 ","22:19:03","SenatorReid",".@SenatorBoxer and I were treated to a wonderful impromptu performance by a saxophonist in the Capitol. #GrammyDC http://t.co/MXzo0lRmiC","GrammyDC"
"2014-04-03 ","21:09:11","SenatorReid","I’m working to help boost development in downtown Las Vegas (@downtownprojlv). #CityAsAStartup. Learn more here: http://t.co/EY6USzK0b0","CityAsAStartup"
"2014-04-03 ","19:27:47","SenatorReid",".@SenFeinstein deserves great credit for her tenacious leadership in working to declassify the CIA interrogation report.",
"2014-04-03 ","19:03:29","SenatorReid","Senate is now voting on the last procedural hurdle to passing #renewUI. If this vote succeeds, final passage will take place Mon afternoon.","renewUI"
"2014-04-03 ","17:17:16","SenatorReid","Charles Koch doesn't just oppose raising the minimum wage; he wants to abolish the minimum wage! http://t.co/Y9AnEKpHF0",
"2014-04-03 ","16:09:51","SenatorReid","I'm joining @NancyPelosi and @au4change to discuss #RaiseTheWage. Watch here: http://t.co/mC3oFrOccJ","RaiseTheWage"
"2014-04-03 ","13:36:27","SenatorReid","The strong and resilient Ft. Hood community is grieving over this latest act of senseless violence. We stand with them.",
"2014-02-21 ","18:47:24","SenatorReid","We'll vote again on #renewUI soon. We need 1 more Republican vote. This is important. We must keep pushing. http://t.co/QvoFx1ap3x","renewUI"
"2014-02-20 ","19:52:37","SenatorReid","I commend the President for his commitment to keeping Social Security strong, and for rejecting GOP calls to cut badly-needed increases.",
"2013-09-17 ","20:37:17","SenatorReid","Americans have spoken loudly and clearly on Obamacare: It’s time to move on. http://t.co/qM41DQno9R",
"2013-09-17 ","15:16:51","SenatorReid","Here's why I'm upset about the partisan games that Republicans are playing with Obamacare: http://t.co/R2W4r8J8JZ",
"2013-09-17 ","14:23:30","SenatorReid","If GOP opposes employer contribution for federal staff, do they oppose it for 150 million Americans whose employers help pay their premiums?",
"2013-09-17 ","14:18:53","SenatorReid","Sen Vitter’s plan to end employer contribution for fed workers (after yrs of accepting the subsidy himself) is hypocritical + mean spirited.",
