"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","17:49:58","SenGillibrand","#FAMILYAct would guarantee #paidleave for all to care for themselves, a new child, or sick loved one for cost of around a cup of coffee/week","FAMILYAct paidleave"
"2016-09-24 ","17:42:07","SenGillibrand","More than 114 million U.S. workers still lack access to #paidleave for family care. This is unacceptable &amp; is why we need the #FAMILYAct.","paidleave FAMILYAct"
"2016-09-24 ","17:37:37","SenGillibrand",".@BLS_gov data shows little change in pvt sector access to employer-provided #paidleave--still just 14% of workers.

https://t.co/pbaNlnrfwv","paidleave"
"2016-09-23 ","22:30:53","SenGillibrand",".@jessicashortall Thank you for highlighting the need to pass the #FAMILYAct so we can finally guarantee #paidleave for all workers.","FAMILYAct paidleave"
"2016-09-23 ","20:59:05","SenGillibrand","Up at @Goop, terrific Q&amp;A with #paidleave advocate @jessicashortall about ""Why We All Need Family Leave"" https://t.co/QxicwYLx6r #FAMILYAct","paidleave FAMILYAct"
"2016-09-23 ","19:44:36","SenGillibrand","The Global Mural Conference kicked off in #Fairport, #NY today https://t.co/zKUelHWj2y Bring a paintbrush and help artists paint the murals!","Fairport NY"
"2016-09-23 ","18:42:05","SenGillibrand","Also urged #SecCarter to consider #NY for a future DoD Defense Innovation Unit Experimental innovation hub, such an exciting project.","SecCarter NY"
"2016-09-23 ","18:37:17","SenGillibrand","At #SASC cmtee hearing yesterday, spoke with #SecCarter about need to crack down on retaliation against survivors of military sexual assault","SASC SecCarter"
"2016-09-23 ","17:48:41","SenGillibrand","With @SenWarren &amp; several of our colleagues, urging @USDOL to investigate whether @WellsFargo violated labor laws. https://t.co/EIaNrHmB4m",
"2016-07-18 ","22:48:23","SenGillibrand","Impt new @DandC Op-Ed by @PPWNY Medical Director Rachel Phelps: ""What you should know about #Zika"" https://t.co/QqdiVeDkwl","Zika"
"2016-07-18 ","20:21:42","SenGillibrand","As we prepare to fight for priorities of #NY farmers in next Farm Bill, so impt to have their input. Thx to all who came &amp; raised your voice","NY"
"2016-07-18 ","20:19:15","SenGillibrand","In #Watertown, #NY, hosted a roundtable w/local farmers &amp; producers to hear their concerns &amp; ideas for how Congress can help the Ag industry","Watertown NY"
"2016-07-18 ","18:33:01","SenGillibrand","We need to modernize our laws and give the federal government the tools they need to respond to the threats posed by invasive species.",
"2016-07-18 ","18:27:20","SenGillibrand","#NY is home to some of the most beautiful wildlife refuges, public parks, &amp; bodies of water in the nation, we must fight to preserve them.","NY"
"2016-07-18 ","18:25:23","SenGillibrand","Today, I visited #Buffalo &amp; #Rochester to announce the introduction of the Invasive Fish &amp; Wildlife Prevention Act. https://t.co/DX13Wc3sxJ","Buffalo Rochester"
"2016-07-18 ","18:09:46","SenGillibrand","Fighting to block the sale of #PlumIsland to the highest bidder, so we can protect &amp; conserve its ecosystem. https://t.co/PosjmV0bzv","PlumIsland"
"2016-07-18 ","16:21:35","SenGillibrand","I'll cont. to fight for resources to address the opioid addiction epidemic that is destroying so many lives in #NY &amp; across the U.S. #CARA","NY CARA"
"2016-07-18 ","16:17:13","SenGillibrand","While #CARA is a step in the right direction, it lacks adequate funding to fully implement policy changes to end the growing opioid epidemic","CARA"
"2016-07-08 ","15:20:08","SenGillibrand","Pls join me in praying for the families of #AltonSterling #PhilandoCastile &amp; the officers killed last night. This cycle of violence must end","AltonSterling PhilandoCastile"
"2016-07-08 ","15:19:27","SenGillibrand","Absolutely heartbroken by the senseless tragedies of last night &amp; over the past few days. My heart goes out to the loved ones of the victims",
"2016-07-07 ","20:36:28","SenGillibrand","In states where #medicalmarijuana is legal, many seniors are finding alternative to expensive prescriptions, driving Medicare spending down.","medicalmarijuana"
"2016-07-07 ","20:34:05","SenGillibrand","Via @NPR: ""After #MedicalMarijuana Legalized, Medicare Prescriptions Drop For Many Drugs"" https://t.co/NYU8Nkrmml","MedicalMarijuana"
"2016-07-07 ","19:04:27","SenGillibrand","Information on tomorrow's #HoosickFalls PFOA contamination roundtable: https://t.co/zCgOMFcaD5 Doors open at 2:30pm, will run from 3-4pm.","HoosickFalls"
"2016-07-07 ","19:01:34","SenGillibrand","I look forward to hearing from members of the #HoosickFalls &amp; #Petersburgh communities tomorrow about the water contamination crisis there.","HoosickFalls Petersburgh"
"2016-07-07 ","17:55:55","SenGillibrand","Plsd @USDA will expand barley crop insurance throughout #NY to help our farmers &amp; producers--impt for growing brewery &amp; distillery industry.","NY"
"2016-07-07 ","15:11:56","SenGillibrand","Thanks so much @EMILYsList @CheriBustos &amp; to everyone who joined for a terrific #IgniteChangeChat! So impt to elect more women to office!","IgniteChangeChat"
"2016-07-07 ","15:08:11","SenGillibrand","Also, check out #OffTheSidelines for more resources for women who want to run for office: https://t.co/k6SHVbTtBo #IgniteChangeChat","OffTheSidelines IgniteChangeChat"
"2016-07-07 ","15:07:08","SenGillibrand",".@VedaBeltran We need to ask more women to run. @SheShouldRun is a great resource! https://t.co/6jsbBGCbrf #IgniteChangeChat","IgniteChangeChat"
"2016-07-07 ","15:03:58","SenGillibrand","Women will be key to Democrats retaking the Senate, so we must all get #offthesidelines &amp; support these incredible women! #IgniteChangeChat","offthesidelines IgniteChangeChat"
"2016-07-07 ","15:03:08","SenGillibrand","Other amazing women who are #offthesidelines running for Senate incl @CatherineForNV @Ann_Kirkpatrick &amp; @DeborahRossNC #IgniteChangeChat","offthesidelines IgniteChangeChat"
"2016-07-07 ","15:01:58","SenGillibrand",".@AnnieLieber We have terrific women running for Senate incl @KamalaHarris @TammyforIL @Maggie_Hassan @KatieMcGintyPA #IgniteChangeChat","IgniteChangeChat"
"2016-07-07 ","15:00:15","SenGillibrand",".@AnnieLieber We have amazing #OffTheSidelines candidates this year incl my former staffer @ColleenDeacon running in #NY24 #IgniteChangeChat","OffTheSidelines NY24 IgniteChangeChat"
"2016-07-07 ","14:54:27","SenGillibrand",".@HillaryClinton was an impt mentor to me in my race for Congress &amp; I've tried to mentor other women who run. #IgniteChangeChat","IgniteChangeChat"
"2016-07-07 ","14:53:46","SenGillibrand",".@HaleyKottler Mentorship is incredibly important for women, not just those running for office, but in all fields! #IgniteChangeChat","IgniteChangeChat"
"2016-07-07 ","14:49:29","SenGillibrand",".@samthingtosay I was 1st inspired by my grandmother who saw politics as a way to be heard in her community. She taught me my voice matters.",
"2016-07-07 ","14:45:34","SenGillibrand","Thanks for being #offthesidelines, Colleen, you're going to win! #NY24 #IgniteChangeChat https://t.co/rd4ty0EUaM","offthesidelines NY24 IgniteChangeChat"
"2016-07-07 ","14:43:10","SenGillibrand",".@jennandaviss Women are particularly good at listening to one another, finding common ground and building from there. #IgniteChangeChat","IgniteChangeChat"
"2016-07-07 ","14:40:48","SenGillibrand",".@amelia_berger W/more women we can pass #paidleave, #equalpay, affordable daycare, raise #minimumwage &amp; universal pre-k! #IgniteChangeChat","paidleave equalpay minimumwage IgniteChangeChat"
"2016-07-07 ","14:35:43","SenGillibrand","A:3 Crucial for orgs like @emilyslist PACs like #OffTheSidelines &amp; Dem committees to lift progressive women candidates up. #IgniteChangeChat","OffTheSidelines IgniteChangeChat"
"2016-07-07 ","14:35:06","SenGillibrand","A3: Women candidates continue to face sexist attacks. Impt to fight back, challenge attacks, and not take them personally. #IgniteChangeChat","IgniteChangeChat"
"2016-07-07 ","14:31:13","SenGillibrand","A2: @CheriBustos is doing an incredible job at the @DCCC working to recruit &amp; support fantastic women candidates. #IgniteChangeChat","IgniteChangeChat"
"2016-07-07 ","14:30:43","SenGillibrand","A2: Impt to remind women about change they can make in office &amp; the people they can help. And that their voices are needed #IgniteChangeChat","IgniteChangeChat"
"2016-07-07 ","14:30:00","SenGillibrand","A2: Women are often reluctant to run for office--they doubt themselves or fear subjecting their family to nasty campaign. #IgniteChangeChat","IgniteChangeChat"
"2016-07-07 ","14:27:08","SenGillibrand","Thank you for getting #offthesidelines! That's leadership in action! #IgniteChangeChat https://t.co/vi1jqVTqC5","offthesidelines IgniteChangeChat"
"2016-07-07 ","14:25:34","SenGillibrand","Absolutely right! NYT published study proves it. #IgniteChangeChet https://t.co/GMifKWmfbr","IgniteChangeChet"
"2016-07-07 ","14:24:12","SenGillibrand","A1: When Congress is 51% women, we'll work on issues impt to the American people: the economy &amp; keeping our families safe. #IgniteChangeChat","IgniteChangeChat"
