"Date","Time","screen_name","text","hashtags"
"2016-07-17 ","01:46:42","RonWyden","Thanks to Stacy &amp; the whole crew at @wildduckcafe today for a great lunch in Eugene. #GoDucks https://t.co/ypjbY41p3r","GoDucks"
"2016-07-08 ","16:31:48","RonWyden","Start asking your Qs now about the new push to allow FBI #BrowserSpying w/no court order. @MartinHeinrich &amp; I'll answer during a Q&amp;A Monday!","BrowserSpying"
"2016-07-08 ","16:02:04","RonWyden","What is this #BrowserSpying proposal? Why is it unnecessary? Learn more: https://t.co/HhBkNIHQoI","BrowserSpying"
"2016-07-08 ","15:22:01","RonWyden","#BrowserSpying proposal would give FBI access to Americans’ electronic communications records WITHOUT court order https://t.co/PnKDHuWYdB","BrowserSpying"
"2016-07-08 ","15:00:34","RonWyden","This Monday @MartinHeinrich &amp; I will answer your questions on the needless proposal to allow FBI #BrowserSpying https://t.co/VHMEprYVdK","BrowserSpying"
"2016-07-08 ","13:50:25","RonWyden","Heartbreaking news from Dallas. Grieving with you this morning.",
"2016-07-08 ","01:33:44","RonWyden","Sad truth is recent police shootings again show how far America has to go on equal justice for African-Americans &amp; all communities of color.",
"2016-07-07 ","00:34:05","RonWyden",".@theNAMedicine drops opioid panel members with troubling big pharma ties. I called for a closer look yesterday https://t.co/NCSkUhEswi",
"2016-06-13 ","22:16:10","RonWyden","Moment of silence w/LGBT &amp; Muslim Congressional staff associations on Capitol steps. Standing united against hate. https://t.co/Vdk3tlAnGL",
"2016-06-12 ","21:53:59","RonWyden","No doubt the heroes of the Gorge oil train crash were the first responders I was honored to meet today in Mosier. https://t.co/ymZVVXsuxN",
"2016-06-12 ","18:42:20","RonWyden","These mass shootings are taking place like deadly clockwork. Congress must take responsible steps to improve the safety of our communities.",
"2016-06-12 ","18:41:41","RonWyden","Another horrific act of senseless violence. Prayers with the victims, families, LGBT community, &amp; first responders.",
