"Date","Time","screen_name","text","hashtags"
"2009-11-30 ","22:37:01","SenArlenSpecter","Cong. @JoeSestak keeps missing the mark on his Navy firing. http://bit.ly/70NEqm",
"2009-11-30 ","17:37:56","SenArlenSpecter","I worked in the Senate to develop Philly's port, and I will battle in the courtroom if needed. http://bit.ly/8DQTuK",
"2009-11-06 ","16:54:43","SenArlenSpecter","I believe the American people have the right to observe the Supreme Court’s proceedings. http://bit.ly/3STQ22",
"2009-11-05 ","16:08:26","SenArlenSpecter","I look forward to working with you to pass this bill. RT @RepowerPA Thank you Sen. Specter for voting for clean energy. http://bit.ly/gi8Fl",
"2009-11-05 ","00:51:22","SenArlenSpecter","It's unfortunate that relief was delayed by Republican-led tactics for over a month, during which 200,000 Americans saw benefits expire.",
"2009-11-05 ","00:24:43","SenArlenSpecter","I'm very pleased at the passage of the Unemployment Insurance Extension today.",
"2009-11-05 ","00:24:11","SenArlenSpecter","As we work to recover our economy, we must continue to help out-of-work families.",
"2009-03-29 ","19:48:24","SenArlenSpecter","Great op ed in the Chambersburg PO: http://tinyurl.com/d4dp52 ""We could use more moderates on both sides of the aisle.""",
"2016-07-17 ","21:08:20","SenToomey","We owe the men and women in blue our gratitude and support everyday. They need our prayers. #BatonRouge","BatonRouge"
"2016-07-17 ","21:07:46","SenToomey","Kris &amp; I are heartsick to learn of yet another attack on law enforcement, this time the murder of police officers in #BatonRouge. 1/2","BatonRouge"
"2016-07-08 ","15:27:22","SenToomey","The disgusting attack in #Dallas has no possible justification. https://t.co/NFKZdyh5WQ","Dallas"
"2016-06-13 ","19:27:42","SenToomey","Heartbreaking to learn a young Pennsylvanian was among the victims in Orlando. Kris &amp; I are praying for her family. https://t.co/TLNyi32x5L",
"2016-06-13 ","18:23:31","SenToomey","My Scranton staff stopped by @AlexsLemonade stand. Kayla raised over $5000 in the last 4 years for @AlexsLemonade. https://t.co/vLknTfvdLZ",
"2016-06-13 ","02:49:23","SenToomey","Congratulations to the @penguins! The 2016 Stanley Cup Champions! #StanleyCup","StanleyCup"
"2016-06-13 ","00:02:20","SenToomey","Best of Luck to the @penguins! Hoping they can bring the Cup back to PA! #LetsGoPens #StanleyCupFinal","LetsGoPens StanleyCupFinal"
"2016-06-12 ","13:07:44","SenToomey","I extend my condolences to the family &amp; friends of those killed &amp; am praying for the wounded who are undergoing medical treatment.",
"2016-06-12 ","13:06:45","SenToomey","Law enforcement officials are investigating this shooting as an act of terrorism &amp; it appears to have taken many lives. 2/3",
"2016-06-12 ","13:05:52","SenToomey","My heart goes out to the loved ones of those murdered at the nightclub in Orlando this morning. 1/3",
"2016-02-25 ","22:06:34","SenToomey","#Bipartisanship https://t.co/KcLfMOqlQ5","Bipartisanship"
"2016-02-25 ","19:57:28","SenToomey","On the 3rd anniversary of Eric William' death, I'm looking forward to @POTUS signing this bipartisan bill into law: https://t.co/fECna6aoN1",
"2016-02-25 ","18:05:24","SenToomey","Today I met Cadet Colonel Nicholas Basile - he's heading to @WestPoint_USMA in the fall. Was proud to nominate him! https://t.co/3ULNcuzfqZ",
"2016-02-25 ","16:16:30","SenToomey","I think I can help with 2 Down in today's @NYTimesWordplay. (Not 24 Across...) cc: @nytimes https://t.co/49R8hEE6y8",
"2015-12-03 ","22:29:12","SenToomey","I supported it in 2013 and I supported it today. Read my full statement on legislation to help keep Americans safer: https://t.co/9mkclA50ZW",
"2015-12-02 ","22:38:03","SenToomey","We are grateful for the first responders working to provide safety in the area.",
"2015-12-02 ","22:37:48","SenToomey","Kris and I pray for the victims of, and all affected by, today’s shooting in #SanBernardino.","SanBernardino"
"2015-12-02 ","15:05:27","SenToomey","Last night I hosted my 24th tele town hall of 2015. Looking forward to connecting with more Pennsylvanians soon! https://t.co/mHKhC6c9Rq",
"2015-11-28 ","17:14:50","SenToomey","It's #SmallBizSaturday! Check out your local Main Street and support small businesses!","SmallBizSaturday"
"2015-10-01 ","12:37:11","SenToomey","Why is @POTUS threatening to veto a bill to provide justice to victims of Iranian terrorism? http://t.co/xuoIcGbUyV",
"2015-10-01 ","12:28:48","SenToomey",".@SenatorSessions and I are calling for stiffer penalties for those who target police officers. #thinblueline  http://t.co/g34idM1azC","thinblueline"
"2015-07-17 ","14:55:46","SenToomey","I voted in support of the Every Child Achieves Act. My full statement: http://t.co/LuYlanoWYf http://t.co/zJF9sMJglJ",
"2015-07-16 ","20:31:44","SenToomey","Kris &amp; I are deeply saddened by the cowardly murder of 4 @USMC in TN. All those affected by this tragedy are in our thoughts. #Chattanooga","Chattanooga"
"2015-07-16 ","12:21:48","SenToomey","Get well soon @GeorgeHWBush! Wishing you a speedy recovery. #41",
"2015-06-18 ","17:16:18","SenToomey","Glad the House passed #MedicalDeviceTax repeal - working here in the Senate to ensure it's passed in this chamber.","MedicalDeviceTax"
"2015-06-18 ","16:06:45","SenToomey","Congratulations to the Pennsylvania @JeffersonAwards winners! Thank you for your commitment to public service. http://t.co/fNcV2T0VzV",
"2015-06-18 ","12:33:42","SenToomey","My son, Duncan, busting a move at the @WhiteHouse Congressional Picnic last night. http://t.co/RUEAyUvN5B",
"2015-06-18 ","11:18:11","SenToomey","#CharlestonShooting is a terrible tragedy. Strong community and leaders will guide the city through this. All impacted are in my thoughts.","CharlestonShooting"
"2015-06-17 ","18:00:41","SenToomey","""Is your job similar to @HouseofCards?"" No. Not at all. http://t.co/I7j3y2ax2L",
"2015-06-17 ","15:19:09","SenToomey","June 17, 1885: Statue of Liberty arrives in NYC. It was displayed in Paris and #Philly before arriving in NYC. http://t.co/aOVa08tUip","Philly"
"2015-06-12 ","12:56:13","SenToomey","28 years ago, Tear Down This Wall. https://t.co/77JOt4LYtI #Reagan","Reagan"
"2015-06-11 ","21:33:46","SenToomey","I hope that we, as a nation, will stop scapegoating law enforcement, and start thanking them.
https://t.co/KY25UhLABt",
"2015-06-11 ","16:23:16","SenToomey","Proud to stand with our law enforcement officials. Thank you Jonathan for your kind words. @NationalSheriff http://t.co/njlxJLfA5h",
"2014-10-24 ","13:55:53","SenToomey","@PBT_Paul @PghBizTimes great to be there!",
"2014-10-24 ","13:52:28","SenToomey","Met with @PghBizTimes reporters yesterday. Discussed economic growth, med device #tax, &amp; my bill to protect children. http://t.co/zkru7oTMdO","tax"
"2014-05-23 ","18:44:49","SenToomey","Great visit with @mikepintekKDKA in the studio today! http://t.co/m40851P02H",
"2014-05-23 ","18:38:13","SenToomey","With Kristen Bires, education &amp; outreach manager with @AlzGPA. Thanks for the great work you do! #BurghProud #ENDALZ http://t.co/esLT4xXz0K","BurghProud ENDALZ"
"2014-05-23 ","18:37:16","SenToomey","Kris and I are praying for the families in Elk County who were affected by this week’s severe storms and extensive flooding",
"2014-04-04 ","20:16:58","SenToomey","Happy Friday PA! You made it! Here's your weekly update: http://t.co/forptU5GEF. For inbox delivery, see: http://t.co/HLlFweRJnF. Thanks!",
"2014-04-04 ","18:11:40","SenToomey","Everybody wants clean water. This @EPA regulation has nothing to do with it and is, in fact, a ridiculous power grab: http://t.co/Chnb6SF2Tg",
"2014-04-04 ","14:58:59","SenToomey","Since Jan 1, 121 school employees have been arrested for sexual misconduct with children. That's more than 1 per day. http://t.co/mmCGlkdOhg",
"2014-04-04 ","14:15:51","SenToomey","Power grab...#EPA
http://t.co/RKIUFDqSti","EPA"
"2014-04-03 ","15:17:22","SenToomey","RT @penn_state: The U.S. Senate passed @SenBobCasey &amp; @SenToomey's resolution recognizing 4-time National Champion @pennstateWREST:...",
"2014-04-03 ","13:37:30","SenToomey","Was glad to work across the aisle on the JOBS act. It’s working.  http://t.co/BFnE4519Qo",
"2014-02-21 ","21:34:32","SenToomey","Happy Friday Pennsylvania! Here's your weekly update: http://t.co/4sfv4SDzMP. To sign up, see http://t.co/nNZ0ht9rnp. Thanks for reading!",
"2014-02-21 ","21:19:43","SenToomey","Just updated @DrewSpeier on my work to protect kids from child predators. Tune in tonight at 5 to learn more http://t.co/L7PUqaYTUv @WBRETV",
"2014-02-20 ","19:53:22","SenToomey","Toured Philly's IBEW Local 98 training facility to learn how we can better prepare PA workers for today's economy: http://t.co/rnQNYKLMIg",
"2014-02-20 ","15:32:39","SenToomey","Meetings in SEPA today re: fixes for confusing fed. job training programs. Congress &amp; President want to work on this. http://t.co/Fdx6FpYLHb",
"2013-09-17 ","19:44:16","SenToomey","Throughout PA, caregivers provide 760 million hours of unpaid care to people suffering w/ Alzheimer's. Their work is valued at $9B #ENDALZ","ENDALZ"
"2013-09-17 ","18:36:53","SenToomey","RT @pachamber: @SenToomey backing legislation to delay #Obamacare. We support any delay of the mandate #healthcare http://t.co/UKJgpuWvBA","Obamacare healthcare"
"2013-09-17 ","18:15:44","SenToomey","Residentes de Pensilvania me dicen que están preocupados por los empleos: http://t.co/5qOjDvGln5",
"2013-09-17 ","17:42:54","SenToomey","September is World Alzheimer's Awareness Month. In PA, as many as 400,000 are likely afflicted. Let's end the stigma #ENDALZ @Alz_PA_Policy","ENDALZ"
"2013-09-17 ","15:59:11","SenToomey","Courtesy of Philly's @ConstitutionCtr, the very enjoyable ""Which Founder Are You?"" quiz: http://t.co/8TFWIazkeB Happy #ConstitutionDay.","ConstitutionDay"
"2013-09-17 ","15:27:46","SenToomey","Onerous #ObamaCare mandates force employers to slash hours for workers &amp; limit full-time job opps. I urge repeal: http://t.co/Dg8HldUjiR","ObamaCare"
"2013-09-17 ","15:01:26","SenToomey","Sept 17, 1862: the Battle of Antietam, the bloodiest day in American history. Five days later, Lincoln issues the #EmancipationProclamation.","EmancipationProclamation"
"2013-09-17 ","13:26:27","SenToomey","It’s #Constitution Day. Our founders were brilliant to craft our system of limited government.  #WethePeople 
http://t.co/noGLJXAxog","Constitution WethePeople"
"2013-09-16 ","17:11:56","SenToomey","Great read on Lincoln’s trip to #Gettyburg &amp; drafting of Address http://t.co/87M7fB91do We need to preserve this site http://t.co/lajJRwR0mk","Gettyburg"
"2013-09-16 ","15:43:28","SenToomey","Thx to @SecretaryJewell for joining #Flight93 families http://t.co/UBthTxDxVq Hope she'll visit PA's nat'l parks soon http://t.co/SpGs9PRWaX","Flight93"
"2013-09-16 ","14:36:31","SenToomey","Prayers needed: for the safe evacuation of those still in the Navy Yards in DC, and for the first responders.",
"2013-09-16 ","14:02:13","SenToomey","A powerful remembrance of Philly's only Vietnam War Medal of Honor recipient: http://t.co/hUGJmc16fo Never forget the sacrifice of our vets.",
"2013-07-26 ","20:17:53","SenToomey","Great news! @GFSDelivers to build 1 of region’s largest distribution centers in Findlay Twp. Up to 300 new jobs: http://t.co/DYFbHqTPPy",
"2013-07-26 ","15:41:44","SenToomey","Are #ObamaCare allies a little like The Fonz in admitting bill is w-w-wrong? http://t.co/cGo4GwCQ6d Sue &amp; I think so http://t.co/LXLz1hooAq","ObamaCare"
"2013-07-26 ","15:06:29","SenToomey","Here we go again. Govt central planning forcing ethanol into your tank. Hikes gas prices. Hurts jobs in Delco, Philly http://t.co/KxcxXlU3aM",
"2013-07-26 ","14:31:41","SenToomey","West Pittston firefighter &amp; Afghanistan vet's fast thinking prevents catastrophe &amp; earns him Airman of the Year http://t.co/m84FdcMCFS",
"2013-07-26 ","13:47:59","SenToomey","Wonderful photos from Lehigh Valley WWII vet Bertram Winzer's long overdue Bronze Star ceremony: http://t.co/8RqXReFrqg",
"2013-07-26 ","13:20:51","SenToomey","Talking w/ @WILKNewsradio's Sue Henry at 9:30 to give an update from Washington. Hope you'll tune in! Listen live: http://t.co/OyA3bMzzdR",
"2013-06-07 ","20:09:07","SenToomey","My weekly newsletter: http://t.co/b7ERV8UvhH Want to stay connected? Sign up for it here http://t.co/l3ZNJsg4BM Have a great weekend!",
"2013-04-22 ","16:02:32","SenToomey","Happy to visit @PAAssocRealtors last week to discuss excessive gov't regulations &amp; the housing market http://t.co/sxu0PUcFSZ",
"2013-03-14 ","20:11:35","SenToomey","Unacceptable: USDA considering buying 400,000 tons of sugar in a taxpayer-funded corporate bailout. My reply: http://t.co/A9j87A5NVT",
"2013-03-13 ","19:18:25","SenToomey","I pray God will uphold the new Holy Father Francis with the strength, wisdom &amp; courage for the challenges &amp; beauty of his role #HabemusPapam","HabemusPapam"
"2013-03-13 ","18:05:33","SenToomey","Headed to Senate floor to support the Cruz amendment to #DefundObamacare","DefundObamacare"
"2013-03-13 ","15:56:22","SenToomey","@hmlibertarian It was the stellar work of the men and women of the 911th that got it done.",
"2013-03-13 ","15:07:22","SenToomey","Pittsburgh's 911th Airlift Wing will be preserved at current strength. Glad Air Force has agreed with my assessment http://t.co/XFbTxUNifU",
"2013-03-13 ","14:15:51","SenToomey","Inspiring. Thank you for your service to our country, Mr. Borrelli http://t.co/uewfcKO4EY",
