"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","20:28:33","SenJackReed","Thanks for having me &amp; congrats again on the success of Middletown High School students, teachers, parents &amp; staff! https://t.co/7YNJEtrPG2",
"2016-09-23 ","20:22:38","SenJackReed","This Sunday, Sept. 25 is #NationalLobsterDay! Whether it’s on a roll, or on a plate, be sure to celebrate! #lobstah #RIseafood https://t.co/IWuT1bycr8","NationalLobsterDay lobstah RIseafood"
"2016-09-23 ","20:10:39","SenJackReed","Congrats @BryantUniv on the new facility! A great space for creativity, collaboration, &amp; training the next gen. of innovative leaders. https://t.co/rBkgEOwE1l",
"2016-09-23 ","16:40:06","SenJackReed","The power of design is growing in the business world &amp; RI’s creative economy is poised for greater growth. Glad to be part of #DesignWeekRI. https://t.co/1972PNrn3f","DesignWeekRI"
"2016-07-18 ","17:22:03","SenJackReed","Excited to welcome #NYK's #IrisLeader to @Port_Davisville after first passage through new locks on @thepanamacanal. https://t.co/XdBBWExnIu","NYK IrisLeader"
"2016-07-18 ","14:52:51","SenJackReed","Helping #Alexion Pharmaceuticals break ground on $200M expansion of their #Smithfield plant, boosting biotech &amp; construction jobs in RI.","Alexion Smithfield"
"2016-07-18 ","00:38:01","SenJackReed","RIers who need help reaching loved ones in #Turkey may contact my office if they need assistance.","Turkey"
"2016-07-17 ","17:32:49","SenJackReed","Sickened by shooting of police officers in #BatonRouge. We must bring perpetrators to justice &amp; this violence must end.","BatonRouge"
"2016-07-08 ","16:12:48","SenJackReed","Joining @GinaRaimondo &amp; RI law enforcement, civil rights leaders, &amp; citizens today to rally for unity, peace, &amp; justice. #StopTheViolence","StopTheViolence"
"2016-06-13 ","19:17:50","SenJackReed","Lead poisoning devastates children &amp; communities. New $3.4M #HUD grant will help address lead hazards in RI: 
https://t.co/o6y0Kb2fZU","HUD"
"2016-06-13 ","18:33:10","SenJackReed","Teacher. Legislator. Community Activist. Friend. Mel Benson was all those things &amp; more. She made RI a better place &amp; will be missed by alll",
"2016-06-13 ","16:32:18","SenJackReed","New $1.2M #brownfields grant will help RI improve public health, mitigate enviro. damage &amp; create opportunities for future economic growth.","brownfields"
"2016-06-13 ","15:56:59","SenJackReed","Glad to help bring @GE_Digital jobs to our creative, dynamic capital city. Welcome to #RI!","RI"
"2016-06-12 ","17:58:32","SenJackReed","Celebrating the culture &amp; accomplishments of #RI's amazing Portuguese community on this #DayofPortugal. @DOPortugalRI","RI DayofPortugal"
"2016-06-12 ","16:36:14","SenJackReed","Our hearts break for #Orlando victims. We stand w/ the #LGBT community &amp; others to stop this horrible violence.","Orlando LGBT"
"2016-02-26 ","21:39:19","SenJackReed","Proud to present Vietnam #veteran Robert Edmands of Chepachet w/ Purple Heart he earned in combat &amp; offer our thanks https://t.co/b5S3iurXge","veteran"
"2016-02-26 ","21:02:40","SenJackReed","Appreciate @USCG leadership on maritime security &amp; safety, environmental stewardship, &amp; all they do to serve RI. https://t.co/FyZXQTmILP",
"2016-02-26 ","19:47:46","SenJackReed","Great to join @RIKidsCount &amp; https://t.co/c4wofLtYa1 to cheer increased fed. funds for RI #EarlyChildhoodEd programs https://t.co/fUDtwM2piz","EarlyChildhoodEd"
"2016-02-25 ","19:10:03","SenJackReed","#SCOTUS noms should be considered on merits. Hope GOP colleagues will reconsider &amp; fulfill their Constitutional duty https://t.co/Z2wACAH1zG","SCOTUS"
"2016-02-25 ","19:07:03","SenJackReed","The GOP's preemptive refusal to even meet w/ a #SCOTUS nominee - no matter how qualified – undermines the U.S. Constitution.","SCOTUS"
"2016-02-20 ","21:20:57","SenJackReed","Today we pause to honor those we lost &amp; those whose lives were forever changed by the tragic Station Nightclub fire. https://t.co/fHcwpqpcXl",
