"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","16:24:30","SenJohnThune","When it comes to our national security strategy, there is no room for error. https://t.co/OCyMXltDJM",
"2016-07-18 ","22:49:21","SenJohnThune","Found the high school jersey of SD great and @Huskers coach @CoachMiles on the wall of the Blue Goose in Onida. https://t.co/bxDCn8a1db",
"2016-07-18 ","22:01:42","SenJohnThune","Community health centers play an important role in our rural health care. Thanks for the tour of the Onida Clinic. https://t.co/51ZnGziJ95",
"2016-07-18 ","20:29:47","SenJohnThune","My favorite place to stop on a hot summer day in SD. Thanks to the staff at the Mobridge DQ for… https://t.co/XAvD7jmo6W",
"2016-07-18 ","20:17:41","SenJohnThune","Stopped at Shorty's One Stop in Selby. I'm heading to Onida to discuss the opportunities for rural health care. https://t.co/4TAa0sgSKb",
"2016-07-18 ","18:56:06","SenJohnThune","Today's a good day to enjoy the new aquatic center in Mobridge. Thanks to Mayor Dietterle for showing me around. https://t.co/wBd1rAYiJV",
"2016-07-18 ","18:27:33","SenJohnThune","Spending some time in Mobridge this afternoon. Enjoyed speaking with the Rotary Club at Moose Lodge over lunch. https://t.co/Tig3Lidkm0",
"2016-07-18 ","15:47:43","SenJohnThune","Our pro-security #FAA bill is now the law of the land. Big step forward in improving airport safety in our country. https://t.co/Yz5mfvsqM7","FAA"
"2016-07-08 ","12:12:15","SenJohnThune","Heartbreaking news out of Dallas. Prayers go out to the entire community. Always humbled by the bravery &amp; strength shown by law enforcement.",
"2016-07-07 ","16:22:59","SenJohnThune","I'll have staff at Laura’s Lattes in Canton at 2:15 p.m. CT for an 'outreach hour.' Feel free to drop by and chat.",
"2016-07-07 ","15:46:24","SenJohnThune","Soon I will be speaking on leadership problems at the @FCC under @TomWheelerFCC. WATCH: https://t.co/fW65jzax8d. #FCC","FCC"
"2016-07-07 ","14:38:40","SenJohnThune","No one is above the law. Cosponsored @JohnCornyn-@SenCoryGardner bill to revoke Sec. Clinton’s security clearance. https://t.co/0NeQSBH31V",
"2016-06-12 ","16:54:46","SenJohnThune","Unthinkable tragedy in Orlando. Joining entire nation in mourning the loss of so many lives. Praying for their loved ones &amp; the community.",
"2016-06-12 ","02:02:15","SenJohnThune","The Missouri River at sundown. It never gets old. https://t.co/7fRAD1K4yb",
"2016-02-26 ","20:58:36","SenJohnThune","Just finished chatting with students at Harrisburg North Middle School, including these student government leaders. https://t.co/B7Ws56DKq8",
"2016-02-26 ","20:32:29","SenJohnThune","Had a great visit w/ @SFRotaryWest members today. Good discussion about all the big things happening in Washington. https://t.co/30iyCcxWvx",
"2016-02-26 ","18:19:56","SenJohnThune","Check out today’s column to learn more about a new law that's a big win for consumers, producers, and innovators. https://t.co/oyZWiyiyZN",
