"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","20:01:00","SenBobCorker","WATCH: Proud to join @ChrisCoons in support of @GlblCtznImpact. Learn more about our #FoodAid reform efforts: https://t.co/vgbhOhJynF https://t.co/UHaYGXtOZO","FoodAid"
"2016-09-23 ","18:02:40","SenBobCorker","Students across Tennessee have celebrated #ConstitutionWeek at events sponsored by our office. More photos: https://t.co/rUwg2pbEiP https://t.co/vAh8Sz0myw","ConstitutionWeek"
"2016-09-23 ","13:48:30","SenBobCorker","#Russia has known all along that there was nothing to back up empty words from the United States. https://t.co/jND1WHYouU #SyriaCeasefire","Russia SyriaCeasefire"
"2016-09-23 ","13:48:07","SenBobCorker","I am saddened for the people of #Syria after the apparent collapse of the ceasefire. My full statement: https://t.co/irO9l1AQjW","Syria"
"2016-07-08 ","12:24:30","SenBobCorker","We mourn the innocent lives lost, pray for the injured, and thank the brave law enforcement officers who risk their lives to keep us safe.",
"2016-07-08 ","12:23:47","SenBobCorker","Our country has been shaken by senseless violence this week, and I am horrified by the tragedy that unfolded overnight in Dallas.",
"2016-07-07 ","19:40:03","SenBobCorker","My opening statement at today’s #SFRC hearing on how to make U.S. economic assistance more effective: https://t.co/pIo3cii9O0","SFRC"
"2016-07-07 ","17:51:24","SenBobCorker","TUNE IN: #SFRC hearing today at 2:15 p.m. ET to assess the effectiveness of U.S. international economic assistance. https://t.co/Sh8qVfs4c1","SFRC"
"2016-07-07 ","14:55:22","SenBobCorker","The House joined the Senate in making progress toward fixing inefficiency in #FoodAid. My statement with @ChrisCoons https://t.co/H8PHslmqLc","FoodAid"
"2016-06-13 ","00:56:23","SenBobCorker","Appreciate the Christians, Muslims and leaders of all faiths who have stepped forward to condemn the tragic terrorist attack in Orlando.",
"2016-06-12 ","16:12:49","SenBobCorker","Deeply saddened to learn of the passing of George Voinovich, who I spoke with just last week. My full statement: https://t.co/VlGQiIIcfW",
"2016-06-12 ","15:52:54","SenBobCorker","Saddened by the tragedy that occurred overnight in Orlando. Praying for the victims, their families, and our dedicated first responders.",
