"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","17:50:26","kaybaileyhutch","Kudos to @evanasmith for great #TTF @TexasTribune panel on state of politics 2016 @alexwagner @GovEdRendell @GovRichardson @statesman @CNBC https://t.co/4fBQz2rrEO","TTF"
"2016-09-24 ","16:18:11","kaybaileyhutch","Great being with @alexwagner @nbc  @TexasTribune #TTF https://t.co/FiJHCb0Hbg","TTF"
"2016-09-24 ","12:50:08","kaybaileyhutch","Big weekend for @TexasTribune in Austin! Lots of interesting discussions on state and national issues ! @statesman",
"2016-09-24 ","04:12:29","kaybaileyhutch","Thanks @Oakland @Athletics for the celebrations honoring @Rangers big win tonight! Class Act! @dallasnews @star-telegram @NBCDFW @FOXSports",
"2016-09-24 ","04:09:21","kaybaileyhutch","Great night for @Bannyrooster28 ! A game changer! @Rangers @dallasnews @star-telegram",
"2016-09-24 ","03:57:08","kaybaileyhutch","@Rangers did it! American League West champs! On to AL playoffs! Fun times !! @dallasnews @startelegram @FOXSports @NBCDFW @CityOfArlington",
"2016-09-23 ","20:49:25","kaybaileyhutch","Go @Rangers ! Clinch the American League Western Division tonight in Oakland! @dallasnews @FtWorthNews @NBCDFW @CityOfArlington",
"2016-07-17 ","04:04:51","kaybaileyhutch","ESD students and moms helping @DallasCASA @NorthParkCenter ! Donations for a chance to win a great playhouse July 31 https://t.co/oGnLoDoAUh",
"2016-07-08 ","13:12:32","kaybaileyhutch","Dallas is somber today mourning the 5 dead and 7 injured police officers.they were doing their jobs ,protecting all our citizens.",
"2016-07-08 ","03:40:18","kaybaileyhutch","Sad night in Dallas tonight..10 police and DART officers shot downtown ..reporting 3 have died. We mourn as they are seArching for shooters.",
"2016-06-13 ","22:57:50","kaybaileyhutch","Good to see my former colleague @SenJohnMcCain,defense and security leader..@cnbc @NBCDFW @dallasnews @GOP @TexasGOP https://t.co/NDtbqLSLuA",
"2016-06-13 ","19:55:13","kaybaileyhutch","Selfie with @BNSFRailway Matt Rose @SenJohnMcCain and the 43rd President @TheBushCenter ! https://t.co/5qAZhTvqv1",
"2016-02-26 ","19:51:01","kaybaileyhutch","Great being on @CNBC @PowerLunch  discussing this topsy turvy ekection year! @MSNBC @TexasTribune @NBCNews @NBCDFW https://t.co/SwTMEZCNUm",
