"Date","Time","screen_name","text","hashtags"
"2013-09-16 ","22:49:30","OrrinHatch","Elaine and I extend our thoughts and prayers to all those affected by today's tragic act of violence at the Navy Yard. Just senseless.",
"2013-04-22 ","00:12:34","OrrinHatch","Very sad to learn of Earl Holder's passing. Earl was a great friend and a tremendous business and community leader. He'll be missed.",
"2013-03-13 ","22:49:34","OrrinHatch","I wish His Holiness Pope Francis much strength and conviction as the next spiritual leader of the Catholic Church.",
"2012-09-28 ","21:06:55","OrrinHatch","I was proud to receive the endorsement of the #NRA this week. #utpol  http://t.co/lpyYxuy1","NRA utpol"
"2012-07-20 ","14:43:46","OrrinHatch","Elaine and I extend our deepest condolences and heartfelt prayers to all those affected by this senseless act of violence in CO. #utpol","utpol"
"2012-05-21 ","23:07:38","OrrinHatch","I appreciated this Letter to the Editor in @desnews ""Sen. Orrin Hatch is a leader"" http://t.co/ESzbIX99 #utpol","utpol"
"2012-05-21 ","20:07:11","OrrinHatch","These tax credits are confusing, expensive, and burdensome to claim- this goes to the heart of what’s wrong with ObamaCare. #utpol #tcot","utpol tcot"
"2012-05-21 ","19:56:51","OrrinHatch","The GAO released a report showing that few small businesses are taking advantage of tax credits included in Obamacare. #utpol #tcot","utpol tcot"
"2012-05-21 ","17:19:56","OrrinHatch","Thank you! RT @michaelalanb
Please join me in supporting @OrrinHatch. It's Utah's time to lead! http://t.co/igqZ6GvM #UTsen #utpol","UTsen utpol"
"2012-05-21 ","17:14:12","OrrinHatch","ICYMI: Utah Dietary Supplement Leaders Stand With Orrin http://t.co/pjMo0iGX #utpol","utpol"
"2012-04-03 ","21:04:20","OrrinHatch","86 State Delegates at our event in Farmington. It's an honor and a pleasure to meet with them. #utpol http://t.co/ZX4NKLQC","utpol"
"2012-04-03 ","18:06:53","OrrinHatch","President Obama needs to understand that Judicial activism or restraint is not measured by which side wins but by... http://t.co/vxhyJBOA",
"2012-04-03 ","00:55:01","OrrinHatch","It must be nice living in a fantasy world where every law you like is constitutional and every (more.. https://t.co/WWfigi4D )",
"2012-04-02 ","19:12:05","OrrinHatch","Over 60 delegates in South Jordan today. Great questions and great people. #utpol http://t.co/LGGkHH4W","utpol"
"2012-02-22 ","18:36:10","OrrinHatch","The Hatch campaign has some of the best volunteers in the state! Join the team. http://t.co/fuZDrAPJ #utpol","utpol"
"2011-10-13 ","22:01:17","OrrinHatch","If you are a Utah resident, be sure you are registered to vote. Click here to register online. http://t.co/fjqtn8Is #utpol","utpol"
"2011-10-13 ","15:59:21","OrrinHatch","@MichaelCromer You can read more about the Free Trade Agreements here http://t.co/jjydtkGb POTUS has even said that it will create jobs",
"2011-10-13 ","15:49:40","OrrinHatch","Voted for the Free Trade Agreements last night. Congress passed all 3! Which means hundreds of thousands of jobs for Americans. #fta #jobs","fta jobs"
"2011-10-13 ","15:27:13","OrrinHatch","Thanks to my friends at http://t.co/TyuW2trT for fighting to protect wildlife in the west and across America. #utah","utah"
"2011-10-12 ","20:45:40","OrrinHatch","It was an honor to meet with the brave local soldiers who just returned from Afghanistan today. Thankful for their service to our country.",
"2011-10-12 ","19:46:40","OrrinHatch","I will be submitting a deficit reduction plan to the supercmte at the end of this week. Thanks to all who sent in their ideas! #utpol #tcot","utpol tcot"
"2011-10-12 ","15:42:37","OrrinHatch","On Fox this morning, I was asked about my faith. Im a proud member of the Church of Jesus Christ of Latter-day Saints. http://t.co/j65zosMJ",
"2011-10-12 ","00:58:28","OrrinHatch","@RalphShoop I actually already have introduced my plan for creating jobs- you can read it here http://t.co/XHLaiSXr",
"2011-10-12 ","00:53:24","OrrinHatch","Voted against the President's jobs plan tonight. We shouldn't be spending more of your money, we should be cutting spending to create jobs.",
"2011-09-07 ","21:58:12","OrrinHatch","I call on the President to put our economy & our workers before politics by sending up these agreements so they can pass Congress.",
"2011-09-07 ","21:54:47","OrrinHatch","Trade agreements with So.Korea, Columbia, and Panama would be a boon to our economy to the tune of $12 B.",
"2011-09-07 ","17:45:52","OrrinHatch","Its a great honor to receive an endorsement from @SteveForbesCEO-one of our country’s most respected names in economic policy. #utpol #tcot","utpol tcot"
"2011-09-06 ","22:14:31","OrrinHatch","If you are interested in becoming a state delegate- please sign up by clicking this link. http://t.co/RB8Unmv Thanks! #utpol","utpol"
"2011-09-06 ","17:55:54","OrrinHatch","@MittRomney proposed plan is a bold step forward in turning around the US economy, reining in spending, & creating jobs. #tcot #utpol","tcot utpol"
"2011-09-06 ","15:44:18","OrrinHatch","With our debt at $14 T why are we giving tax credits to unauthorized workers? http://t.co/wXhtqsp #utpol #tcot","utpol tcot"
"2011-01-08 ","22:22:04","OrrinHatch","I join every Utahn and American in condemning this senseless and brutal act of violence in Tuscon. My wife, staff and I send our prayers.",
"2010-08-04 ","16:55:12","OrrinHatch","I believe the evidence shows that Kagan embraces an essentially activist view of judicial power. VIDEO: http://bit.ly/d6cBeF #utpol #scotus","utpol scotus"
"2010-08-04 ","16:25:04","OrrinHatch","Spoke on the Senate floor yesterday and outlined his reasons I plan to vote against confirming Elena Kagan. #utpol #scotus","utpol scotus"
"2009-11-05 ","21:36:55","OrrinHatch","Here's Dr Koop's letter to Speaker Pelosi and @SenatorReid: http://bit.ly/2o4Aev #tcot #utpol","tcot utpol"
"2009-11-05 ","21:36:24","OrrinHatch","I remain committed to doing all that I can to ensure that it does & call on Dems to include strong legislative language on these matters.",
"2009-11-05 ","21:35:45","OrrinHatch","As Dr Koop points out, health care legislation must be consistent with current laws with respect to abortion and conscience protections.",
