"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","19:02:18","MarkWarner","Taking a quick break at the Festival of India https://t.co/V6nPaqbBnp",
"2016-09-24 ","18:18:08","MarkWarner","Stopping by @PPact booth @va_pride. Thanks for all you do! #MenForChoice #standwithPP https://t.co/fbVCIDFEOL","MenForChoice standwithPP"
"2016-09-24 ","16:21:04","MarkWarner","Joining nearly 1,000 women for the @VaWomensConf #VAWC16 https://t.co/5dVy6NNZoN","VAWC16"
"2016-09-24 ","02:09:20","MarkWarner","Congrats! https://t.co/ohtZBjFBip",
"2016-09-23 ","16:30:52","MarkWarner","Congrats @NovaAccess for being 1 of 6 national centers to be designated by @NASA as a #cyber hub #NoVa","cyber NoVa"
"2016-07-18 ","14:52:40","MarkWarner","Productive mtg @ValleyHealth w/health professionals &amp; law enforcement who are working to end opioid abuse. https://t.co/9bGM8SxsgO",
"2016-07-17 ","21:49:51","MarkWarner","Horrified by the attack in #BatonRouge. This has to stop.","BatonRouge"
"2016-07-17 ","21:02:59","MarkWarner","✅ checked out downtown Winchester. ✅ met some nice small business owners. ✅ bought hiking boots. #shopsmall https://t.co/8hq8qdZg0e","shopsmall"
"2016-07-17 ","18:42:25","MarkWarner","Good Q's on bipartisanship, student debt, infrastructure at town hall meeting @WdstkBrewhouse https://t.co/RgRH6dmr94",
"2016-07-17 ","16:55:00","MarkWarner","Stopped by @mimslyninnva to meet with community leaders over brunch. Love the ice sculpture! https://t.co/SkZHMnzjbn",
"2016-07-08 ","15:13:36","MarkWarner","On the attacks of police officers in #Dallas: https://t.co/SUc7bLtoKb","Dallas"
"2016-07-07 ","22:26:30","MarkWarner","Las vidas de mujeres y niños migrantes están en juego. Debemos actuar. https://t.co/4ey9RXECb9",
"2016-07-07 ","22:25:47","MarkWarner","We must address this crisis &amp; prevent more migrant lives from being senselessly lost at our southern border. https://t.co/4ey9RXECb9",
"2016-07-07 ","22:09:40","MarkWarner","Remember these? #TBT  https://t.co/AX1RFk8CNR","TBT"
"2016-07-07 ","21:06:19","MarkWarner","On the shooting deaths of #AltonSterling and #PhilandoCastile: https://t.co/4Ff8Z5hdX0","AltonSterling PhilandoCastile"
"2016-07-07 ","16:49:40","MarkWarner",".@timkaine &amp; I welcomed @boyscouts @girlscouts &amp; @RoyalRangersUSA from across Va. to the Capitol today. https://t.co/6DVP7EM9YL",
"2016-07-07 ","12:05:10","MarkWarner","If you're in Charlottesville, I'll be checking in with @NewsRadioWINA at 8:15am. Or you can listen online: https://t.co/N1RZlFmtIb",
"2016-06-12 ","15:00:35","MarkWarner","Pls offer prayers for victims &amp; support for first responders, LGBT community in Orlando.",
"2016-02-26 ","19:32:32","MarkWarner","Happy birthday @TimKaine. It’s a privilege to serve Virginia w/ my best friend of 35 years! https://t.co/RZcOrEIEZL https://t.co/bPpFSo4LKL",
"2016-02-26 ","18:01:23","MarkWarner","About to go live on @CNBC's @PowerLunch to talk #encryption,  #privacy and #digitalsecurity. Not #Trump #Christie","encryption privacy digitalsecurity Trump Christie"
"2016-02-25 ","19:51:23","MarkWarner","We can’t allow politics to shut down the Court until Jan17. To my GOP colleagues: #DoYourJob https://t.co/rTydeY7R8F https://t.co/fbAWxvGThv","DoYourJob"
"2016-02-25 ","17:01:04","MarkWarner","At noon, @SenateDems will gather on steps of #SCOTUS to urge the GOP to quit playing politics &amp; #DoYourJob. Watch: https://t.co/MOvuZph78r","SCOTUS DoYourJob"
"2016-02-25 ","15:37:23","MarkWarner","Enjoyed talking to @nprAudie w/ @RepMcCaul on our digital security commission. Listen here: https://t.co/OQpr7NmznY https://t.co/lz0qPTHedP",
"2015-12-03 ","16:13:20","MarkWarner","Great to see so many veterans at our annual Veterans Commonwealth Coffee. Thank you for your continued service. https://t.co/mDyDphgg6k",
"2015-12-02 ","19:53:00","MarkWarner","I support the bipartisan effort to #SavePerkinsNow. RT if you agree: https://t.co/XqrGDWJnSk","SavePerkinsNow"
"2015-12-02 ","18:42:25","MarkWarner","1 in 5 women will rely on a @PPFA health center for care. #StandWithPP https://t.co/1NTt8SkTcq","StandWithPP"
"2015-12-02 ","11:43:00","MarkWarner","Thank you @NovaRegion for collecting blankets &amp; coats to help refugees during winter. More info on how to help: https://t.co/5Vnq4CbciS",
"2015-11-28 ","12:52:53","MarkWarner","#Shopsmall &amp; support your local community this holiday season https://t.co/CTJldpSd1u","Shopsmall"
"2015-11-01 ","20:01:27","MarkWarner","Congrats Frank Beamer on a legendary career. Thanks for everything you've done for #HokieNation &amp; Blacksburg. https://t.co/y7DJtzAweL","HokieNation"
"2015-10-31 ","21:43:29","MarkWarner","#trickortreat https://t.co/X5Z8GU0J6F","trickortreat"
"2015-10-31 ","21:10:56","MarkWarner","Putting the finishing touches on the #Halloween decor #trickortreat #HappyHalloween! https://t.co/k5GdQdtlqW","Halloween trickortreat HappyHalloween"
"2015-10-02 ","20:55:38","MarkWarner","Thank you @arneduncan for your many years of service. We’ve seen real change &amp; I hope Congress continues your efforts to improve education.",
"2015-10-01 ","20:42:49","MarkWarner","Great chatting with folks at #TAPCON! https://t.co/I07axyzwnx","TAPCON"
"2015-10-01 ","17:15:47","MarkWarner","Joined @SenatorCardin &amp; 7 colleagues today to introduce legislation to improve oversight of #IranDeal &amp; strengthen U.S. policy toward Iran","IranDeal"
"2015-10-01 ","13:44:55","MarkWarner",".@GovernorVA has declared a state of emergency as Va. prepares for dangerous weather. Follow @VDEM for storm updates &amp; safety tips.",
"2015-07-17 ","19:36:36","MarkWarner",".@nationaljournal: “#sharingeconomy is bldg its 21st century technological breakthrus in a 19th century social model” http://t.co/NvI2wCyIW4","sharingeconomy"
"2015-07-17 ","17:36:31","MarkWarner","This is a big win for Virginia's #UAS test site. Huge possibilities for this technology. http://t.co/wKn6Z6LF9g http://t.co/PMXdGSJsQY","UAS"
"2015-07-17 ","16:26:22","MarkWarner","Great read in the @washingtonpost on my “Go to High School, Go to College"" Act to help more young ppl afford college http://t.co/XIE7uRNEwo",
"2015-07-17 ","15:44:19","MarkWarner","Thank you to 100s of volunteers, dentists, doctors &amp; nurses at @ramusaorg providing health care in Wise this weekend http://t.co/YrYa3PSET8",
"2015-07-16 ","21:15:01","MarkWarner","Incredibly saddened and outraged by the attack in #Chattanooga today. Heart goes out to the victims’ families. #SemperFi","Chattanooga SemperFi"
"2015-07-16 ","20:01:20","MarkWarner","Plsd Senate voted to reauthorize #ESEA with my efficiency amendment which will direct more $ into the classroom http://t.co/sTaPKOIwMh","ESEA"
"2015-07-16 ","18:10:00","MarkWarner","Proud to accept @NPCA ’s Friend of the National Parks Award #ParkChamp http://t.co/e9XOHzLVPJ https://t.co/nFQfeTchQG http://t.co/nOWnvffktW","ParkChamp"
"2015-06-18 ","18:31:15","MarkWarner","#ExIm helps U.S. businesses compete w/China &amp; Germany. Why would we unilaterally disarm?http://t.co/LPIh20986e http://t.co/UFmQ5fUKWt","ExIm"
"2015-06-18 ","16:30:09","MarkWarner","We need more data on the #sharingeconomy to find practical solutions to keep up with this growing workforce  https://t.co/utQJsJKffE","sharingeconomy"
"2015-06-18 ","15:13:11","MarkWarner","Intro'd legislation with @RoyBlunt to save taxpayers billions by consolidating underused federal property: http://t.co/35vcDTfzVK",
"2015-06-18 ","13:32:48","MarkWarner","Heartbreak over events @CityCharleston: praying for victims, injured &amp; their families, support for first responders &amp; my friend Mayor Riley",
"2015-06-17 ","21:45:45","MarkWarner","I’m leading a bipartisan effort to rebuild our nation’s infrastructure w/ @RoyBlunt. Learn more here: http://t.co/kMpIE2Ku69 #BRIDGEAct","BRIDGEAct"
"2015-06-17 ","17:11:45","MarkWarner","This is why federal policymakers need to reexamine the 20th century employment classifications #Uber #sharing  https://t.co/rugdd0Z9Mq","Uber sharing"
"2015-06-17 ","16:08:34","MarkWarner","#WMATA needs to work together, with a sense of urgency, to institute real change across the system. https://t.co/vHzZuOkDuN","WMATA"
"2015-06-17 ","14:21:28","MarkWarner","Great piece in @usnews: “One significant – and bipartisan – development that could improve the lives of students” http://t.co/SrHvA2QZ40",
"2015-06-12 ","20:14:54","MarkWarner","Today Va. &amp; Md. Sens. called on @USOPM to do more to protect federal employees whose personal info was compromised http://t.co/2R9zsNmBiq",
"2015-06-11 ","21:59:20","MarkWarner","Great piece from @Sara_Horowitz RT: ""Why Policy Makers Need to Pay Attention to the Freelance Movement"" @FastCompany: http://t.co/UpdNehugmr",
"2015-06-11 ","21:32:59","MarkWarner","Bipartisan Virginia delegation met today w/ @DeptVetAffairs Sec. McDonald to discuss improving vet access to care http://t.co/m6PqBaFEUk",
"2015-06-11 ","14:49:41","MarkWarner","Congrats to Va.’s future US Service Academy students whose commitment to serve is an inspiration to @timkaine &amp; me http://t.co/mxMsqbgCIo",
"2016-09-24 ","18:53:46","timkaine","Simply put, ""[Hillary] deserves America’s support because she is the overwhelmingly better candidate."" —@LAtimes https://t.co/ELS1znJA1X",
"2016-09-24 ","15:47:26","timkaine","When @Pontifex visited Congress a year ago, he encouraged us to lead with compassion. https://t.co/S41Ffqbic5",
"2016-09-23 ","22:35:31","timkaine","I wouldn't tolerate anyone talking to my daughter like that, and she wouldn't either. https://t.co/ZExu0ZacWS",
"2016-09-23 ","20:08:04","timkaine","Proud to be on the ticket with an “experienced, thoughtful and deeply knowledgeable public servant."" https://t.co/ELS1znJA1X",
"2016-09-23 ","17:02:06","timkaine","There's a lot more we need to do to expand opportunity for people with disabilities. https://t.co/e0Vn3l3EI4",
"2016-07-17 ","22:28:32","timkaine","Deeply troubled that it is so easy for people to obtain the murderous weaponry to carry out cold-blooded attacks like in Baton Rouge",
"2016-07-17 ","22:28:11","timkaine","Heart goes out to police everywhere &amp; their families who worry when they leave for a daily shift about whether they will come home safely",
"2016-07-17 ","22:27:16","timkaine","Shooting today in Baton Rouge is an absolute atrocity. All must condemn it",
"2016-07-17 ","17:41:29","timkaine","Horrified by the news in Baton Rouge this morning. No justification for these senseless acts of hateful violence.",
"2016-07-08 ","21:12:29","timkaine","Condolences to @heraldcourier family after losing a carrier to an act of gun violence. Prayers are with the victim’s family &amp; wounded",
"2016-07-08 ","17:07:18","timkaine","My staff is hosting office hours across the Virginia next week to answer your questions. Find a location near you: https://t.co/nulOEkTOKB",
"2016-07-08 ","13:19:08","timkaine","Joining Americans in condemning this horrific act of senseless violence in #Dallas, mourning the loss of 5 heroes &amp; praying for the wounded","Dallas"
"2016-07-08 ","13:18:47","timkaine","Shootings in #Dallas last night were a brazen &amp; calculated attack on brave police officers doing their jobs to protect their fellow citizens","Dallas"
"2016-07-08 ","02:19:03","timkaine","My remarks on @Medium from floor speech tonight on disturbing police shootings of #AltonSterling &amp; #PhilandoCastile https://t.co/bqZdUdKwKA","AltonSterling PhilandoCastile"
"2016-07-07 ","22:01:43","timkaine","No podemos ignorar la obligación de responder a los desafíos por el aumento de los refugiados en la frontera sur https://t.co/57Drb0bPp9",
"2016-07-07 ","22:01:07","timkaine","US can no longer ignore the obligation to address challenges posed by increase in refugees at our southern border https://t.co/57Drb0bPp9",
"2016-07-07 ","21:15:07","timkaine",".@neurolosophy Agree #AltonSterling #PhilandoCastile deaths are tragic. Need to end this pattern, build trust b/t police &amp; black communities","AltonSterling PhilandoCastile"
"2016-07-07 ","15:59:30","timkaine",".@MarkWarner and I were excited to spend time with VA's @girlscouts @boyscouts &amp; @RoyalRangersUSA this morning! https://t.co/tsuU3trLOl",
"2016-06-12 ","15:57:03","timkaine","Horrific &amp; senseless tragedy in Orlando. My heart goes out to the loved ones of those lost &amp; wounded at this incredibly difficult time",
"2016-02-26 ","21:42:48","timkaine","Virginia has committed to #GoOpen to provide all students with high-quality educational resources. Learn more: https://t.co/FhIiGXxUTi","GoOpen"
"2016-02-26 ","18:41:55","timkaine","Thank you to everyone for the very kind birthday wishes today!",
"2016-02-26 ","17:54:38","timkaine","This is why I support a bill that would keep guns out of the hands of individuals subject to a restraining order https://t.co/69nPjTnwkn",
"2016-02-26 ","17:52:55","timkaine","The shooting yesterday in Hesston, Kansas underscores the need to take seriously this epidemic of gun violence #StopGunViolence","StopGunViolence"
"2016-02-26 ","17:24:43","timkaine","Joining @GerryConnolly &amp; VA delegation members supporting @aiaa's bid to host the 70th International Astronautical Congress in D.C. in 2019",
