"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","20:56:09","russfeingold","Hey Milwaukee! Early voting starts MONDAY, &amp; you can join Russ for an early vote event Monday afternoon!

RSVP here: https://t.co/YLHP3KU4ea https://t.co/cyqKpOBuKl",
"2016-09-24 ","20:47:06","russfeingold","We're proud to have the endorsement of an organization that's committed to increasing rights and opportunities for Wisconsin women. #Russ4WI https://t.co/JT1zAcfJ7A","Russ4WI"
"2016-09-24 ","17:38:17","russfeingold","Yesterday, Russ went to the Portage coordinated office to kick off an afternoon of door knocking and phone banking with fired up volunteers. https://t.co/jxYSfUgyHF",
"2016-09-24 ","15:14:09","russfeingold","""We've got to get politics out of this infrastructure issue...it should be a bipartisan issue."" https://t.co/XtTzjp72ob https://t.co/oX1Mjkc0Nz",
"2016-09-24 ","00:15:07","russfeingold","Russ is committed to fighting for the rights of working Wisconsinites and educators, and we’re honored to have @WEAC’s endorsement. #Russ4WI https://t.co/PWGfPkyv8c","Russ4WI"
"2016-09-23 ","22:47:32","russfeingold","On Wednesday, Russ spoke at a  @MTEAunion meeting about the importance of giving every child access to a quality education. #Russ4Us https://t.co/jzXVHJ9p5P","Russ4Us"
"2016-09-23 ","19:34:39","russfeingold","Yesterday in La Crosse, Russ spoke w/ chamber leaders from all around the state at the Wisconsin Chamber of Commerce Executives Conference. https://t.co/qOmCozltps",
"2016-09-23 ","16:49:33","russfeingold","✅ Increased high-speed internet access
✅ Better job training 
✅ Fairer trade
✅ #Russ4WI https://t.co/hr9KOtUpyS","Russ4WI"
"2016-09-23 ","15:07:32","russfeingold","Yesterday, Russ met w/ elected officials &amp; community leaders in La Crosse to discuss the importance of improving Wisconsin's infrastructure. https://t.co/iScns0fQzS",
"2016-07-18 ","21:41:21","russfeingold","Russ had a great time on Saturday with the We Got This MKE Project. Inspiring work from 100+ young Milwaukeeans! https://t.co/5KCA6GG5Ya",
"2016-07-18 ","19:12:56","russfeingold","""Feingold discussed issues with senior citizens regarding protecting and expanding Medicare and Social Security.” https://t.co/HjYjQ7hXe7",
"2016-07-18 ","16:14:59","russfeingold","Great ☕️ and conversation at Lox, Stock'n Bagel this morning in Green Bay. https://t.co/lNfMjDQrcu",
"2016-07-18 ","01:37:48","russfeingold","This violence has to stop. The killings of law enforcement officers in Baton Rouge were a horrific... https://t.co/cMddq8fGnJ",
"2016-07-18 ","00:46:26","russfeingold","""The financial and emotional impact of repaying student debt is contributing to a delay in purchasing a home.” https://t.co/8D6zOR936j",
"2016-07-17 ","22:15:56","russfeingold","On Tuesday, Russ visited Harry Olson Senior Center in La Crosse to talk w/ seniors about protecting Social Security. https://t.co/E98dXkS6J8",
"2016-07-17 ","19:52:20","russfeingold","""When it comes to advancing reproductive freedom, Wisconsinites couldn’t have a clearer choice this fall.” -@ilyseh https://t.co/KIIFmXDARq",
"2016-07-08 ","17:10:44","russfeingold","Read Russ's statement about the Dallas shooting here: https://t.co/WHxgTmnIDn",
"2016-07-08 ","17:09:33","russfeingold","I join all of WI to thank Dallas officer &amp; WI native Gretchen Rocha for her public service &amp; bravery. We wish her well in her recovery. -RDF",
"2016-07-07 ","22:43:03","russfeingold","Today Russ visited MKE seniors @ Clinton Rose Senior Center to discuss the importance of protecting Social Security. https://t.co/Op6N916ycC",
"2016-07-07 ","19:22:39","russfeingold","What do Wisconsin seniors think about Sen. Johnson calling Social Security a Ponzi scheme? See for yourself...
https://t.co/syw0eMiKwP",
"2016-07-07 ","17:35:24","russfeingold","""Alton Sterling and Philando Castile should be alive today. Their deaths are on all of us…” -RDF https://t.co/Ck9QokL5Ig",
