"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","23:03:06","SenCapito","Big game tonight for @HerdFB in @huntingtoncity. Let’s go #HERD! #Stampede16 #BEHERD","HERD Stampede16 BEHERD"
"2016-09-24 ","18:05:59","SenCapito","Headed in to #FedExField to cheer on @WVUfootball! This is my grandkids' first game! #WVUatFedEx16 #HailWV https://t.co/49XLBiTaR3","FedExField WVUatFedEx16 HailWV"
"2016-09-24 ","13:09:06","SenCapito","#Education &amp; #EconomicDevelopment go hand in hand in WV. Here’s why:  https://t.co/kJrzd9IPPk","Education EconomicDevelopment"
"2016-09-23 ","19:16:01","SenCapito","Do you receive my weekly recap? If not, here’s the link to sign up: https://t.co/3peS95yrSV",
"2016-09-23 ","18:35:16","SenCapito","ICYMI, here’s a look at yesterday’s Senate #Broadband Caucus meeting: https://t.co/bWciT7D1DF","Broadband"
"2016-09-23 ","18:34:51","SenCapito","Rural America is open for business and the time is NOW to connect WV. https://t.co/E9lP72etFc",
"2016-09-23 ","17:41:04","SenCapito","Before starting your weekend, check out a few highlights from the Senate: https://t.co/N4Hru267qJ",
"2016-09-23 ","17:04:02","SenCapito","My staff is hosting our 2nd Academy Day in the Eastern Panhandle tomorrow at 2PM at Spring Mills High School. Stop by! https://t.co/mxw9PPRaSv",
"2016-09-23 ","16:39:03","SenCapito","Just announced new funding from @fema for Emergency Protective Measures following #wvflood: https://t.co/g7f7aF4qQ1","wvflood"
"2016-09-23 ","16:17:50","SenCapito","ICYMI: announced new funding to help expand opportunities for our displaced miners. More here: https://t.co/IxRovbifLP",
"2016-09-23 ","13:02:05","SenCapito","This @WVLiving piece showcases the beauty &amp; history of #HarpersFerry that I saw during my small biz tour: https://t.co/kTNU3kvzm3 #gotowv https://t.co/wdwRCCyxs9","HarpersFerry gotowv"
"2016-07-18 ","20:38:05","SenCapito","Don’t miss my op-ed in @heralddispatch on how #CARA will help fight against the drug epidemic in WV. https://t.co/kiUDvorJ0n","CARA"
"2016-07-18 ","13:13:07","SenCapito",".@wvstatejournal has the details on my latest push to improve #internet access in underserved parts of rural America https://t.co/eBfRw7XgWj","internet"
"2016-07-17 ","20:21:04","SenCapito","Law enforcement officers put their lives on the line to keep us safe. My heart is with Baton Rouge &amp; the families of the officers killed.",
"2016-07-17 ","15:01:01","SenCapito","Catch up on the happenings in Washington in my newsletter here: https://t.co/hnJnoqxMUx https://t.co/bKXt11lZ0S",
"2016-07-17 ","13:34:02","SenCapito","FACT: Nearly ½ of WV households don’t have #broadband access. Learn what I’m doing to change this: https://t.co/ypZm9YNaVI","broadband"
"2016-07-08 ","20:27:51","SenCapito","Sadden by the passing of my friend Corky DeMarco-a true champion for our state. My prayers are w/ Catherine, their children &amp; grandchildren.",
"2016-07-08 ","19:56:05","SenCapito","Always fun to see folks from home. Thanks to Morgan County Commissioner Brad Close &amp; his family for stopping by. https://t.co/ZC3Hi3qSXa",
"2016-07-08 ","18:50:06","SenCapito","Have a minute? Here's a recap of my week in West Virginia and Washington https://t.co/EVnIVt3F7d",
"2016-07-08 ","18:23:06","SenCapito",".@FEMA Disaster Recovery Center now open in Lincoln Cty. at Morrisville Fire Department Substation, 2508 Straight Fork Rd. in Alkol #wvflood","wvflood"
