"Date","Time","screen_name","text","hashtags"
"2016-07-08 ","14:30:52","SenJohnBarrasso","Mourning the brave officers we lost last night. Bobbi &amp; I send our prayers &amp; heartfelt condolences to their families and the city of Dallas.",
"2016-07-07 ","22:10:47","SenJohnBarrasso",".@DSORennie Glad you got to experience what the Cowboy State has to offer. #Wyoming @TheEconomist https://t.co/OvEPZltvPB","Wyoming"
"2016-07-07 ","18:19:15","SenJohnBarrasso","Spoke on the floor earlier about how federal courts are striking down the Obama admin’s executive overreach. https://t.co/JFHIrZUZbx",
"2016-07-07 ","15:49:58","SenJohnBarrasso","I’ll head to the Senate floor at about 12:30 pm ET to talk about Pres Obama’s executive overreach. Watch it LIVE: https://t.co/GjVhp0SjtJ",
"2016-06-12 ","16:26:01","SenJohnBarrasso","Our hearts go out to Orlando today. Our deepest condolences to the victims' families and loved ones.",
"2015-12-02 ","15:00:57","SenJohnBarrasso","The American people have spoken - and they have told us to repeal the collapsing #Obamacare law &amp; start over https://t.co/ASkWmojmyB","Obamacare"
"2015-12-02 ","15:00:46","SenJohnBarrasso","This week, the Senate will vote to repeal #Obamacare.Congress can't allow this failing law to harm Americans anymore https://t.co/j3MtJL9B7g","Obamacare"
"2015-12-02 ","13:23:56","SenJohnBarrasso","Looking forward to joining @CNN ""New Day"" with @ChrisCuomo at 8:29 a.m. ET to discuss the #ParisClimateConference.","ParisClimateConference"
"2015-10-02 ","16:47:12","SenJohnBarrasso","Today in 1924, Gov. Ross died in office. His wife, Nellie, then became 1st female elected governor in US #WyoHistory http://t.co/QJf9KtPl2c","WyoHistory"
"2015-07-16 ","14:32:00","SenJohnBarrasso","Head of Obama’s Health Care Rollout to Lobby for Insurers via @nytimes http://t.co/8sR9qLyPVb",
"2015-06-17 ","20:35:25","SenJohnBarrasso","It was great to present Congressional Awards to 5 accomplished #Wyo students today @TheAward #GOLD2015 http://t.co/DrNbTJr3KC","Wyo GOLD2015"
"2015-06-17 ","18:06:51","SenJohnBarrasso","Thanks @JohnBoozman for co-sponsoring it. https://t.co/OUgqf4o4hV",
"2015-06-17 ","16:26:30","SenJohnBarrasso","Spoke on Senate floor today about the broken promises &amp; rising costs of the President’s health care law. #Obamacare https://t.co/xppljea44E","Obamacare"
"2015-06-17 ","14:39:08","SenJohnBarrasso","In Washington state, one company says its #Obamacare premiums will be 19% higher for more than 7,000 people. http://t.co/d1jutRpStv","Obamacare"
"2015-06-17 ","14:31:48","SenJohnBarrasso","I hope that @POTUS and Democrats in Congress will work with us on the reforms that the American people need, want, and deserve. #Obamacare","Obamacare"
"2015-06-17 ","14:30:49","SenJohnBarrasso","Republicans have been working on ideas to protect all Americans from the damage caused by #Obamacare.","Obamacare"
"2015-06-17 ","14:29:30","SenJohnBarrasso","Is this what @POTUS means when he says #Obamacare is working better than he anticipated? http://t.co/WPj1zTBml0","Obamacare"
"2015-06-17 ","14:25:33","SenJohnBarrasso","LIVE: ""20,000 people in Michigan are looking at the prospect of their insurance costing 38% more next yr."" #Obamacare http://t.co/rnOofbUR8B","Obamacare"
"2015-06-17 ","14:23:51","SenJohnBarrasso",".@POTUS says Obamacare “worked out better than some of us anticipated.”
But it has worked out much worse than the American people expected.",
"2015-06-17 ","14:23:26","SenJohnBarrasso","[LIVE] Speaking on the Senate floor now about how #Obamacare hurts Americans.
Watch: http://t.co/f6QsTHbLmF","Obamacare"
"2015-06-12 ","17:33:18","SenJohnBarrasso","28 yrs ago today, #Reagan demanded Gorbachev ""tear down this wall"" to advance ""freedom &amp; peace."" Our foreign policy needs such moral clarity","Reagan"
"2015-06-12 ","17:15:37","SenJohnBarrasso","On this day in 1863, Wyoming's first newspaper was published at Fort Bridger. #WyoHistory http://t.co/kGTz5ZOGOX","WyoHistory"
"2015-06-11 ","17:05:36","SenJohnBarrasso","I enjoyed taking a break from the news and reading the Garfield comic strip in the @CSTribune w/ Lucas from Casper. http://t.co/cv4D5j73C4",
"2014-10-24 ","21:32:47","SenJohnBarrasso","His opinions will continue to shape our land &amp; our legal system for generations to come &amp; all of us will live freer and better for them.",
"2014-10-24 ","21:29:52","SenJohnBarrasso","No other federal judge in Wyoming history was more respected for his tenacity, intellect, and wit than Judge Brimmer.",
"2014-10-24 ","21:28:15","SenJohnBarrasso","Bobbi &amp; I join Wyoming in mourning the passing of Judge Brimmer http://t.co/N0ynht8TQ4",
"2014-04-03 ","13:39:10","SenJohnBarrasso","Our nation’s trade deficit increased 7.7% to $42.3 bil—Time Senate Dems give us a vote on GOP amdt to export #LNG http://t.co/EkDAnhepz4","LNG"
"2014-02-21 ","22:51:02","SenJohnBarrasso","Making cuts to Medicare Advantage program will ensure that even more Americans can’t keep the health care they like. http://t.co/76rRKDIixJ",
"2014-02-21 ","22:48:07","SenJohnBarrasso","New Medicare Advantage cuts are another example of how #Obamacare is wrecking health care system in order to ‘fix’ it http://t.co/76rRKDIixJ","Obamacare"
"2014-02-21 ","22:46:31","SenJohnBarrasso","Millions of American seniors chose Medicare Advantage because the program lives up to its name by delivering clear advantages.",
"2014-02-20 ","19:45:26","SenJohnBarrasso","New @Senate_RPC analysis details how #Obamacare’s Medicare Advantage funding cuts will hurt America’s seniors http://t.co/ROVsNUCDq1","Obamacare"
"2014-02-20 ","19:35:35","SenJohnBarrasso","Tomorrow, the Centers for Medicare &amp; Medicaid Services is expected to announce its preliminary 2015 Medicare Advantage payment rates. #CMS","CMS"
