"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","21:48:10","RepTerriSewell","It's a cycle that continues to be repeated. #TerenceCrutcher","TerenceCrutcher"
"2016-09-21 ","21:23:52","RepTerriSewell","Our hearts are burdened and once again saddened following Monday's shooting death of #TerenceCrutcher in #Tulsa, #Oklahoma. https://t.co/EM40pjYvRy","TerenceCrutcher Tulsa Oklahoma"
"2016-09-21 ","19:21:03","RepTerriSewell","Watch @HouseDemocrats, @SenateDems and #CivilRights experts Discussion on Voting Rights https://t.co/INEPaDzJZk via @YouTube","CivilRights"
"2016-09-21 ","17:42:37","RepTerriSewell","Selma Interpretive Center and Riverfront Projects Make Progress  https://t.co/jEFXNZAgKE #selma","selma"
"2016-09-21 ","14:43:24","RepTerriSewell","Joining @SenateDems, @HouseDemocrats and #CivilRights experts to discuss #VotingRights. Too much is at stake. We must #RestoreTheVote! https://t.co/kISc8v8OvW","CivilRights VotingRights RestoreTheVote"
"2016-07-15 ","21:48:57","RepTerriSewell","So glad to meet the Waller-Abrahams family from #Bham, #Alabama for their 39th family reunion! Enjoy #DC! https://t.co/xLFQxaZc0b","Bham Alabama DC"
"2016-07-15 ","14:59:38","RepTerriSewell","My prayers &amp; condolences to the victims and their family and friends of the horrific #NiceAttack https://t.co/ji6yBYLd9Q","NiceAttack"
"2016-07-15 ","00:28:46","RepTerriSewell","@GOP went home. We're still here. #EnoughIsEnough #DoYourJob #DisarmHate #LightingTheWay https://t.co/8UmYYHc8Bv","EnoughIsEnough DoYourJob DisarmHate LightingTheWay"
"2016-07-15 ","00:11:36","RepTerriSewell","""It's easier to get a gun than a voting card. This is immoral."" #DisarmHate #LightingTheWay #RestoreTheVote https://t.co/eMThrHfwPP","DisarmHate LightingTheWay RestoreTheVote"
"2016-07-15 ","00:07:19","RepTerriSewell","""Too many of our young people are dying. This is NOT acceptable."" #DisarmHate #LightingTheWay https://t.co/eVkK7dW3dx","DisarmHate LightingTheWay"
"2016-07-05 ","20:46:02","RepTerriSewell","We cannot stand down when standing up for our rights is so important. Congress must #RestoreTheVote https://t.co/woRFJUOmus","RestoreTheVote"
"2016-07-05 ","19:55:09","RepTerriSewell","Rest in Peace to a piece of history! Roscoe C. Brown Jr. was  a Tuskegee Airman in WWII. May his legacy live on! https://t.co/kG3GT8Dq5t",
"2016-07-05 ","01:09:00","RepTerriSewell","#4thOfJuly : celebrate 24th anniv of USS George Washington @USNavy @aircraftcarrier https://t.co/QEAEQ2jV6w","4thOfJuly"
"2016-07-05 ","00:48:01","RepTerriSewell","Voting shouldn't be this hard!#registertovote  https://t.co/DCYIVg0Cow via @youtube","registertovote"
"2016-06-10 ","20:24:53","RepTerriSewell","So great to spend time with our amazing interns in the DC office!! #FutureLeaders #Alabama https://t.co/euE2NopTIi","FutureLeaders Alabama"
"2016-06-10 ","17:45:23","RepTerriSewell","It was such an honor to meet with the youth group from First Baptist Church of Ensley from B'ham #Alabama! https://t.co/24bxSfWd3A","Alabama"
"2016-02-23 ","19:20:44","RepTerriSewell","It is wrong – deadly wrong – to deny any of your fellow Americans the right to vote in this country – LBJ #RestoreTheVOTE","RestoreTheVOTE"
"2016-02-23 ","19:06:20","RepTerriSewell","It is the duty of Congress to ensure that all citizens have equal opportunity to vote! #RestoreTheVOTE","RestoreTheVOTE"
"2016-02-23 ","17:08:19","RepTerriSewell","Over 50 years ago, hundreds of Foot Soldiers made the historic march to ensure the right to vote. We must #RestoreTheVOTE","RestoreTheVOTE"
"2015-11-30 ","18:23:05","RepTerriSewell","Service is the rent we pay for the privilege of living on this earth. #Chisholm","Chisholm"
"2015-09-29 ","15:36:33","RepTerriSewell",".@CFPB has freed consumers from costly abusive practices in the financial services system. http://t.co/N7lX8FRI2O #CFPBWorks","CFPBWorks"
"2015-09-29 ","15:25:38","RepTerriSewell",".@CFPB is the only fed agency charged with protecting the financial interests of American consumers. http://t.co/3kAYmBsoqO #CFPBWorks","CFPBWorks"
"2015-09-29 ","14:50:05","RepTerriSewell","Rep. Louis Stokes, Amelia Boynton and Julian Bond reminded us that we must never relinquish the work they started. https://t.co/0YnSkfbg4u",
"2015-07-14 ","20:53:40","RepTerriSewell","Met with Alabama delegates from @CUFI to discuss the importance of maintaining a strong friendship with Israel. http://t.co/uMl9bzW1M6",
"2015-07-14 ","20:17:09","RepTerriSewell","Share with your friends! Follow me at @RepTerriSewell on Twitter to learn more about my legislative agenda! http://t.co/qb5vy6ek0U",
"2015-07-14 ","18:49:10","RepTerriSewell","On this day in 1968, Alabama native and Atlanta Braves slugger Henry “Hank” Aaron hit his 500th home run. http://t.co/jcgA2aZP8x",
"2015-07-14 ","17:40:03","RepTerriSewell","For 50 years the Older Americans Act has provided critical support for our seniors. Here’s to many more! #OAA50 http://t.co/nCNxNogBeU","OAA50"
"2015-07-14 ","14:06:04","RepTerriSewell","When women lead, America succeeds! @HouseDemocrats welcomed @HillaryClinton to Capitol Hill today. http://t.co/ffaKjwigsN",
"2015-06-15 ","21:00:29","RepTerriSewell","We're looking for fall interns in the D.C. and district offices. Please apply online. https://t.co/eEnCDn044o",
"2015-06-09 ","18:35:58","RepTerriSewell","It was great to join the distinguished young women of Alabama Girls State! @alabamaAGS http://t.co/jCMcK1ALfI",
"2015-06-09 ","12:51:53","RepTerriSewell","It was great to address the crowd during the 2015 National Education Association Organizing Institute on Sunday! http://t.co/7oGCIReWyN",
"2015-06-09 ","12:50:31","RepTerriSewell","Pleased to join with my hometown of Selma in honoring civil rights icon the Rev. Frederick D. Reese on Sunday! http://t.co/1KazZKyzWT",
"2014-10-22 ","00:36:26","RepTerriSewell","A big thanks to all of the panelists who participated in our financial literacy forum tonight in Birmingham! http://t.co/8IohCD1yzE",
