"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","15:18:29","RepRaulGrijalva",".@HHSGov @SecBurwell on #Zika: ""We've had to take from other disease research, like cancer."" @HouseGOP: #DoYourJob! https://t.co/mdLeHaXjrY","Zika DoYourJob"
"2016-09-21 ","14:29:36","RepRaulGrijalva",".@MotherJones: #Zika isn’t just a problem for babies, new research says it could have lasting impact on adults, too: https://t.co/5pqsjtTVXZ","Zika"
"2016-06-10 ","15:21:37","RepRaulGrijalva","Lets celebrate 110 anniversary of #AntiquitiesAct by creating a monument for greater #GrandCanyon! #MonumentsForAll https://t.co/UjaGvtXPmz","AntiquitiesAct GrandCanyon MonumentsForAll"
"2015-10-29 ","18:47:18","RepRaulGrijalva","Average Soc. Sec. retiree benefit:  $15,600/year.  We can do better – support the protect &amp; expand resolution.",
"2015-10-29 ","17:54:32","RepRaulGrijalva","No woman should be fired for being #PregnantAtWork. Let’s pass the Pregnant Workers Fairness Act to protect #WorkingFamilies ASAP!","PregnantAtWork WorkingFamilies"
"2015-09-29 ","20:37:18","RepRaulGrijalva","Thank you @HispanicFed, @HispanicAccess, @LatinoOutdoors &amp; @HECHOOnline
 for supporting us in the fight to #SaveLWCF!","SaveLWCF"
"2015-09-29 ","20:07:17","RepRaulGrijalva","I couldn't agree with you more, @repbenraylujan! Thank you for your support. #SaveLWCF","SaveLWCF"
"2015-09-29 ","20:05:11","RepRaulGrijalva","Thank you for participating in today's #LWCF #TwitterChat, @RepRonKind! #SaveLWCF","LWCF TwitterChat SaveLWCF"
"2015-09-29 ","20:02:02","RepRaulGrijalva","Thank you for participating in the #LWCF chat! Show your support by telling Congress to #SaveLWCF.","LWCF SaveLWCF"
"2015-09-29 ","19:54:13","RepRaulGrijalva","Thank you @WhipHoyer for supporting the renewal of the Land and Water Conservation Fund! #SaveLWCF","SaveLWCF"
"2015-09-29 ","19:50:21","RepRaulGrijalva","A bipartisan poll found that 85% of Americans want LWCF to be fully funded. Why do you support renewing #LWCF? #SaveLWCF","LWCF SaveLWCF"
"2015-09-29 ","19:40:41","RepRaulGrijalva","#LWCF has established more playgrounds, parks &amp; baseball fields. How have you benefited from having access to more public parks? #SaveLWCF","LWCF SaveLWCF"
"2015-09-29 ","19:30:05","RepRaulGrijalva","Why is the Land and Water Conservation Fund important to the Latino community? #SaveLWCF #LWCF","SaveLWCF LWCF"
"2015-09-29 ","19:20:02","RepRaulGrijalva","Outdoor recreation activities contribute $730B annually to the U.S. economy. What other benefits do parks offer your communities? #SaveLWCF","SaveLWCF"
"2015-09-29 ","19:11:03","RepRaulGrijalva","LWCF supports jobs &amp; the revitalization of local communities. How will your job/community be affected if #LWCF isn’t reauthorized? #SaveLWCF","LWCF SaveLWCF"
"2015-09-29 ","19:05:01","RepRaulGrijalva","LWCF has protected &amp; preserved our nation’s natural, historical, &amp; cultural landmarks. What’s your favorite #LWCF park and why? #SaveLWCF","LWCF SaveLWCF"
"2015-09-29 ","19:00:34","RepRaulGrijalva","The #LWCF is a valuable resource to all Americans. Find out how it’s helped your community, http://t.co/8oBRAxUbLb. #SaveLWCF","LWCF SaveLWCF"
"2015-09-29 ","19:00:01","RepRaulGrijalva","Thank you for participating in the #LWCF #TwitterChat! Join the convo by RT, answering, or asking your own Q’s! Remember to use #SaveLWCF.","LWCF TwitterChat SaveLWCF"
"2015-09-29 ","18:56:07","RepRaulGrijalva","The clock is ticking… help spread the word to make sure Congress renews #LWCF tomorrow! Join us for a #TwitterChat in 5 min &amp; use #SaveLWCF.","LWCF TwitterChat SaveLWCF"
"2015-09-29 ","18:45:52","RepRaulGrijalva","The #LWCF is in danger of being eliminated if Congress doesn’t act by tomorrow. Follow #SaveLWCF for a #TwitterChat in 15 min to learn more.","LWCF SaveLWCF TwitterChat"
"2015-09-29 ","18:33:27","RepRaulGrijalva","#LWCF, one of our country’s most successful recreation &amp; conservation programs, expires TMR. Follow #SaveLWCF @ 3 pm today to learn more.","LWCF SaveLWCF"
"2015-09-29 ","17:34:11","RepRaulGrijalva","Join @NRDems, @HispanicFed, @HispanicAccess @LatinoOutdoors, @GreenLatino, @HECHOOnline for a #TwitterChat today at 3pm ET – RE: #SaveLWCF","TwitterChat SaveLWCF"
"2015-07-14 ","21:25:12","RepRaulGrijalva","About to join @edshow to discuss @USProgressives meeting with @HillaryClinton today. Tune in at 5:30 EST! http://t.co/GX6Kjq1fTM",
"2015-07-14 ","17:36:23","RepRaulGrijalva","Congratulations to the Older Americans Act for 50 years of serving seniors, caregivers and families. Keep going strong. #OAA50","OAA50"
"2015-07-14 ","17:29:03","RepRaulGrijalva","For 50 yrs the Older Americans Act has ensured initiatives to better support, care &amp; protect seniors. American families are thankful! #OAA50","OAA50"
"2015-06-09 ","13:56:53","RepRaulGrijalva","Check out my op-ed in @TucsonStar on why #TPP is a bad deal for seniors, workers and our environment: https://t.co/abbamuZ2Dq","TPP"
"2014-10-22 ","17:50:53","RepRaulGrijalva","Check out @EconomicPolicy’s recent report showing how #RaiseTheWage saves tax dollars and benefits all Americans: https://t.co/I5H2rrQdOz","RaiseTheWage"
"2014-04-01 ","21:12:03","RepRaulGrijalva","Ryan #GOPbudget cuts 3 million #jobs in FY16. Really close to firing every working person in Wisconsin: http://t.co/v566QD7USn #p2","GOPbudget jobs p2"
"2014-04-01 ","19:40:59","RepRaulGrijalva","Thx @salon @josheidelson for good writeup on #McDonalds ex-managers speaking against corporate wage theft http://t.co/apzntvqyUh #p2","McDonalds p2"
"2014-04-01 ","15:04:02","RepRaulGrijalva","We should keep talking about making #healthcare better. What would #GOP do instead of #ACA? We haven't heard http://t.co/ARoqs2eOyE #p2","healthcare GOP ACA p2"
"2014-02-18 ","16:20:17","RepRaulGrijalva","4.2 mln jobs added to U.S. economy since Recovery Act was signed. Investment works. #Austerity fails. http://t.co/NdqCfhO7bN #p2 #jobs","Austerity p2 jobs"
"2013-07-24 ","22:29:42","RepRaulGrijalva","#GOP grinds House to a halt on purpose. Not much progress on #jobs, #immigration until that changes. http://t.co/t30LV9xxsJ #p2","GOP jobs immigration p2"
"2013-07-24 ","17:35:13","RepRaulGrijalva","Congrats to #Pima Community College in #Tucson #AZ on $650k 5-yr grant from @usedgov thru Title V for #Hispanic-serving institutions.","Pima Tucson AZ Hispanic"
"2013-07-24 ","17:19:39","RepRaulGrijalva","My #Tucson #AZ district office (520 622 6788) has extended application deadline for fall internships to July 26. http://t.co/ZHhQ1JeMNp","Tucson AZ"
"2013-06-05 ","20:42:57","RepRaulGrijalva","I voted yesterday to add $9.2 mln in unused military $ to address #veterans claims backlog. Majority voted it down. http://t.co/vm55ZrUV3F","veterans"
"2013-06-05 ","19:37:22","RepRaulGrijalva","#Health insurers returned $1.1 bln to taxpayers in 2012 thanks to #ACA rebate rule. More coming this year. http://t.co/Bll6zHV2ZX #p2","Health ACA p2"
"2013-04-19 ","16:43:54","RepRaulGrijalva","My op-ed in #Latino Perspectives on uranium #mining near the #AZ #GrandCanyon. History and culture are worth more http://t.co/LSzO5xIROz #p2","Latino mining AZ GrandCanyon p2"
"2013-03-11 ","16:12:27","RepRaulGrijalva","My colleague #PaulRyan has flip-flopped three times on #Medicare payments. How are we supposed to negotiate? http://t.co/M2h8NTEBDZ #p2","PaulRyan Medicare p2"
"2013-03-11 ","16:04:05","RepRaulGrijalva","Thanks Tom @Edsall for telling truth on #SocialSecurity. Getting rid of regressive cap on taxes is common sense http://t.co/uaXWVrWuPh #p2","SocialSecurity p2"
"2013-03-11 ","15:17:05","RepRaulGrijalva","Great Saturday w/ #TedDanson. Thanks Western Nat Park Assoc for Edward B. Danson award. http://t.co/npktuJblkH #AZ #Tucson #nationalparks","TedDanson AZ Tucson nationalparks"
"2012-12-12 ","18:08:09","RepRaulGrijalva",".@USGAO says taxpayers losing billions on lost or nonexistent #mining and #oil royalties - @SenatorTomUdall and I asked http://t.co/0gREhuIc","mining oil"
