"Date","Time","screen_name","text","hashtags"
"2010-08-01 ","23:06:43","BetsyMarkey","Happy Colorado Day everyone! Our state just turned 134!",
"2016-09-21 ","15:48:03","RepJaredPolis","Congressional Caucus for Earth and Space Sciences Gets Launched https://t.co/a43A83Cwor",
"2016-07-15 ","17:23:28","RepJaredPolis","For approximately the 1/3 of the American public who don’t own a smartphone the QR code is unscannable. #GMOLabeling https://t.co/XSZ4gk4opQ","GMOLabeling"
"2016-07-15 ","11:45:20","RepJaredPolis","We stand in unity with France. Thoughts &amp; love go out to all of those impacted by the tragic attack in Nice.",
"2016-07-05 ","20:38:23","RepJaredPolis","Thanks National PTA for standing up for #LGBTQ youth. Time for Congress to follow your lead &amp; pass the #EqualityAct. https://t.co/wB1tnpnFgC","LGBTQ EqualityAct"
"2016-06-10 ","18:39:54","RepJaredPolis","Can you name any industrial #hemp products? Here's a few for #HempHistoryWeek! #HempHempHooray https://t.co/SjsQxqMtRF","hemp HempHistoryWeek HempHempHooray"
"2016-06-10 ","14:40:14","RepJaredPolis","Happy #HempHistoryWeek! #Hemptastic #HempHempHooray #Hemp https://t.co/qjmOOOSLqO","HempHistoryWeek Hemptastic HempHempHooray Hemp"
"2016-02-23 ","18:15:32","RepJaredPolis","I'm off to DC! Here are highlights from my recent visit across the best district in the US: https://t.co/Jk47J51dCi",
"2016-02-23 ","16:06:34","RepJaredPolis","Using a 200 year old law, for 21st century policing, demonstrates the problem w/ Fed. Govt's stance. #NoBackdoors - https://t.co/LrG9Ib32FK","NoBackdoors"
"2016-02-23 ","15:33:26","RepJaredPolis","Pandora's iPhone, by Stuart Carlton displays the exact problem w/ decryption &amp; why I stand w/ privacy #NoBackdoors https://t.co/hWB5YJzrjI","NoBackdoors"
"2016-02-18 ","18:59:32","RepJaredPolis","All seniors deserve security + dignity, @LGBTEqCaucus new Aging Task Force will advocate for LGBT Elders and push #equalityforward","equalityforward"
"2016-02-18 ","17:17:16","RepJaredPolis","Thanks to the people who attended the Morrison Town Hall. Great time hearing your ideas &amp; what was on your mind https://t.co/aH1kVGj2V3",
"2015-11-30 ","18:58:29","RepJaredPolis","Just signed #ESEA conference report. 1 step closer to replacing NCLB with a law that works for students &amp; educators https://t.co/vXRNZgDu9V","ESEA"
"2015-10-29 ","14:06:23","RepJaredPolis","Nepal just elected its first woman president! https://t.co/UD1mfA66GM",
"2015-09-29 ","21:58:23","RepJaredPolis","Great meeting today with CO civil rights leaders on importance of civil rights protections for students in #ESEA http://t.co/qCzdwpOlQq","ESEA"
"2015-09-29 ","18:57:31","RepJaredPolis","So many better ways for Congress to spend time: ExIm Bank, highways, education, immigration reform. List goes on. https://t.co/uyTLLbdfuI",
"2015-09-29 ","16:24:32","RepJaredPolis","Had a blast giving visiting Coloradans a nighttime Capitol tour! More pics on instagram: http://t.co/pm4tEft7cD http://t.co/TymMv1LEQY",
"2015-07-14 ","22:58:46","RepJaredPolis","Good luck to the #Colorado @Rockies playing in tonight’s All Star Game!  #ASG2015 http://t.co/E5p7b2xB9V","Colorado ASG2015"
"2015-07-14 ","21:36:17","RepJaredPolis","Senate majority  voted “yes” to protect #LGBT students, but not enough to pass #SNDA. More work to do. My statement: http://t.co/PfbjGIz24g","LGBT SNDA"
