"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","19:10:50","RepJohnLarson","Glad to speak w/ @WaysMeansCmte about my plan to expand Social Security benefits &amp; keep the trust fund strong https://t.co/SWItGAs9Cz",
"2016-09-21 ","13:07:46","RepJohnLarson","Proud to see Sikorsky will remain in CT. This new deal ensures our manufacturing ecosystem will continue to grow https://t.co/M36hlY5Btg",
"2016-07-15 ","18:41:04","RepJohnLarson","I share the grief &amp; shock of our nation as we learn more about the #NiceAttack. My thoughts are with France in this wake of this tragedy","NiceAttack"
"2016-07-15 ","00:51:44","RepJohnLarson","GOP Leadership may want to go home, but we're not going away. This issue isn't going away #DisarmHate #DoYourJob https://t.co/805zSJd0hx","DisarmHate DoYourJob"
"2016-07-15 ","00:03:43","RepJohnLarson","Tonight we listen to those who know too well the wounds gun violence leaves on us all. #LightingTheWay #DisarmHate https://t.co/34RclTLBU3","LightingTheWay DisarmHate"
"2016-07-05 ","17:22:30","RepJohnLarson","The American people deserve to be heard. That’s why we took to this floor &amp;  said #NoMoreSilence on gun violence https://t.co/Gxd13MsKfo","NoMoreSilence"
"2016-06-10 ","18:43:14","RepJohnLarson","It's time for real solutions: https://t.co/mFwU4hFy5G https://t.co/mgjW3qFc2B",
"2016-06-10 ","16:33:08","RepJohnLarson","Gordie Howe was a #Whalers legend whose career spanned 7 presidencies. He presided over our First Family of Hockey, &amp; he will be missed","Whalers"
"2016-06-10 ","14:46:14","RepJohnLarson","Great visit w/ @I_Serageldin of the Library of Alexandria, whose life’s work is retelling history &amp; exchanging ideas https://t.co/WP1Hcp1hb8",
"2016-02-23 ","16:45:50","RepJohnLarson","I commend @POTUS for his plan to protect the safety of Americans and responsibly close #Gitmo. It's time https://t.co/CRFl7cWI4d","Gitmo"
"2016-02-18 ","15:49:45","RepJohnLarson","Proud to help cut the ribbon of the Intercommunity's new primary care facility. Keep up the great work! https://t.co/LGOzD1fati",
"2016-02-18 ","15:22:51","RepJohnLarson","I'm proud to see Franklin Ave celebrating its diversity &amp; finding new ways to come together https://t.co/l5SjhMvoy2",
"2016-02-18 ","00:31:55","RepJohnLarson","Thanks to Carbones, Mayor Bronin, Imam Mehmedovic &amp; all who joined us tonight in the spirit of community &amp; respect https://t.co/APa5lnHk1G",
"2015-11-30 ","20:14:08","RepJohnLarson","I commend @POTUS for continuing to lead the efforts to #ActOnClimate at the #ParisClimateConference https://t.co/bGOXt5ckhJ","ActOnClimate ParisClimateConference"
"2015-10-29 ","18:41:07","RepJohnLarson","""I'll be in Glastonbury tomorrow talking #SocialSecurity at a town hall meeting. Learn more here https://t.co/hNmCJL1XWF","SocialSecurity"
"2015-10-29 ","18:19:21","RepJohnLarson","I have a common sense plan to strengthen #SocialSecurity for today's seniors &amp; generations to come: https://t.co/BFGac4OTQD","SocialSecurity"
"2015-10-29 ","18:03:28","RepJohnLarson","Most seniors rely on #SocialSecurity for most of their income. Sometimes that's less than $11K/yr. It's time to expand benefits not cut them","SocialSecurity"
"2015-09-29 ","18:20:17","RepJohnLarson","Another day, another attack on women's healthcare. American women deserve better. #StandWithPP","StandWithPP"
"2015-07-14 ","18:00:59","RepJohnLarson","It's been 50 years since we passed the #OlderAmericansAct to provide nutrition, health, &amp; employment services. #OAA50 http://t.co/fMggT4STyR","OlderAmericansAct OAA50"
"2015-07-14 ","14:22:59","RepJohnLarson","75% of #LGBT students say they've been bullied. That's too many. Schools need clear guidelines to protect students http://t.co/1lSPxaaYs5","LGBT"
"2015-06-15 ","16:06:26","RepJohnLarson","All Cubans deserve a life free of oppression &amp; fear. Normalizing diplomatic relations would provide that chance. https://t.co/u1l5JFHARI",
"2015-06-15 ","14:49:51","RepJohnLarson","Many communities rely on volunteer firefighters and EMS for emergency services. Support VRIPA and #SupportVolunteers: http://t.co/VBB2vRrM8C","SupportVolunteers"
"2015-06-15 ","14:33:36","RepJohnLarson","I'm proud to #SupportVolunteers with @davereichert by introducing the Volunteer Responder Incentive Protection Act http://t.co/5GVmunlZdf","SupportVolunteers"
"2015-06-09 ","18:26:05","RepJohnLarson","Congratulations Kaylee Yacono, whose ""Modern American Farmer"" was installed today in the Capitol. http://t.co/tjKJob1toQ",
