"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","17:26:36","AlanGrayson","Lol?
https://t.co/YO44gixTKn",
"2016-07-15 ","17:11:07","AlanGrayson","This logo accurately represents what Trump Pence will do to America. https://t.co/HQisP8QVzb",
"2016-06-10 ","17:38:44","AlanGrayson","Here’s a tough question: Is @realDonaldTrump an incessant liar, or is he just the most gullible man in America?",
"2016-02-23 ","20:41:30","AlanGrayson","@CassandraRules Later this week. I have a lot of responses to read through!",
"2016-02-23 ","20:30:43","AlanGrayson","Here comes the kitchen sink: https://t.co/RCto3PEWvp",
"2016-02-23 ","17:24:27","AlanGrayson","200,000+ of you (so far) have voted at https://t.co/l9lEtSSwi6  to tell me how to cast my superdelegate vote. #VoteTogether","VoteTogether"
"2016-02-18 ","23:28:04","AlanGrayson","The Democratic Party should be the party that gives power to the people. https://t.co/KgO35El3GE",
"2016-02-18 ","22:39:24","AlanGrayson","GO VOTE. https://t.co/l9lEtSSwi6 (6/6) #graysonprimary","graysonprimary"
"2016-02-18 ","22:38:59","AlanGrayson","If anyone has any interest whatsoever in helping decide how we choose our leaders, then the time is now. (5/6) #graysonprimary","graysonprimary"
"2016-02-18 ","22:38:02","AlanGrayson","(3) If we have major participation, then they will have to listen. They can ignore 1k people. They can’t ignore 1 mil. (4/6) #graysonprimary","graysonprimary"
"2016-02-18 ","22:36:41","AlanGrayson","(2) This has never been done before. It’s an experiment in netroots activism. (3/6) #graysonprimary","graysonprimary"
"2016-02-18 ","22:36:26","AlanGrayson","(1) I’m a Superdelegate. I will vote for Sanders or Clinton at the DNC. Your vote matters because my vote matters (2/6) #graysonprimary","graysonprimary"
"2016-02-18 ","22:36:13","AlanGrayson","https://t.co/l9lEtSSwi6. Bernie or Hillary, and tell me why. Here is why everyone’s participation is so important: (1/6) #graysonprimary","graysonprimary"
"2016-02-18 ","20:33:39","AlanGrayson","I want YOU to decide who gets my superdelegate vote. Hillary or Bernie. VOTE: https://t.co/KgO35El3GE #FeelTheBern #ImWithHer","FeelTheBern ImWithHer"
"2016-02-18 ","15:10:25","AlanGrayson","@KatieCVFowler @BernieSanders You can vote at https://t.co/KgO35El3GE",
"2016-02-18 ","15:05:15","AlanGrayson","The point of this is very simple: the point is power to the people. Vote now at https://t.co/KgO35El3GE 
https://t.co/VpkwUOCJxo",
"2016-02-18 ","00:33:06","AlanGrayson","If this works, then maybe other “superdelegates” will follow suit. Vote now for @BernieSanders or @HillaryClinton : https://t.co/KgO35El3GE",
"2015-11-30 ","21:11:13","AlanGrayson","Celebrating Shirley Chisholm – unbought and unbossed.  https://t.co/72HDsIk6Ju",
"2015-11-30 ","15:12:07","AlanGrayson","Courage is @PPFA providing care-- no matter what.
https://t.co/oispBOdVKi",
"2015-11-30 ","01:17:42","AlanGrayson","We need a Senator who isn't afraid of orphans and widows: https://t.co/PXTNUi7dwl",
"2015-09-29 ","17:10:48","AlanGrayson","Six years ago today, I explained the Republican healthcare plan for America: ‘Don’t get sick.’ http://t.co/coYPiyHzGA",
"2015-07-14 ","21:00:57","AlanGrayson","The next great progressive fight: debt-free college for all Americans. http://t.co/zvNuHzGeRQ",
"2015-07-14 ","15:26:07","AlanGrayson","The Euro – A Burning House With No Exit: http://t.co/7EZBias3I0",
"2015-06-15 ","22:52:49","AlanGrayson","A golden opportunity to elect a progressive? Could be. http://t.co/K2lpFt5OrZ http://t.co/s6MMHr3fAn",
"2015-06-15 ","13:43:41","AlanGrayson","Because the only way that Jeb will be elected is if no one knows that he’s a Bush: http://t.co/SrEWA5V7lZ",
