"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","18:14:05","repdavidscott","Applications are available now for 2016-17 Military Academy congressional nominations from my office. https://t.co/HaJMgjocGe https://t.co/ITZ0pbGyuB",
"2016-02-23 ","17:03:17","repdavidscott","Similar data to what I said to #Fed Chair Yellen in committee.  https://t.co/OEPPfcx9Jg","Fed"
"2016-02-23 ","15:46:11","repdavidscott","My pleasure to address such a great meeting.  https://t.co/NGgFOybx3Z",
"2016-02-23 ","14:35:25","repdavidscott","Nice to meet you Carl.  https://t.co/uzQbUpUvJZ",
"2016-02-18 ","20:26:17","repdavidscott","The 3rd #BlackHistoryMonth blog post is up. To learn a little more about Julian Bond check my website https://t.co/IWBZA3VRVY","BlackHistoryMonth"
"2015-11-25 ","14:40:07","repdavidscott","Live Atlanta road updates via @NaviGAtor511 https://t.co/DFp9LqVjvF",
"2015-11-25 ","14:38:44","repdavidscott","Security line wait times @ATLairport https://t.co/OPMi9NXgRV",
"2015-07-14 ","15:15:01","repdavidscott","Six 1890 Presidents to testify tomorrow @1890landgrant http://t.co/ghCRJtYdtB #celebrate1890s  https://t.co/81Z27n7gbO","celebrate1890s"
"2014-05-21 ","19:40:14","repdavidscott","@JJGomez127 @wsbtv station began investigations based on VA IG reports. Veterans Committee has held many hearings and reviews as well.",
"2014-05-21 ","19:34:43","repdavidscott","@JJGomez127 @wsbtv has a full page devoted to investigations of the VA http://t.co/YjSaghXC5u",
"2014-05-21 ","17:26:17","repdavidscott","The investigations are already in, now is the time to act and stop talking about another review of the VA. The Secretary needs to go.",
"2012-09-25 ","13:28:28","repdavidscott","GA Congressmen, Voter Groups To Rally On National Voter Registration Day (today) http://t.co/bsxZibiq",
"2011-01-13 ","15:57:20","repdavidscott","Interview with Patch re security in the district. http://bit.ly/fnDLOR",
"2011-01-08 ","19:52:12","repdavidscott","Praying for Rep. Giffords and constituents in AZ.",
"2011-01-06 ","15:11:34","repdavidscott","Hope to read part of the Constitution this morning.",
"2016-07-15 ","13:56:02","repjohnlewis","We must act, and we should be acting now.  Not tomorrow, not in September, but now. #DisarmHate #goodtrouble https://t.co/NE0ajb12Rk","DisarmHate goodtrouble"
"2016-07-15 ","13:53:03","repjohnlewis","Where are the leaders?  Do you have any courage, Republican Members of Congress? Where is the leadership? It is a shame. #DisarmHate","DisarmHate"
"2016-07-15 ","13:52:22","repjohnlewis","Too many of our sisters and brothers have suffered. Too many of our mothers and fathers have suffered. Too many have lost their lives.",
"2016-07-15 ","13:50:34","repjohnlewis","There is so much hurt, so much hate &amp; violence. We have a moral obligation, a mission, and a mandate to do something about gun violence.",
"2016-07-15 ","13:50:03","repjohnlewis","I cannot believe that the GOP Members of Congress will leave without responding to the suffering, pain, and despair of the American people.",
"2016-07-15 ","01:45:50","repjohnlewis","The vote is precious, almost sacred. It is the most powerful tool in a democratic society. And we must use it. #DisarmHate #GoodTrouble","DisarmHate GoodTrouble"
"2016-07-15 ","01:43:24","repjohnlewis","The sit-in was just the beginning. As long as I have strength in my body, I'm going to do my part to do what I can. #DisarmHate #GoodTrouble","DisarmHate GoodTrouble"
"2016-07-15 ","01:42:09","repjohnlewis","It saddens me that we have to plead with members of Congress to do something about gun violence. #DisarmHate #LightingTheWay","DisarmHate LightingTheWay"
"2016-07-05 ","18:36:44","repjohnlewis","A. Philip Randolph said on more than one occasion ""we may have come here on different ships but we're all in the same boat now"" #goodtrouble","goodtrouble"
"2016-02-23 ","20:35:53","repjohnlewis","Honored @Nate_Powell_Art @andrewaydin &amp; I chatted w/ Palestinians @USCGJerusalem event on #BlackHistoryMonth. https://t.co/VMvrjbnE1d","BlackHistoryMonth"
"2016-02-23 ","14:34:45","repjohnlewis","Look forward to visiting @DCCorrections w/@FreeMindsDC &amp; @andrewaydin today to speak to youth about persistence &amp; the power of nonviolence.",
"2015-10-29 ","17:36:08","repjohnlewis","Congratulations @SpeakerRyan, I look forward to working with you and I wish you well. https://t.co/WtW7Neq1MH",
