"Date","Time","screen_name","text","hashtags"
"2014-05-21 ","20:03:09","RepHanabusa","Congrats HNL Intl Airport 4 receiving more than $15 million in grant funding 4 improvement projects @ the Overseas terminal building",
"2014-05-21 ","18:47:33","RepHanabusa","Had a great time talking story w/ the Agbayani and Paderes Ohana from my hometown of Waianae in my DC office today http://t.co/9IShlBBotv",
"2014-04-01 ","19:35:06","RepHanabusa","Op Ed: Our Commitment to Women's Success Continues http://t.co/X34olWoQ82 @HuffingtonPost",
"2014-04-01 ","19:16:42","RepHanabusa","Congrats @DOTHawaii 4 receiving $1,167,526 in grants 4 occupant protection,impaired driving countermeasures,and motorcyclist safety programs",
"2014-04-01 ","18:58:24","RepHanabusa","Congratulations to @DOTHawaii for receiving more than $310,261 in grants to improve our State Traffic Safety Information Systems.",
"2013-09-14 ","12:02:43","RepHanabusa","Speaking w/ @msnbc @AlexWitt on new developments that US&amp;Russia have reached agreement on #Syria chemical weapons http://t.co/6nXDIaeQGu","Syria"
"2013-07-24 ","19:54:59","RepHanabusa","House Approves Hanabusa Amendment to Prohibit New Fees on Health Coverage Program for Armed Services Members http://t.co/nDHWOQytgg",
"2013-06-05 ","16:38:40","RepHanabusa","In Armed Services for the full committee markup of the National Defense Authorization Act for FY2014. #FY14NDAA @HASCDemocrats","FY14NDAA"
"2012-09-25 ","16:43:05","RepHanabusa","Today is National Voter Registration Day - click on the link to register to vote! http://t.co/HwzPS4di",
"2012-07-18 ","16:40:07","RepHanabusa","Today's One Minute http://t.co/Z5KRARJK #DISCLOSE Act","DISCLOSE"
"2016-09-21 ","19:45:12","TulsiPress","#ICYMI Rep. Tulsi Gabbard calls for immediate halt to U.S. arms sale to Saudi Arabia: https://t.co/cCO3qWgtbD #StopArmingSaudi","ICYMI StopArmingSaudi"
"2016-09-21 ","19:14:27","TulsiPress","The US must #StopArmingSaudi, stop fueling this fire, and hold Saudi Arabia accountable for their actions: https://t.co/cCO3qWy4Ad","StopArmingSaudi"
"2016-09-21 ","18:31:35","TulsiPress","Rep. Tulsi Gabbard calls for immediate halt to U.S. arms sale to Saudi Arabia: https://t.co/cCO3qWy4Ad",
"2016-09-21 ","17:12:20","TulsiPress","Rep Tulsi Gabbard calls on @DeptofDefense to address millions of dollars miused by DoD personnel on gvt travel cards https://t.co/DziGwN8MtP",
"2016-09-21 ","14:36:19","TulsiPress","Tulsi's team will be @ Mitchell Pauole Center on #Molokai tomorrow 9/22 from 1:30-3:30pm for help w/ casework &amp; more https://t.co/qyCkTJjP5L","Molokai"
"2016-09-21 ","14:33:42","TulsiPress","Mahalo to all who joined our 'Talk Story with Tulsi's Team' events in #Kapaa &amp; #Waianae yesterday! https://t.co/ycwNrV4WId","Kapaa Waianae"
"2016-07-15 ","17:00:53","TulsiPress",".@thegardenisland agrees: people have a #RightToKnow what’s in their food. Read why here: https://t.co/nIhjC8rUGp","RightToKnow"
