"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","20:36:25","daveloebsack","In response to recent suicides, Loebsack introduces “Never Again” legislation to address Veteran suicide epidemic https://t.co/ORWuxsyi9J",
"2016-09-21 ","18:44:36","daveloebsack","Spoke with folks from @GrowthEnergy this AM about the importance of ethanol and the RFS to jobs &amp; econo in Iowa! https://t.co/5z06jY5APa",
"2016-09-21 ","18:01:35","daveloebsack","It was great meeting with you! Thanks for coming by. https://t.co/ILur2zeVEU",
"2016-02-18 ","22:01:12","daveloebsack","Loebsack to CMS: No More Delays, It’s Time to Pull the Plug on Privatizing Iowa’s Medicaid System https://t.co/RbxFVml6dY",
"2015-09-29 ","21:38:44","daveloebsack","Great to meet with you as well! https://t.co/SowKBe6XXf",
"2015-09-29 ","20:49:55","daveloebsack","Met w @IowaHoops Coach Fran McCaffery &amp; others from @AmericanCancer about funding for cancer research #CancerLobbyDay http://t.co/LFPIFbJDAh","CancerLobbyDay"
"2015-07-14 ","16:48:57","daveloebsack","Joined @jeffzeleny &amp; staff to talk #iacaucus history at @SimpsonCollege Edward M. Kennedy luncheon. @SCCulverCenter http://t.co/ikvM7IRI7n","iacaucus"
"2014-10-22 ","23:05:09","daveloebsack","Had a great roundtable with @RepDianaDeGette to talk importance of medical research funding at @uihealthcare http://t.co/6vPslDUo8j",
"2014-05-21 ","17:33:09","daveloebsack","Great chatting with folks from @aarpia, including @ksovern, about issues affecting older Iowans and Americans http://t.co/9cD1nqHMLX",
"2014-05-21 ","16:25:53","daveloebsack","Greeting Eastern Iowa veterans taking part in the #HonorFlight with @BruceBraley at the WWII Memorial. http://t.co/BfH7Q682LE","HonorFlight"
"2014-05-21 ","15:46:31","daveloebsack","Beautiful day to welcome the Eastern Iowa #HonorFlight to the WWII memorial. http://t.co/OmiSnvKn5J","HonorFlight"
"2014-04-01 ","21:05:49","daveloebsack","Congrats to Mary Connell of Air Control Inc in Clinton for being named IA's Small Business Person of the Year! http://t.co/e9TQ1b7TNq",
"2013-04-19 ","20:44:59","daveloebsack","Gov @terrybranstad issued disaster proc for 5 E IA Cos b/c of significant property damage from recent storms/flooding http://t.co/56H3BCH18Y",
"2012-07-18 ","22:50:06","LeonardBoswell","Great news for Des Moines metro residents and public transit! $3 million for @rideDART improvements: http://t.co/cQ1Ov3ba",
"2011-01-09 ","02:15:41","LeonardBoswell","Today was a terrible tragedy for ALL Americans. We all pray for Congresswoman Giffords recovery & All others involved, plus their families.",
"2009-11-27 ","01:15:47","LeonardBoswell","End of the day. I hope All have had a great Thanksgiving. We have been with family, and had a good day. We remember our troops too.",
"2009-04-01 ","20:53:40","LeonardBoswell","Just finished meeting with a room full of Jrs and Srs from Belle Plaine High School. Impressive Grp of Students!",
"2009-04-01 ","20:49:12","LeonardBoswell","I chaired an Ag subcmte hearing on the Ag Economy today. Dr Neil Harl, ""Distinguished Prof"" from IA State testified and was outstanding.",
"2009-04-01 ","02:29:27","LeonardBoswell","It has been a busy 24 hrs. POTUS last night, Eisenhower Commission today to select the Architect for the Ike monument, tele town hall tonite",
