"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","18:16:50","RepBobbyRush","#Studentdebt has become a $1.3 trillion problem. What would u spend your $ on w/o it? Tell us! #DebtFreeWishList https://t.co/QPXOsDumIh","Studentdebt DebtFreeWishList"
"2016-07-15 ","07:37:17","RepBobbyRush","U.S. Representatives Rush &amp; Pallone Propose New Legislation for $5 Million Grant Program to Address Lead Pois... https://t.co/scd5twZrpd",
"2016-07-05 ","03:01:26","RepBobbyRush","@USNavy @aircraftcarrier @GW_CVN73 https://t.co/PPCowfEVOO",
"2016-02-23 ","18:59:45","RepBobbyRush","I applaud President Obama for his leadership efforts to authorize the closure of Guantanamo https://t.co/i1F27ZH4LU",
"2015-11-30 ","12:35:39","RepBobbyRush","We must all be cautious and aware of our surroundings: https://t.co/YhaXyn74TK",
"2015-10-29 ","17:15:43","RepBobbyRush","Congratulations, to the new Speaker of the U.S. House of Representatives, @SpeakerRyan https://t.co/1EmVNgxtzY",
"2015-07-14 ","15:15:40","RepBobbyRush","This is a historic moment for the world. https://t.co/od8D28w8ki",
"2013-06-05 ","23:06:43","RepBobbyRush","Come out this Saturday, Jun. 8 for the Affordable Healthcare Act and You town hall at Central Middle School in Tinley Park.",
"2013-04-19 ","16:23:54","RepBobbyRush","Come out this Saturday to hear a community perspective on the Chicago Public School Closings. http://t.co/ozYyhzsDS3",
"2012-12-12 ","18:23:32","RepBobbyRush","@HouseDemocrats calling on GOP to #DoTheRightThing, extend middle class tax cuts, protect fams &amp; small biz during #fiscalcliff negotiations","DoTheRightThing fiscalcliff"
"2012-09-25 ","16:47:34","RepBobbyRush","I look forward to working with @FCC Commissioner Clyburn on this important issue! http://t.co/05fpJsPI",
"2012-07-18 ","21:13:55","RepBobbyRush","From @BrennanCenter: Voter ID laws are not cost free. http://t.co/OlQWyHfV Gov. should minimize costs related to voting, not compound them.",
"2012-07-18 ","15:33:43","RepBobbyRush","Happy Nelson Mandela International Day! Be inspired by Mandela's lifetime of service &amp; take time to help your community http://t.co/W6QfyFtm",
"2016-09-21 ","20:42:20","RepLipinski","@RepLipinski Announces More Grants for #MidwayAirport
https://t.co/U6oBtmLrQG @fly2midway https://t.co/JtU0LNmPgz","MidwayAirport"
"2016-02-23 ","19:10:10","RepLipinski","@RepLipinski Receives #ExtraMileAward from #ActiveTransportationAlliance https://t.co/I8HAULhcr7 https://t.co/TpSCOSWQXS","ExtraMileAward ActiveTransportationAlliance"
