"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","17:52:42","RepAndreCarson","Participated in the @the_USO Service Project on Capitol Hill today, where we put together care packages 4 our men &amp; women stationed overseas https://t.co/UuYvLxGzS8",
"2016-09-21 ","15:32:18","RepAndreCarson","Spending my morning in an @TransportDems hearing discussing @FEMA’s role in local land use development decisions https://t.co/ti871pSuEw",
"2016-09-21 ","15:08:55","RepAndreCarson","Happening now:  T&amp;I hearing to examine FEMA's limited role in local land use development decisions. Watch here: https://t.co/uIWPErlbSb",
"2016-07-15 ","03:37:14","RepAndreCarson","Horrible news out of Nice, #BastilleDay attack kills dozens. We stand w/France in the fight against terror &amp; send love to their community","BastilleDay"
"2016-07-05 ","14:55:29","RepAndreCarson","I will continue to call for a vote on commonsense bills to address gun violence #DisarmHate https://t.co/zl9GnhPqvj","DisarmHate"
"2016-07-05 ","14:35:49","RepAndreCarson","Please email me @ Andre.carson07@mail.house.gov 
Send me your phone number &amp; email so my office can reach you please https://t.co/0fDb8z750n",
"2016-06-10 ","17:55:20","RepAndreCarson","School meals are essential to student success! #stoptheblock #saveschoolmeals https://t.co/qoccpMW9qr","stoptheblock saveschoolmeals"
"2016-02-23 ","22:18:54","RepAndreCarson","Met w/ the @AmericanLegion Department of Indiana today 2 say thank you 4 all their hard work. #Accountable2Veterans https://t.co/jICaZBN9De","Accountable2Veterans"
"2016-02-23 ","21:12:25","RepAndreCarson","HAPPENING NOW: managing a bill on the House Floor that requires @fema 2 develop a plan 2 control &amp; reduce its disaster-related admin. costs",
"2016-02-23 ","18:18:07","RepAndreCarson","I applaud @POTUS for his decision today. Closing #Guantanamo strengthens our national security &amp; saves taxpayers $ - https://t.co/j7r85duaKj","Guantanamo"
"2016-02-23 ","14:35:00","RepAndreCarson","Reminder: if U need help w/ a federal agency my staff will be in ur community 2day. Stop by &amp; see how we can help u! https://t.co/eAR0gVoXxt",
"2016-02-18 ","22:21:52","RepAndreCarson","Happening now: chatting w/ @FanchonStinger from @FOX59 about my work in Congress and for Hoosier families. https://t.co/urYKjOIgyp",
"2015-09-29 ","19:46:27","RepAndreCarson","Are you interested in attending one our nation's military academies? Apply today before the 10/15 deadline! http://t.co/0kIIoqyrRu",
"2015-09-29 ","17:48:06","RepAndreCarson","@FeedINsHungry @FeedingAmerica thank you for stopping by!",
"2015-09-29 ","17:45:32","RepAndreCarson","@TheProduceMom 
Looking forward to meeting with you!",
"2015-09-29 ","17:41:08","RepAndreCarson","Happy anniversary @NEHgov! Thank you for all you do for the arts, music, and literature.#NEHturns50 http://t.co/mOD7JcfZNK","NEHturns50"
"2015-06-15 ","19:04:10","RepAndreCarson","Thx @Citizenship4All for the 'A' grade on my work in Congress protecting #DACA &amp; #immigrant youth http://t.co/qE4yjh1yyL","DACA immigrant"
"2015-06-15 ","18:52:13","RepAndreCarson","It's been 3 yrs since #DACA began changing the lives of hundreds of thousands of DREAMers. Have ?'s about #DACA? My office is here to help","DACA DACA"
"2015-06-15 ","17:10:52","RepAndreCarson","Getting ready to talk to @Amoswtlcindy on @PraiseIndy AM1310 WTLC about Trade, ISIL, and Indiana's economy. Tune in!",
"2015-06-15 ","00:51:26","RepAndreCarson","Happy #FlagDay! Proud to salute the #StarsandStripes","FlagDay StarsandStripes"
