"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","20:02:48","RepJohnYarmuth","It's long past time for our nation to acknowledge, through word and deed, that black lives matter. My statement on recent police shootings: https://t.co/ueUAIdIRbP",
"2016-07-05 ","23:35:02","RepJohnYarmuth","Back in Washington, continuing my call for Congress to vote on effective gun violence legislation. #NoBillNoBreak https://t.co/rio88paVm6","NoBillNoBreak"
"2016-02-18 ","19:02:36","RepJohnYarmuth","It’s not rational to make KY families pay more for less. My Op-Ed on protecting Kynect in today’s @courierjournal: https://t.co/KwkoebcCHA",
"2015-11-25 ","17:59:05","RepJohnYarmuth","Congratulations, @CassHerrington! Louisville is proud of you. https://t.co/fEw2Cdsl27",
"2015-09-29 ","22:08:15","RepJohnYarmuth","Another day, another GOP hearing attempting to dismantle the ACA. But I’ll continue to highlight Kentucky’s success: https://t.co/dkjBueXsle",
"2015-07-14 ","22:09:46","RepJohnYarmuth","If we want to help eliminate Medicare waste &amp; save billions, we should allow the program to negotiate drug prices: https://t.co/plEGBnnHLJ",
"2015-07-14 ","18:12:02","RepJohnYarmuth","Today's #IranDeal is a victory for US diplomacy &amp; international security. I commend @POTUS, @JohnKerry &amp; @ErnestMoniz http://t.co/vVAztH2w48","IranDeal"
"2015-06-15 ","13:48:35","RepJohnYarmuth","I had a blast taking part in @StGeorgesSILou's Reading Rockets Summer Program this morning. http://t.co/dNjGxZbaEE",
"2014-05-21 ","20:30:12","RepJohnYarmuth","Reminder: RSVP now for my Jobs and Resources Fair, coming up on June 3 in #Louisville: http://t.co/8rGfpYjiz2","Louisville"
"2014-02-18 ","21:30:47","RepJohnYarmuth","It was also great to visit Frederick Law Olmsted Academy South this morning. http://t.co/aEEPjYX5nF",
"2014-02-18 ","21:18:16","RepJohnYarmuth","Thanks to the students &amp; faculty at Ramsey Middle School for inviting me to stop by today. #Louisville http://t.co/2456JQfs9A","Louisville"
"2014-02-18 ","15:33:32","RepJohnYarmuth","There is no government interest in treating people differently: http://t.co/Q2AzpytXOz @msnbc #LGBT","LGBT"
"2013-07-24 ","20:14:56","RepJohnYarmuth","#TheTimeIsNow to enact commonsense #immigration reform. Share your story: http://t.co/CbZkIMX9BE","TheTimeIsNow immigration"
"2013-06-05 ","22:05:22","RepJohnYarmuth","Of course. Congratulations! RT @Ltsuprooms: Can I get a shout out for my son who won the yarmuth book award today?",
"2013-06-05 ","20:33:15","RepJohnYarmuth","Another new height for @uofl: http://t.co/Cbcl5JsEGh #Louisville","Louisville"
"2013-06-05 ","17:52:56","RepJohnYarmuth","In 50 years, we've made 18 cents' worth of progress: http://t.co/44mPQrmEBb #fairpay #paycheckfairnessact","fairpay paycheckfairnessact"
"2013-04-19 ","16:20:46","RepJohnYarmuth","Thanks to the Friends School in #Louisville for inviting me to your Career Day. http://t.co/EHV8qVl1k8","Louisville"
"2012-12-12 ","15:56:25","RepJohnYarmuth","@SpeakerBoehner: Bring an inclusive, fully funded Violence Against Women Act to the Floor for a vote: http://t.co/GujFJqMw #VAWA","VAWA"
"2012-12-12 ","14:47:40","RepJohnYarmuth","I'll be on the @SMShow on @current at 10 a.m. discussing the #fiscalcliff. Tune in, or listen live here: http://t.co/6gzfqDjw","fiscalcliff"
"2012-09-25 ","18:30:39","RepJohnYarmuth","Every day they refuse to work w/ us to find a deal on #fiscalcliff, Republicans inject more uncertainty into #economy. http://t.co/YqN4ONQp","fiscalcliff economy"
"2012-08-03 ","14:58:30","RepJohnYarmuth","Proud to work with @ridetarc to secure federal funding for new, cleaner buses: http://t.co/mgVUlDCp",
"2012-07-18 ","20:51:17","RepJohnYarmuth","Good news on the homefront: Home sales in #Louisville up 13 percent this year: http://t.co/Ov04rrtR","Louisville"
"2012-07-18 ","14:45:41","RepJohnYarmuth","#Kentucky begins implementation of #ACA insurance exchanges. Insured and uninsured Kentuckians will benefit. http://t.co/LYJfAW91 #hcr","Kentucky ACA hcr"
"2012-05-18 ","16:23:10","RepJohnYarmuth","Members of our military and their families should never lose their homes because they’re defending our country. http://t.co/m4UIgKc7",
