"Date","Time","screen_name","text","hashtags"
"2016-02-18 ","13:30:34","RepRichmond","SCOTUS confirmation is responsibility @POTUS &amp; Senate share under our Constitution. Should trump politics as usual. https://t.co/0eUBB5QU7J",
"2015-09-29 ","14:38:37","RepRichmond","@verainstitute H.R. 3399 lays the framework for a more rational &amp; humane approach to incarceration #ReducingSolitary http://t.co/7jdeqOKXoy","ReducingSolitary"
"2015-09-29 ","14:38:30","RepRichmond","@verainstitute We need a national standard to bring the use of solitary confinement in line w/ our nation's morals #ReducingSolitary","ReducingSolitary"
"2015-07-14 ","13:16:47","RepRichmond","Co-authored an op-ed in @thehill w/ @RepDougCollins on the need for #CriminalJustice Reform http://t.co/tMr6YU8esV #LA02","CriminalJustice LA02"
"2015-06-15 ","21:48:59","RepRichmond","@fema has launched a #NFIP call center to support policyholders w/ their claims They're reachable @ 1-800-621-3362 or http://t.co/4YrhTkz1gC","NFIP"
"2015-06-09 ","16:15:43","RepRichmond","It's time to release #AlbertWoodfox, last of the #AngolaThree, following 4 decades of inhumane treatment in solitary http://t.co/RfQmuyXTTY","AlbertWoodfox AngolaThree"
"2014-05-21 ","19:39:08","RepRichmond","Today is National Waiters &amp; Waitresses Day. RT if you agree: We need to #RaiseTheWage for tipped workers. http://t.co/yVPvbHOg0b","RaiseTheWage"
"2014-04-01 ","20:49:25","RepRichmond","The American people have spoken #ACA is working it is time for the GOP to listen &amp; end their repeal at all cost agenda #7MillionAndCounting","ACA 7MillionAndCounting"
"2014-04-01 ","16:01:43","RepRichmond","This #GOPbudget is a declaration of class warfare - it protects the elite at the expense of the rest of the country. http://t.co/k74z9ofR3g","GOPbudget"
"2014-04-01 ","14:24:37","RepRichmond","If only... #AprilFoolsDay http://t.co/DbxBhBkuGG","AprilFoolsDay"
"2013-07-24 ","21:57:35","RepRichmond","Today the Congressional Caucus on Black Men and Boys convened for the first time. http://t.co/0RFViwbC3V",
"2013-06-05 ","22:22:44","RepRichmond","Proud to be on the floor this evening advocating for #floodinsurance reform.","floodinsurance"
"2013-04-19 ","15:55:42","RepRichmond","The Port of Baton Rouge now ranks 10th in the nation with over 58 million tons moving through the port in 2011! @USACEHQ  #BR #Maritime","BR Maritime"
"2013-03-11 ","17:58:49","RepRichmond","Thank you to @8daysofhope and volunteers for assisting with flood damage repairs in St. John Parish! @sjbpgov #8doh #recoverstjohn","8doh recoverstjohn"
"2012-12-12 ","17:33:06","RepRichmond","@HouseDemocrats calling on GOP to #DoTheRightThing, extend middle class tax cuts, protect fams &amp; small biz during #fiscalcliff negotiations","DoTheRightThing fiscalcliff"
"2012-09-25 ","16:27:12","RepRichmond","We must find a solution to the wetlands mitigation problem so that flood protection projects can move forward quickly. #isaacrecovery","isaacrecovery"
"2012-09-25 ","16:12:16","RepRichmond","We have got to speed up recovery dollars to our communities after a storm. #isaacrecovery @fema","isaacrecovery"
"2012-09-25 ","14:09:42","RepRichmond","Today is National Voter Registration Day. Are you #VoteReady?#925NVRD http://t.co/iLwlnkrA","VoteReady 925NVRD"
"2012-08-03 ","13:58:30","RepRichmond","Good luck to @LSU_Shreveport grad @KendrickJFarris competing for @USAWeightlifting! Watch him @ 2pm CT on MSNBC!",
"2012-07-18 ","21:24:43","RepRichmond","Sen. Landrieu,Rep. Richmond and Mayor Landrieu Announce $23.8M for Hurricane Recovery | Congressman Cedric Richmond: http://t.co/TR0xSC2v",
"2012-07-18 ","19:53:17","RepRichmond","State loses $80M broadband grant http://t.co/GgeUGURP #thanksfornothingJindal","thanksfornothingJindal"
"2012-07-18 ","19:42:23","RepRichmond","Hearing today on broadband expansion to rural and urban #smallbiz #closingthedigitaldivide http://t.co/lD62C7Uo","smallbiz closingthedigitaldivide"
"2012-07-18 ","15:48:32","RepRichmond","Thanks for having me on your show this morning! @IAmSteveHarvey",
"2012-07-18 ","15:47:38","RepRichmond","@isawaANGEL_ @wildwayne thanks for your support!",
