"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","20:24:07","RepRichardNeal","Looking forward to visiting Great Barrington on Monday morning to announce federal grant for the Fire Department.",
"2016-07-15 ","18:44:18","RepRichardNeal","Please join me on July 19th at Berkshire Community College for a showing of ""Heroin: Cape Cod, USA."" https://t.co/7gXq5WYkgz",
"2014-05-21 ","20:36:44","RepRichardNeal","I'll be live on @WHYN560 with Brad and Bo tomorrow at 8:05am.",
"2013-04-19 ","00:34:05","RepRichardNeal","I was honored to join President Obama and my colleagues in the Massachusetts Congressional Delegation on Air... http://t.co/qSv3iYgEmb",
"2013-03-11 ","13:51:26","RepRichardNeal","Strengthening our nation’s infrastructure is not a Democratic or Republican issue, it just makes common sense. My... http://t.co/iqJFJWyv3D",
"2014-02-18 ","14:44:20","BarneyFrank","Looking forward to @SquawkStreet this morning to discuss the US decision to allow banks to do business with licensed Pot Shops @CNBC",
"2014-05-21 ","21:22:49","RepTierney","Why the #ByThePeople Act could change campaign finance to maximize the power of the many, not the money: http://t.co/QfQ5rQmdoa","ByThePeople"
"2014-04-01 ","13:46:07","RepTierney","Today President Obama celebrated the @RedSox 2013 World Series Championship at a ceremony at the @WhiteHouse. Let’s do it again this year!",
"2014-02-18 ","20:51:47","RepTierney","Non-partisan CBO reports that raising min wage to $10.10 can increase pay for low-income workers by $31Billion. #RaiseTheWage #Timefor1010","RaiseTheWage Timefor1010"
"2013-07-24 ","23:11:41","RepTierney","To all who have inquired, I just voted in favor of the Amash-Conyers amendment. Thanks for weighing in. #NSA","NSA"
"2013-07-24 ","19:49:19","RepTierney","A good job, a good education, a secure home, a safe retirement, and quality health care—that’s #ABetterBargain for middle-class security","ABetterBargain"
"2013-06-05 ","17:11:39","RepTierney","26 days until student loan rates double to 6.8%. Time for GOP to join Dems in keeping college w/in reach for every student #DontDoubleMyRate","DontDoubleMyRate"
"2013-04-19 ","19:59:15","RepTierney","For the latest information about the ""shelter in place"" order and other safety instructions, monitor @MassEMA and http://t.co/EGexpTkWsA",
"2013-04-19 ","16:07:18","RepTierney","Deeply saddened by the death of Officer Sean Collier. My heart goes out to his family &amp; the #Wilmington community. http://t.co/hS7iMWIUFm","Wilmington"
"2013-03-11 ","19:24:52","RepTierney","Congrats Riley McCarthy, this year’s Congressional art competition grand prize winner. http://t.co/cNwOWlilDj",
"2012-12-12 ","17:50:39","RepTierney","While #FiscalCliff solution is negotiated, Congress should #DoTheRightThing: protect middle class families &amp; small biz from tax increase.","FiscalCliff DoTheRightThing"
