"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","13:47:33","RepSarbanes","ICYMI --&gt; “This is not your grandparents’ reform effort. This is new.” Via @MoyersNews: https://t.co/OeO7N0eSXt.",
"2016-02-23 ","23:22:52","RepSarbanes",".@SenateMajLdr, what happened to “gov’t of, by and for the people?” https://t.co/BxEiFlv8Cd #SCOTUS https://t.co/EtVObjKPv4","SCOTUS"
"2016-02-18 ","19:59:46","RepSarbanes",".@Kristof you’re exactly right. That’s why we need gov’t #bythepeople! --&gt; https://t.co/m7lUFQq96h  https://t.co/wr52vRDMYN","bythepeople"
"2015-09-29 ","14:53:23","RepSarbanes","Tune in at 12:30! @HuffPostLive: http://t.co/2Cfh6aiSnQ. http://t.co/n9yBADcRsP",
"2014-10-22 ","15:20:13","RepSarbanes",".@TheOnion Hilarious bit on our campaign finance system: http://t.co/WSsvPetwRO. This is why we need reform &amp; why we need gov’t #bythepeople","bythepeople"
"2014-10-22 ","15:18:50","RepSarbanes","An important service that I'm proud to support MT @StateMaryland Talking #AdultEd with @SenatorCardin @RepSarbanes @Call_Me_Dutch @BaltMOED","AdultEd"
"2014-05-21 ","20:17:12","RepSarbanes","HAPPENING NOW #SoundTheAlarm4Climate rally. Tune in here https://t.co/TAu6sqnqiq","SoundTheAlarm4Climate"
"2014-05-21 ","16:23:59","RepSarbanes","Can't make it to DC for the #SoundTheAlarm4Climate rally? Tune in here to watch live at 4pm https://t.co/TAu6sqnqiq","SoundTheAlarm4Climate"
"2014-05-21 ","15:19:04","RepSarbanes","MDers can't afford to ignore sea-level rise &amp; other devastating efx of climate change, so today I'm rallying to #SoundTheAlarm4Climate","SoundTheAlarm4Climate"
"2013-06-05 ","17:59:02","RepSarbanes","President Obama talked about the tremendous contributions @Ravens players make to #Baltimore on and off the field http://t.co/wIm4N0gJ0o","Baltimore"
"2013-06-05 ","17:52:23","RepSarbanes","Had a great afternoon w/ some of my Team MD colleagues at the White House to celebrate the @Ravens Super Bowl victory http://t.co/GRFKIT845h",
"2013-04-19 ","17:20:45","RepSarbanes","Had a great morning at #MDSBW2013 awards. Small businesses are economic engines that keep our economy on the move http://t.co/Zhu8TqGnay","MDSBW2013"
"2013-03-11 ","20:51:34","RepSarbanes","ATTN #MD high school seniors - @northropgrumman is awarding scholarships to students pursuing careers in engineering http://t.co/9JC47wCJY4","MD"
"2013-03-11 ","16:04:07","RepSarbanes","Was happy to walk in the annual #SaintPatrick's @BaltimoreParade yesterday. It was a perfect #Baltimore day! http://t.co/AQJbodr52L","SaintPatrick Baltimore"
"2012-12-12 ","19:55:32","RepSarbanes","MD has @HHSGov approval to operate Maryland Health Connection in 2014 http://t.co/cd5nvIKy This is great news for #MD families &amp; small biz.","MD"
"2012-12-12 ","17:52:11","RepSarbanes","It's time for Congress to #DoTheRightThing in #FiscalCliff negotiations: protect middle class families &amp; small biz from tax increases.","DoTheRightThing FiscalCliff"
"2012-09-25 ","20:29:23","RepSarbanes","Enjoyed visit to Arlington Elem to announce $7.4M for STEM ed w @SenatorBarb @SenatorCardin @MayorSRB &amp; Cong. Cummings http://t.co/sqqwPic1",
"2016-09-21 ","20:12:31","Call_Me_Dutch","Just had the AWESOME honor of mtg #MD02 #Dundalk's own TSgt Sharry Barnshaw, 1 of 12 @usairforce Outstanding Airmen of the Year for 2015! https://t.co/1lVufa5g1a","MD02 Dundalk"
"2016-09-21 ","15:17:08","Call_Me_Dutch","Couldn't agree w/ Tom Ridge more on needing info-sharing to stop cyber attacks: https://t.co/6IbUNtS8NT via @YahooFinance",
"2016-07-15 ","01:48:22","Call_Me_Dutch","Struggling for right words after #nicefrance attack. America stands with France. Thoughts and prayers with all affected.","nicefrance"
"2016-02-23 ","15:23:58","Call_Me_Dutch","Joined MD's Chief Life-Saver, @UMMC #shocktrauma's Tom Scalea last night w/ the @CoalitionNTR on the Hill! https://t.co/nvlEq02btE","shocktrauma"
"2016-02-18 ","19:41:40","Call_Me_Dutch","As a Member of Congress, I can't think of a more important… https://t.co/lTHnJSRa6s",
"2015-09-29 ","21:21:01","Call_Me_Dutch","Good points, DNI Clapper. This cyber deal helps to secure private IP. Good first step to make the US #CyberStrong http://t.co/Oqg5CqUDL7","CyberStrong"
"2015-09-29 ","20:55:47","Call_Me_Dutch","@realDonaldTrump This is why we need to pass comprehensive, #cybersecurity legislation http://t.co/f2HVZBoF7t","cybersecurity"
"2015-09-29 ","16:09:43","Call_Me_Dutch","3,000+ jobs and reliable/speedy service for consumers... @amazon opened its Baltimore facility! #BaltimoreJobs http://t.co/eNtfcqdRCS","BaltimoreJobs"
"2015-09-29 ","15:44:33","Call_Me_Dutch","I thanked Dr Susan Myers for her family's sacrifice. @stjohnprop dedicated a memorial to her late husband MGen Greene http://t.co/AIZ1Qwkf8j",
"2015-09-29 ","01:56:33","Call_Me_Dutch","Joining with my colleague to help support small businesses-I'm now on the #SmallBrewers Caucus #NationalDrinkBeerDay https://t.co/fzTloU7IZO","SmallBrewers NationalDrinkBeerDay"
