"Date","Time","screen_name","text","hashtags"
"2016-02-23 ","19:48:37","MikeHMichaud","I #salute ALL those that have sacrificed so much! @CityOfBoston @bostonpolice @BostonFire @MEARNG #maine #newengland https://t.co/a94Rx1CLY9","salute maine newengland"
"2016-02-23 ","19:42:40","MikeHMichaud","@ArmyGK see what can happen when we work as a team! @csaSoldier4Life #hireVETS #trainVETS","hireVETS trainVETS"
"2016-02-23 ","16:05:30","MikeHMichaud","Thanks @arocke65 for convincing me to jump out a perfectly good airplane! @csaSoldier4Life @ArmyGK @USArmy #hireVETS https://t.co/ycgKHPXAbW","hireVETS"
"2016-02-23 ","15:08:03","MikeHMichaud","Met a wonderful group of Goldstar Families with @osotamerica who also jumped with @ArmyGK today! https://t.co/yNKx0pNrfv",
"2016-02-23 ","14:58:00","MikeHMichaud","Safely on the ground thanks to the GREAT team @ArmyGK @csaSoldier4Life! It takes teamwork to help employ veterans. https://t.co/vGwSYZOTP7",
"2016-02-23 ","14:22:00","MikeHMichaud","I trust @ArmyGK &amp; service members can trust @USDOL VETS when they transition out of the military into civilian work! https://t.co/LyBLZRnwok",
"2016-02-23 ","13:48:32","MikeHMichaud","We pay close attention when it comes to @USDOL VETS providing tools to employ veterans! @ArmyGK @csaSoldier4Life https://t.co/ipvsrv0ws4",
"2016-02-23 ","13:38:09","MikeHMichaud","Follow @MikeHMichaud as I ""soar to new heights"" with @ArmyGK @csaSoldier4Life today! @USDOL VETS #hireVETS #trainVETS","hireVETS trainVETS"
"2016-02-23 ","13:28:03","MikeHMichaud","I'm ""taking a leap"" w/ @ArmyGK @csaSoldier4Life to show the commitment of @USDOL VETS to employ veterans! #hireVETS https://t.co/zG5r3jyL2M","hireVETS"
"2016-02-18 ","21:52:09","MikeHMichaud","Great day w/ @USMC Camp Pendleton &amp; the Veterans in Piping class. Their quality skills will=quality jobs! #trainVETS https://t.co/HQwMUgZeZ6","trainVETS"
"2016-02-18 ","06:06:52","MikeHMichaud","Thanks @Mayor_Bailey for joining @RepMarkTakano and I for a round table on hiring veterans in Riverside CA #hireVETS https://t.co/y2OgNgwhMc","hireVETS"
"2016-02-18 ","05:58:25","MikeHMichaud","Congratulations to @USDOL VETS Assistant Director Nancy Ise on 25 yrs of federal service! @RepMarkTakano #teamVETS https://t.co/bGbPH4F24Q","teamVETS"
"2016-02-18 ","05:47:48","MikeHMichaud","Inside the #mobileone career vehicle that Riverside County uses to bring jobs to veterans. @RepMarkTakano #hireVETS https://t.co/zsAM4nnt1U","mobileone hireVETS"
"2016-02-18 ","05:43:16","MikeHMichaud","Working Wardrobes in Costa Mesa is transforming the lives of veterans that face barriers to employment @USDOL VETS https://t.co/R8d6Zye1dI",
"2016-02-18 ","05:40:45","MikeHMichaud","Round table discussion w/ HVRP grantee Working Wardrobes + other stakeholders in Orange County @VetsLegalOC @Boeing https://t.co/4IQ5651ne8",
"2016-02-18 ","05:33:46","MikeHMichaud","@Disneyland is making dreams come true by hiring veterans in multiple skill areas. @USDOL VETS #hireVETS #trainVETS https://t.co/56cCBJUUaR","hireVETS trainVETS"
"2014-05-21 ","19:49:58","MikeHMichaud","Honored to help recognize Elizabeth @DoleFoundation for her dedication to military caregivers &amp; families. #mepolitics http://t.co/PVe1ObTEI5","mepolitics"
"2014-04-01 ","17:36:26","MikeHMichaud","Great 2 talk w @15Lasershow (wears @NewBalance shoes) about our work to ensure DOD complies w/Berry Amdt. #mepolitics http://t.co/RpeL8sqp9A","mepolitics"
"2013-07-24 ","20:45:14","MikeHMichaud","Joined @chelliepingree to meet with NTSB on rail safety issues today. Read More: http://t.co/cpD5wsh7KL #mepolitics http://t.co/nnLJKKUxgi","mepolitics"
"2012-07-18 ","21:06:14","MikeHMichaud","Great news - @USTradeRep Ron Kirk has accepted my invitation to visit a @NewBalance facility in Maine: https://t.co/TnvhWaC2",
"2012-07-18 ","13:25:47","MikeHMichaud","Proud to wear these sneakers to support the @NewBalance employees on the Hill today for Made in America Footwear Day: http://t.co/ozRSq1Vk",
"2012-05-18 ","17:42:03","MikeHMichaud","While I ultimately opposed today's passage of the National Defense Authorization Act for Fiscal Year 2013, I am... http://t.co/xBvOKyDI",
