"Date","Time","screen_name","text","hashtags"
"2016-07-05 ","21:11:14","RepJohnConyers","Took to the House floor today to call for a vote on bills to make us safer and help #DisarmHate and #EndGunViolence https://t.co/5PhAGHrH48","DisarmHate EndGunViolence"
"2016-02-18 ","22:01:28","RepJohnConyers","For years, I've joined voters, lawmakers &amp; more in warning of the harm of #EmergencyManagers https://t.co/0h32jhJfSn https://t.co/TcMJjHZuEA","EmergencyManagers"
"2015-10-29 ","14:54:47","RepJohnConyers","Congrats to @SpeakerRyan!  It's not everyday I get to swear in a new Speaker as the Dean of the House.",
"2015-09-29 ","17:13:08","RepJohnConyers","Congratulations from us at @TheCreativeC on 50 years of @NEAarts supporting the #arts and #artseducation #arts4US","arts artseducation arts4US"
"2015-07-14 ","22:08:18","RepJohnConyers","TY @RepThomasMassie @ChrisCoons @DavidVitter &amp; more for standing up to #fixpatents. Missed it? http://t.co/YcYsMUQq51 http://t.co/zRpFIo8H4E","fixpatents"
"2015-07-14 ","18:22:46","RepJohnConyers","Proud to oppose the ""Innovation Act."" HR9 would stifle #innovation and hurt our patent system: http://t.co/GVbKPO8RWa http://t.co/hr7fbYobzw","innovation"
"2015-07-14 ","18:12:27","RepJohnConyers","Americans strongly prefer diplomacy to the alternative of war.  Today’s announcement is important step towards peace. #Iran #DiplomacyWorks","Iran DiplomacyWorks"
"2015-07-14 ","18:06:40","RepJohnConyers","It’s past time for @SpeakerBoehner to schedule bipartisan budget negotiations.  The nation cannot afford another job-killing #GOPShutdown.","GOPShutdown"
"2015-07-14 ","18:05:19","RepJohnConyers","An important article in @TheAtlantic on the moral and economic case for clemency for additional nonviolent offenders: http://t.co/IKFcUUEs3E",
"2015-07-14 ","18:00:30","RepJohnConyers","50 years ago, I voted for OAA to provide essential support to our seniors. Let's renew &amp; strengthen it. #OAA50 http://t.co/tTsFQh765w","OAA50"
"2015-07-14 ","17:10:19","RepJohnConyers",".@2pm I will join @ChrisCoons @senatorvitter @RepThomasMassie &amp; more in a press conf. to oppose anti-#patent #HR9. http://t.co/GVbKPO8RWa","patent HR9"
"2015-07-14 ","12:06:18","RepJohnConyers","#IranDeal will not only increase the long-term security of the Middle East but remove the short-term specter of military confrontation.","IranDeal"
"2015-07-14 ","12:05:23","RepJohnConyers","#IranDeal is a historic win for peace.","IranDeal"
"2015-06-09 ","18:54:45","RepJohnConyers","Today, more families in #Michigan will have access to healthy food thanks to the launch of the @MIGoodFoodFund #MGFF","Michigan MGFF"
"2014-10-22 ","17:09:45","RepJohnConyers","Thankful for a new study that found me to be the most effective #Democrat in the House despite partisan politics  http://t.co/lfAx8R6Tj5","Democrat"
"2014-05-21 ","18:46:20","RepJohnConyers","Obama admins #clemency initiative is a good first step but Congress must lead to achieve true #CriminalJustice reform http://t.co/9BjXf0b8DW","clemency CriminalJustice"
"2014-05-21 ","16:38:35","RepJohnConyers","""As a matter of civil rights &amp; basic justice our #CriminalJustice system must change."" Read my full #clemency oped at http://t.co/9BjXf0b8DW","CriminalJustice clemency"
"2014-04-01 ","18:53:20","RepJohnConyers","This week, I called on FHFA to #StopForeclosuresNow for 2M Americans who lost unemployment insurance   http://t.co/zhovi6Emlc","StopForeclosuresNow"
"2014-04-01 ","15:10:42","RepJohnConyers","I'm proud of Obamacare and the 7 million new enrollees.",
"2014-02-18 ","23:45:00","RepJohnConyers","FACT: A majority of minimum wage earners are women. Read more: http://t.co/piYlrlOprm via @EconomicPolicy #RaiseTheWage #StandWithWomen","RaiseTheWage StandWithWomen"
"2014-02-18 ","23:21:00","RepJohnConyers","The @USCBO reports that increasing the min wage to $10.10 would raise wages for ~25 million Americans: http://t.co/sRj59st3sx #RaiseTheWage","RaiseTheWage"
"2014-02-18 ","23:08:00","RepJohnConyers","DYK: Almost 3/4 of Americans support raising the minimum wage to $10.10 an hour: http://t.co/SUBCRIAVQj via @pewresearch #RaiseTheWage","RaiseTheWage"
"2014-02-18 ","22:18:00","RepJohnConyers",".@pewresearch: ""Overall 73% of the public favors raising the federal minimum wage from its current level of $7.25 an hour to $10.10 an hour""",
"2014-02-18 ","21:45:03","RepJohnConyers",".@EconomicPolicy finds that a higher minimum wage would create 85,000 new jobs within 3 years: http://t.co/piYlrlOprm #RaiseTheWage","RaiseTheWage"
"2014-02-18 ","21:21:00","RepJohnConyers","DYK: Raising the minimum wage would lift nearly 1 million Americans out of poverty: http://t.co/sRj59st3sx via @USCBO #RaiseTheWage","RaiseTheWage"
"2014-02-18 ","21:06:00","RepJohnConyers","@pewresearch recently found that 73% of Americans support raising the minimum wage to $10.10 an hour: http://t.co/SUBCRIAVQj #RaiseTheWage","RaiseTheWage"
"2013-07-24 ","21:58:25","RepJohnConyers","The debate on the #AmashConyers #NSA amendment is starting now.","AmashConyers NSA"
"2013-07-24 ","18:49:49","RepJohnConyers","RT if you agree that we can protect Americans without shredding our civil liberties. #NSA #AmashConyers http://t.co/wKWeeAVDdK","NSA AmashConyers"
"2013-07-24 ","17:36:42","RepJohnConyers","It's been 4 years since the #minimumwage was last raised.  Congress needs to act on bills from @AlanGrayson &amp; @askgeorge.","minimumwage"
"2013-07-24 ","12:28:56","RepJohnConyers","Today, the House has an opportunity to rein in #NSA #surveillance &amp; protect your #privacy.  http://t.co/4PJ4yQFYuf","NSA surveillance privacy"
"2012-09-25 ","20:04:58","RepJohnConyers","Seniors in Michigan in the Medicare prescription drug “donut hole” have saved an average of $695 in the first 8 months of 2012 alone. #ACA","ACA"
"2012-09-25 ","20:02:52","RepJohnConyers","Thanks to the Affordable Care Act, seniors in Michigan have saved $113.3 million on prescription drugs this year. #ACA","ACA"
"2012-08-03 ","17:45:12","RepJohnConyers","Proud to announce @UDMDetroit has received a $236,158 grant from @HHSGov to help Detroiters pursue a career in health care.",
"2012-07-18 ","00:41:56","RepJohnConyers","The Ban the Use of Credit Scores in Auto Insurance Act will help provide affordable access to auto insurance http://t.co/6Fadk7ao",
"2012-07-18 ","00:20:36","RepJohnConyers","I wrote to @DHSgov to request a thorough review of the security measures for Detroit-Windsor crossings http://t.co/BOCtWWbw",
"2016-09-21 ","23:53:50","JohnDingell","He's picking up a handful of racists who surprisingly aren't Republicans &amp; losing a handful of Republicans who surprisingly aren't racist. https://t.co/XsXq4QOimR",
"2016-09-21 ","13:36:37","JohnDingell","Well, this is awkward. https://t.co/T8HrsHaShK",
"2016-07-15 ","16:13:39","JohnDingell","What is the T doing to that P? https://t.co/tDvYm2QJYi",
"2016-06-10 ","13:33:40","JohnDingell","Rest well, Mr. Hockey.",
"2016-06-10 ","03:57:14","JohnDingell","I think @StephenCurry30's tennis shoes are pretty nice looking. https://t.co/WhXEjNPKSN",
"2016-06-10 ","03:33:06","JohnDingell","#TBT https://t.co/YNEnOHHLYj","TBT"
"2015-11-25 ","18:26:55","JohnDingell","I use this regularly, misspelling aside. https://t.co/7eO1Y53LRZ",
"2015-10-29 ","02:29:29","JohnDingell","Twitter spent today discussing the dangers of a reckless ball of hot air &amp; tonight live-tweeting the GOP debate.

At least we're consistent.",
"2015-10-29 ","01:41:48","JohnDingell","@GaryMiles_DN I may be old, but I ain't stupid. Baseball for me.",
"2015-10-29 ","01:38:20","JohnDingell","Tie game.",
"2015-10-29 ","01:09:46","JohnDingell","Alright, what have I missed in this debate? Give me your best 140 character summaries.",
"2015-10-29 ","00:29:20","JohnDingell","Baseball",
"2015-07-14 ","23:11:41","JohnDingell","When is he not? https://t.co/PyAwtwyIYp",
"2015-06-09 ","19:04:46","JohnDingell","Congratulations and a very Happy Birthday to my dear friend of 55+ years, @repdonyoung. https://t.co/uVnTHy2r9E",
"2015-06-09 ","16:31:26","JohnDingell","Let me know when they come to their senses and open a @TimHortonsUS. https://t.co/l7Nr21Ti3G",
"2015-06-09 ","01:46:27","JohnDingell","@Derick_Hutch Ha! I thought they shortened it to 150 rounds this season...",
"2015-06-09 ","01:43:17","JohnDingell","Contrary to rumors, I was not the @tigers first pick of the 2015 #MLBDraft.

That said, I'm still holding out hope... http://t.co/mdvOqtSfss","MLBDraft"
"2014-10-22 ","14:13:52","JohnDingell","Not cool, Sparty. Not cool. #GoBlue https://t.co/xWCmKAJW3I http://t.co/mPZkkgLmf7","GoBlue"
"2014-05-21 ","22:57:42","JohnDingell","Fmr Tigers P Hal Woodeshick had a game-ending balk back in 64 or 65. Can't recall which team he was on, just remember it being an odd ending",
"2014-05-21 ","21:27:54","JohnDingell","Well, that's one way to end a baseball game. #tigers","tigers"
"2014-05-21 ","21:05:38","JohnDingell","And Avila gives the @tigers the lead at exact same time the House comes back into session for votes. #EatEmUp #OffToVote","EatEmUp OffToVote"
"2014-05-21 ","20:21:31","JohnDingell","Lesson: Never run on @rajai11davis. #tigers","tigers"
"2014-05-21 ","20:07:02","JohnDingell","And the House recesses as the @tigers go into extra innings vs. CLE. It's the small things some days, you know? #GoTigers","GoTigers"
"2014-05-21 ","19:52:13","JohnDingell","I had a great meeting with the wonderful folks from @AARPMichigan &amp; @AARP. Always a blessing to spend time with friends.",
"2016-09-21 ","21:46:40","RepDanKildee","This #InternationalDayofPeace, I talked with @ThePCFF on their work bringing peace to the Middle East. https://t.co/gW0G2DYBUB","InternationalDayofPeace"
"2016-09-21 ","15:36:07","RepDanKildee","Always great to assemble care packages with @the_USO for our service members. One small act of gratitude for their lifetime of service. https://t.co/wHsHtSFeXd",
"2016-07-15 ","23:07:52","RepDanKildee","Thanks @sierraclub! Clean drinking water is a basic human right - something kids in Flint &amp; across America deserve https://t.co/92zGFupowX",
"2016-07-15 ","19:30:18","RepDanKildee","It's inexcusable Congress left for summer break but Flint residents can’t drink the water coming out of their taps → https://t.co/2MCXrRjRBE",
"2016-07-15 ","18:51:45","RepDanKildee","Honored to have Claude Miller’s painting of @POTUS in my office, a great tribute to the creativity &amp; talent in Flint https://t.co/YfsLMLRTVf",
"2016-07-05 ","22:30:10","RepDanKildee","With Ramadan coming to an end tonight, I wish Muslims around the world the best in celebrating Eid. #EidMubarak","EidMubarak"
"2016-07-05 ","20:37:25","RepDanKildee","Congratulations Bay City Officer Murphy on receiving @MIPOAM's Officer of the Year Award! Thank you for your service https://t.co/MMFmuLfKoX",
"2016-07-05 ","18:12:21","RepDanKildee","July is National Parks &amp; Recreation Month! I want to help families visit National Parks - learn more: https://t.co/1kFE3vbPEa #FindYourPark","FindYourPark"
"2016-07-05 ","16:48:33","RepDanKildee","Saddened to hear this news - my thoughts are with Rod's family &amp; friends. https://t.co/ok9ZPcxCMe",
"2016-06-10 ","15:37:41","RepDanKildee","Gordie Howe was a legend &amp; one of the greatest hockey players of all time. He'll will be sorely missed.  https://t.co/sQkxNTVhJv",
"2016-06-10 ","14:00:19","RepDanKildee","On this day in 1963, the #EqualPayAct was signed into law. We must finish what was started &amp; fight to ensure equal pay for equal work!","EqualPayAct"
"2016-02-23 ","00:00:15","RepDanKildee","Great to meet the young citizens of @GainesElem who raised $1,200 for #FlintWaterCrisis! https://t.co/ivYA9pbUrr","FlintWaterCrisis"
"2016-02-18 ","19:01:19","RepDanKildee","Great to meet with @KetteringPres at @KetteringU today to discuss Brownfield redevelopment!",
"2016-02-18 ","17:07:48","RepDanKildee","Loved learning about the Bay County Historical Society &amp; touring City Hall while in Bay City! https://t.co/4Hxflnk5Rb",
"2016-09-21 ","23:32:11","RepDebDingell","We must act to relieve crushing #studentdebt that is holding young people back from making major life decisions #DebtFreeWishList","studentdebt DebtFreeWishList"
"2016-09-21 ","23:31:21","RepDebDingell","W/o $180K in #studentdebt, Brian could afford to buy his 1st home. What's on your #DebtFreeWishList? https://t.co/8gXOBLMfCv","studentdebt DebtFreeWishList"
"2016-09-21 ","14:28:53","RepDebDingell","Looking forward to having you in DC, @j_haggs! Proud of your work to inspire students in #STEM through @IDRAdroneracing #DronesforSTEM https://t.co/XKYF070HbC","STEM DronesforSTEM"
"2016-07-15 ","12:27:00","RepDebDingell","Our hearts are w the people of France in what should have  been a time of celebration. We stand with them, united against evil #BastilleDay","BastilleDay"
"2016-07-15 ","00:11:30","RepDebDingell","In the face of unconscionable evil, we are standing together &amp; #LightingTheWay https://t.co/XlSIBJzMJl","LightingTheWay"
"2016-07-05 ","23:38:09","RepDebDingell","Wishing everyone marking the end of the holy month of Ramadan a day of peace, joy &amp; celebration. #EidMubarak to all. https://t.co/2TFvE6MmRN","EidMubarak"
"2016-07-05 ","22:39:06","RepDebDingell","As @JohnDingell approaches 90, he is sharing his wisdom. Here he is on working with Republicans. #HBDJDD https://t.co/29dScxI5fj","HBDJDD"
"2016-07-05 ","20:38:06","RepDebDingell","Follow these instructions to submit your own video for @JohnDingell's bday→https://t.co/vGgJOvHSrW. Thanks for all the kind messages so far!",
"2016-07-05 ","20:35:16","RepDebDingell","Thanks to Carrie and all who have submitted videos for @JohnDingell's 90th birthday! https://t.co/vGgJOvHSrW https://t.co/tGd8BoE8Au",
"2016-06-10 ","16:01:39","RepDebDingell","Gordie Howe was the best of all time. We will always remember #9. https://t.co/dTn41aMKQf https://t.co/sd3B4kHrGN",
"2016-02-18 ","22:21:15","RepDebDingell","Great to join friends at @A2YChamber today to discuss issues that matter to #MI &amp; Washtenaw County in 2016 https://t.co/f72jPyy8Ii","MI"
"2015-10-29 ","16:27:30","RepDebDingell","We've enlisted new help to #SniffOutTPP. The public deserves to see the text and know the impact of #TPP agreement. https://t.co/3X6XudWnNn","SniffOutTPP TPP"
"2015-09-29 ","20:03:26","RepDebDingell","#HeartDisease kills approximately one woman every minute in the U.S. #WorldHeartDay #GoSpreadTheWord http://t.co/K24qQua5n9","HeartDisease WorldHeartDay GoSpreadTheWord"
"2015-09-29 ","20:01:33","RepDebDingell","Today is #WorldHeartDay! Learn more about how you can protect yourself from #HeartDisease &amp; #GoSpreadTheWord→http://t.co/QOKAmby7pp","WorldHeartDay HeartDisease GoSpreadTheWord"
