"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","21:50:30","RepTimWalz","Honored to do so, thanks for your work @RepBradAshford to make sure vets have access to care they need.  https://t.co/Gf1mOlVl3r",
"2016-09-21 ","21:48:15","RepTimWalz","Thanks to @NFUDC for the opportunity to talk about this important issue!  https://t.co/27HKR7qeKE",
"2016-09-21 ","20:17:09","RepTimWalz","US student debt &gt; $1.3 trillion. Grads shouldn’t drown in debt. What would do you w/o debt? Start a business? #DebtFreeWishList","DebtFreeWishList"
"2016-09-21 ","19:03:38","RepTimWalz","Great to be with @AmericanLegion today as we discuss improving access to care for vets. https://t.co/FbetNbymaL",
"2016-09-21 ","19:01:36","RepTimWalz","Far too many #vets still struggle w/ #access to care. We have much to achieve but if we work together, we can get it done.","vets access"
"2016-09-21 ","18:57:48","RepTimWalz","Dove into the Commission on Care’s @DeptVetAffairs #reform recommendations at my national #VetsRoundtable today https://t.co/ps25rd9FHs","reform VetsRoundtable"
"2016-09-21 ","18:43:03","RepTimWalz","Average US #farmer is ~58 yrs old. #Vets &amp; #BeginningFarmers are critical to #foodsecurity: https://t.co/GxWjuR2Xcq https://t.co/8dqSnawK93","farmer Vets BeginningFarmers foodsecurity"
"2016-09-21 ","18:32:16","RepTimWalz","Honored to work w/ @the_USO in bringing a piece of home to our brave troops abroad #USOServiceProject https://t.co/oOuqsHfAt0","USOServiceProject"
"2016-09-21 ","18:15:22","RepTimWalz","Thanks to @GrowthEnergy for the Fueling Growth Award! Renewable fuels = the key to our national &amp; economic security! https://t.co/dSioCPvlCU",
"2016-06-10 ","18:17:58","RepTimWalz","2 #CD1 teams play for State Softball Championship today. Proud of both of them but I have to cheer on @MWScarlets. Best of luck @WinhawkSB!","CD1"
"2016-06-10 ","17:47:14","RepTimWalz","Service members, their families and overseas citizens must have the resources they need to vote #EveryVoteCounts #BEREADY2016","EveryVoteCounts BEREADY2016"
"2016-06-10 ","17:46:45","RepTimWalz","Pleased to hear from @FVAP Director @mdboehmer today on @DeptofDefense efforts to ensure all of our soldiers’ absentee ballots are counted.",
"2016-06-10 ","16:36:40","RepTimWalz","Thrilled that #FairnessforVets made it into the Senate #NDAA17. Vets dealing with TBI/PTS deserve fairness &amp;  the care they earned.","FairnessforVets NDAA17"
"2016-02-23 ","22:22:52","RepTimWalz","Wonderful to meet with American Legion veterans from Minnesota this morning! https://t.co/rZeuGtcKbV",
"2015-10-29 ","22:39:54","RepTimWalz","Check out USDA’s newest resource for beginning farmers: https://t.co/9xUCk0AvNm",
"2015-10-29 ","22:39:18","RepTimWalz","Great news from USDA today on our Beginning Farmer Rancher work: https://t.co/g2LoBTs5vy",
"2015-10-29 ","22:09:05","RepTimWalz","Such a great night at the Congressional Football Game last night! Congrats to the Cap Police on their win! https://t.co/356WPEHleX",
"2015-10-29 ","15:44:33","RepTimWalz","Thanks to Speaker Boehner for his years of service and congratulations to Speaker Ryan, I look forward to working with him.",
"2015-10-29 ","00:46:55","RepTimWalz","Supported bipartisan budget deal after crop ins issues addressed, now at the Cong. 🏈 Game! https://t.co/kQmLJHWdWM",
"2015-09-29 ","14:51:24","RepTimWalz","Important conversations with Veterans Service Orgs today about the work we need to do to reform the VA",
"2015-07-14 ","17:16:14","RepTimWalz","Read my statement on the Iran–P5+1 Nuclear Agreement here: http://t.co/7ZrQA7XwLs",
"2014-10-22 ","18:53:24","RepTimWalz","MT @MIChallenge2014: @RepTimWalz Joins Miller Ingenuity's Prez Steve Blue and VP Randy Skarlupka before the tour http://t.co/44VZXA0P9Z",
"2014-10-22 ","18:15:02","RepTimWalz","Great to be with the Albert Lea Chamber this morning and have lunch with a lot of good folks in Winona!",
"2014-10-22 ","17:06:01","RepTimWalz","I'm excited to to check it out! @MIChallenge2014 @GenePelowski @MattSchmitMN @SteveDraz",
"2014-10-22 ","17:01:47","RepTimWalz","Incredibly honored to receive the Charles Dick Medal of Merit from @NGAUS1878 yesterday in Faribault http://t.co/XvNBR1uFpb",
"2014-05-21 ","17:35:21","RepTimWalz","Meeting w/Transportation @SecretaryFoxx today to discuss hwy trust fund and infrastructure. We must build America to grow America!",
"2009-11-03 ","21:22:06","JimOberstar","The House Proposal Lowers Non-Group Premiums http://bit.ly/1vUttj",
"2009-11-03 ","14:42:44","JimOberstar","Recovery Act:
Progress Report on Water Resources Infrastructure Investment. Tomorrow
Jim's committee continues it's... http://bit.ly/kDbza",
"2009-11-03 ","14:41:14","JimOberstar","Recovery Act: Progress Report on Water Resources Infrastructure Investment.  Tomorrow Jim's committee continues... http://bit.ly/3Z3nGM",
"2016-09-21 ","22:54:30","USRepRickNolan","The House just passed my bill to reduce FAA waste and save taxpayers money. Read more: https://t.co/VZABL9qhO4",
"2016-07-15 ","15:22:35","USRepRickNolan","Deeply saddened by horrific attack in Nice last night. We simply cannot allow this violence to continue. Pray for France, our friend &amp; ally.",
"2016-02-18 ","21:32:04","USRepRickNolan","Great meetings on #SocialSecurity, #Medicare and #Pensions yesterday in Little Falls and Brainerd. https://t.co/BYYtMyXgUJ","SocialSecurity Medicare Pensions"
"2015-11-25 ","17:47:48","USRepRickNolan","Unsafe handling &amp; under-cooking your turkey can make people sick. Follow these #TurkeyDayTips for a safe holiday https://t.co/JvyJZ5GmGL","TurkeyDayTips"
"2015-10-29 ","19:29:57","USRepRickNolan","Dear @SpeakerRyan: Keep your promise and return US House to regular order. Read more from @RepDanKildee &amp; Me:
https://t.co/R04c9qWr1s",
"2015-09-29 ","21:46:35","USRepRickNolan","Today is #InternationalCoffeeDay – I always fill my cup just halfway so it doesnt get cold before I can drink it ☕️👍","InternationalCoffeeDay"
"2015-09-29 ","21:43:24","USRepRickNolan","The foolish squandering of American taxpayer dollars in Syria and the Middle East is on display once again: https://t.co/JYMnGcxKs4",
"2015-07-14 ","23:18:42","USRepRickNolan","Read my statement on the #IranDeal here: http://t.co/PkYCs2iFCA","IranDeal"
"2015-07-14 ","22:18:58","USRepRickNolan","Read my statement on today's GMO labeling vote in the Agriculture committee here: http://t.co/2FVVEJyeG5",
"2015-07-14 ","22:00:17","USRepRickNolan","In Ex-Im Bank's 81-year history, it has been reauthorized 16 times, with huge bipartisan majorities. @SpeakerBoehner, let's pass #ExIm4Jobs","ExIm4Jobs"
"2015-07-14 ","20:15:03","USRepRickNolan","It's time to act on highway funding. No more kicking the can down the crumbling road. Read from @ColbyItkowitz: http://t.co/8XZzcXZdnZ",
"2015-07-14 ","17:43:53","USRepRickNolan","Over 9 million seniors face the threat of hunger – they need OAA nutrition services like Meals on Wheels and congregate meals. #OAA50","OAA50"
"2015-06-15 ","18:39:56","USRepRickNolan","“Make no mistake this is a race to the bottom... Time has come for Congress to say no to these agreements” Read: http://t.co/5DQU6k5r0g #TPP","TPP"
"2014-10-22 ","21:16:53","USRepRickNolan","Natl #Forest Products Week: Having started my #sawmill &amp; pallet business, I know importance of supporting this industry &amp; great jobs in #MN","Forest sawmill MN"
"2014-10-22 ","14:14:41","USRepRickNolan","I visited 50+ businesses &amp; #manufacturers to see great jobs they provide, I continue to fight for MORE of these jobs http://t.co/NopPwGfWhe","manufacturers"
"2014-05-21 ","16:54:01","USRepRickNolan","Proud cosponsor of the Chiropractic Care Available to All #Veterans Act - requiring the VA to offer chiropractic care in their facilities!","Veterans"
"2014-05-21 ","16:18:01","USRepRickNolan","The House sent a clear message to victims of child #sextrafficking: We will treat you as the victims you are. WATCH: http://t.co/f38viUHSBH","sextrafficking"
"2014-05-21 ","14:21:08","USRepRickNolan","House overwhelmingly passed #WRRDA yesterday, along w/ my amendments fighting #invasivespecies &amp; boosting commerce in the #GreatLakes","WRRDA invasivespecies GreatLakes"
"2014-04-01 ","18:00:22","USRepRickNolan","The effects of synthetic drugs are absolutely devastating. I'm working on a bill to tighten our fed laws: http://t.co/tPYIfQK0Y7",
"2014-04-01 ","14:16:41","USRepRickNolan","A bipartisan ""doc fix,"" an interview on invasives, a week in pictures. It's the #MondayReport: http://t.co/viJUOh08Z4","MondayReport"
"2014-02-18 ","18:38:33","USRepRickNolan","Sweet relief! RT @StarTribune It is 34 degrees! We are above freezing for the first time in 20 days. And it's sunny. Yes, this is news.",
"2014-02-18 ","18:34:37","USRepRickNolan","Meet LoLa, a @LocallyLaidEggs famous hen! Visited w/ them last wk. Small farms are true anchors of our rural economy http://t.co/5pG7xHHJ7B",
"2014-02-18 ","16:53:23","USRepRickNolan","Water Main Emergency declared in Ely. Make sure you're running water continuously: http://t.co/cwjl7VvrXM via @elyecho",
"2014-02-18 ","15:04:59","USRepRickNolan","This wk's #MondayReport we avoid a govt default, fund the @uscoastguard &amp; meet the famous LoLa of @LocallyLaidEggs! http://t.co/DIETdr0fmb","MondayReport"
"2013-07-24 ","21:57:02","USRepRickNolan","@NIGA1985 Absolutely! Happy to stop by.",
"2013-07-24 ","21:00:44","USRepRickNolan","Happy to announce @BrainerdAirport is receiving $400,000 grant from the FAA. This means safety efficiency &amp; jobs: http://t.co/t8GDj0blJ7",
"2013-07-24 ","16:09:31","USRepRickNolan","Congress Comes to You today at the Hibbing and Chisholm City Halls! Visit my site for specific hrs: http://t.co/4cYAffZxfA",
"2013-07-24 ","15:05:42","USRepRickNolan","Listening to testimony before the House Natural Resources Committee http://t.co/OresmF6blW",
"2013-06-05 ","21:41:54","USRepRickNolan","Intro'd bill w/@RepTimWalz @BettyMcCollum04 @keithellison &amp; Rep.Peterson to prevent future skyrocketing #gas prices http://t.co/GKHONNhH3w …","gas"
"2013-06-05 ","16:56:58","USRepRickNolan","It's time to rebuild our nation's roadways. Happy to address members of the MN @TransAlliance today #MakeItinAmerica http://t.co/xo7IzXUVjI","MakeItinAmerica"
